好巧！我最近也在看她的表演。女喜剧人Amy Poehler的访谈节目Good Hang，邀请她的那一期，女儿Zoya作为场外嘉宾。母女之间对彼此的支持和自豪，溢于言表，特别动人。“We're close and trust each other.&quot;
"Il est vrai que nous n'avons pas besoin de suivre strictement l'horloge sociale.D'ailleurs, cette horloge n'est pas une norme établie par quiconque: elle reflète simplement le fait que, pour la plupart des gens, les grands événements de la vie se concentrent naturellement à cert ​​​ ...展开"
"Par un temps si radieux, je n'ai aucune envie de fixer l'écran de mon ordinateur. Je veux seulement m'imprégner pleinment du soleil, des arbres verdoyants, du ciel bleu et des nuages immaculés. ​​​"
"Ce matin avait pourtant si bien commencé. J'avais bien dormi, bien m'entraîné, bien mangé. J'avais prévu de ne consommer aucune information en dehors de cells dont j'ai absolument besoin. Alors pourquoi tout a été perturbé? Parce que les notifications incessantes de WeChat m'ont  ​​​ ...展开"
"Tout ce qui se maintient sans effort finit toujours pas engendrer des douleurs dont nous avons ensuite le plus grand mal à nous défaire, et pourtant nous réfléhcissons rarement au fait que nos souffrance se construisent souvent à partir du confort. ​​​"
"Parfois, j'eprouve une inquiétude anxieuse à l'idée qu'elle puisse être déçue, que les enseignants profitent délibérément d'elle, en exploitant sa force de travail. ​​​"
"Ma petite fille aime tellement aider les enseignants dans leur travaux bénévoles, et je peine à le comprendre. ​​​"
"Cet après-midi, j'ai une téléconférence agaçante, et j'ai trouvé comment gérer ce moment: suivre la réunion tout en faisant des exercices pour les omoplates. ​​​"
"La nuit dernière, j'ai vécu une expérience incroyable.Après avoir travaillé un peu plus tard--vers 22h 30, 23h--mon esprit était encore très excité, et à minuit je n'arrivais toujours pas à m'endormir, le cerveau en pleine activité. Comme d'habitude, J'ai ressenti un pointe d'a ​​​ ...展开"
"Dans beaucoup de sports, le calendrier est relativement stable: il suffit de suivre le rythme, presque passivement.  Que ce soit le football, le basketball ou la NFL, on reste la plupart du temps dans son proper pays, ce qui permet de se concentrer davantage sur soi-même.Le ten ​​​ ...展开"
"Alors, quel sont les avantages de vieillir?C'est que, même si le corps n'est plus aussi vaillant, les émotions deviennent plus paisibles. Ce n'est plus comme dans la jeunesse, où l'on pleurait à la vue des fleurs, où le chant d'un oiseau suffisait à briser le cœer; Le ciel, la  ​​​ ...展开"
"Quand on est jeune, le corps ressemble à une machine puissante mais peu sophistiquée: quelle que soit la façon dont on le traite, il continue de bien fonctionner, sans qu'on perçoive vraiment de différence dans sa performance. Mais en vieillisssant, on ne peut plus se permettre c ​​​ ...展开"
"Peu importe à quel point je pars m'entraîner à contrecœur ou l'esprit embrumé, après la séance, c'est toujours un pur bonheur!Où ailleurs au monde pourrait-on trouver quelque chose d'aussi bienÉUn feedback positif aussi certain, aussi immédiat! ​​​"
"Il m'arrive souvent d'être bouleversé par les créations écrites ou visuelles de personnes ordinaires: une pureté de talent, brute, sans aucun apprêt, qui me saisit.Mais aussitôt vient und douleur sourde, comme un sentiment de gâchis.Car à notre époque, le talent ne se convert ​​​ ...展开"
"L'océan Pacifique est d'une immernsité vertigineuse.Il pourrait, à lui seul, contenir les sept continents tout entiers.Il possède son propre point antipodal: si l'on perce la Terre depuis les côtes du Vietnam, on ressortirait sur les côte du Pérou.Vu sous l'angle approprié dep ​​​ ...展开"
"Sur le chemin que j'ai parcouru, les lumières se sont allumées.et là où je vais, le clarté m'attend pour m'acccueillir. ​​​"
"Ces jours-ci, j'ai parfois l'impression de me réveiller enfin d'un rêve instable, interminable, qui m'avait trempé le dos de sueur.Un immense soulagement m'envahit, en tout ce qui m'entourne parâit soudain léger comme une plume. ​​​"
"Il n'esiste rien de certain en ce monde.Avance, en agissant toujours dans le sens du meilleur résultat. ​​​"
"Hier, il m'est arrivé un truc qui me rend encore mal à l'aise rien qu'en y repensant. Je me confiais à une amie: je lui disais que, tu vois, on est déjà allées dans des endroits asses chics, des bars au rezde-chaussée d'hôtels hostoriques luxueux, et que, oui, c'était superbe, im ​​​ ...展开"
"Hier, les coachs ont d'abord fait une démonstration, puis les enfants ont conmencé la compétition. En regardant les coachs, puis les enfants, j'avais l'impression de voir la scène au ralenti...Et j'ai remarqué que les plus rapides étaient aussi ceux dont les mouvements étaient le ​​​ ...展开"
"Hier, l'institution de formation du quartier a organisé une compétition de natation amateur. Je n'avais pas de grandes attentes, mais une fois sur place, j'ai été gagné par l'ambiance. Sous le ciel bleu et les nuages blancs, au bord de la piscine en plein air...Les humains sont d ​​​ ...展开"
"Les jours les plus agaçants de chaque mois, ce sont ceux où je dois rembourser mon prêt immobilier. Je peux tout à fiat l'assumer, mais au fond de moi, je suis rempli d'amertume. ​​​"
"Je n'ai jamais eu de probleèmes de sommeil, et je ne pensais pas devoir m'en préoccuoper un jour. Ce n'est pas dramatique--cela ne perturbe pas encore ma vie quotidienne--mais ce n'est clairement pas assez bon pour soutenir un entraînement de force à haute intensité. Il va falloi ​​​ ...展开"
"La liberté absolue que nous fantasmons- celle où l'on ne fait rien-est en réalité une forme de liberté que la plupart des gens sont incapables de maîtriser. Même si l'on n'a plus à se soucier d'argent, même si l'on consacre ses journées à jardiner, à cuisiner des mets raffinés, à ​​​ ...展开"
"Et une fois ce désir comblé, une autre forme de faim suigit aussitôt. C'est pour cette raison que tant de personnes riches se tournent vers la randonnée, la survie en pleine nature, les marathons ou la méditation: elle cherchent, par tous les moyens, à rééquilibrer leur système d ​​​ ...展开"
"L'être humain n'est pas une espèce naturellement portée vers l'autodiscipline. D'un côte, nous aspirons à la liberté, mais dès que nous perdons toutes les contraintes extérieures, nous éprouvons un profond sentiment d'abandon.Je rencontre souvent des personnes ainsi ballotées e ​​​ ...展开"
"Lorsqu'une personne imagine une vie idéale, elle suppose presque toujours qu'il s'agit d'un état de quiétude dt d'inscouciance pouvant s'étendre à l'infini. Mais quand il s'agit de transformer ce rêve en réalité, il est fort probable qu'elle ne puisse pas réellement vivre ainsi. ​​​ ...展开"
"En général, je m'occupe en priorité des tâches difficiles et stimulantes; mais pour les dossiers particulièrement simples et ennuyeux, je n'ai absolument aucune motivation et je les repousse jusqu'au dernier moment, jusqu'à ce qu'il devienne impossible de éviter. ​​​"
"Dans notre grand pays qui ne brille pas le respect de la propriété intellectuelle, certaines choses sont vraiment données...Je m'apprêtais à acheter la série complète des Harry Potter en version numérique française: sur Amazon, c'est environ une dizaine de dollars le tome. Huit  ​​​ ...展开"
"Il y a un travail dont la première étape est d'une simplicité déconcertante: il suffit  de transférer les photos prises avec mon téléphone vers l'ordinateur, puis de les ranger dans un dossier précis, Mais ce processus, pourtant élémentaire, est saturé de disractions.En l'occur ​​​ ...展开"
"C'est aussi pourquoi beaucoup de gens ont du mal à distinguer la différence entre une vie confortable et une vie riche en retours.Lorsqu'ils parlent de leur rêves d'avenir, la vision de nombreuses personnes n'est qu'une corretion radicale de leur vie présente: une projection ver ​​​ ...展开"
"Les êtres humains ont, par nature, besion de récompense-qu'elle soit concrète, matérielle, ou qu'elle relève de la sphère physiologique et psychologique. Le moteur profond de l'humanité réside dans notre capacité à nous inscrire dans un système de récompense qui fonctionne pour n ​​​ ...展开"
"On entend souvent dire qu'il faut écouter ses ressentis: si tu n'as pas envie de faire quelque chose, c'est forcément que tu ne l'aimes pas, ou que cela ne vaut pas la peine de le faire.Mais cette idée ne s'applique pas vraiment ici, car bien souvent, nous repoussons même des ch ​​​ ...展开"
"Les 300 mètres restants ressemblent à un territoire d'expérience encore inconnu, une carte non déverrouillée où l'on avance dans la brume, désemparé. Avant d'atteindre la ligne d'arrivée, il n'y a cucun retour, aucun signal. Ce qu'il faut surmonter, c'est précisément cette zone s ​​​ ...展开"
"J'ai vu un type de vie profondément regrettable: celle d'une personne qui, sur chaque piste, court 700 mètres...pour finalement abandonner à un tiers de l'arrivée.Elle a toujours voulu connaître l'expérience complète d'une course de 1000 mètres, mais il semble que ses forces ne ​​​ ...展开"
"L'année 2025 est déjà à moitié écoulée. J'ai eu beaucoup de réflexions ces derniers mois, mais j'en ai partagé bien peu. C'est peut-être le signe d'un besoin de silence et d'un espace personnel qui m'était nécessaire. Mais à partir de ce point, je compte argumenter la la fréquenc ​​​ ...展开"
"J'encourage toujours les gens à prendre luer état d'espirit, leur besoins, leur émotions et leur doutes du moment comme point d'éntrée dans la lecture, car les êtres humains organisent leurs expériences à travers leurs émotions. Notre expérience présente détermine la profondeur a ​​​ ...展开"
"Balzac et la Petite Tailleuse chinoise est un livre écrit en français par un auteur chinois vivant en France. Dans une interview, il a reconté cette anecdote: il avait accepté une interview pour un média français et avait fait écouter l'enregistrement à sa mère. Une fois l'écoute ​​​ ...展开"
"Une autre découverte surprenante, c'est la rue Broca, qui semble encore inconnue dans le monde sinophone. De petites histoires délicates et adorables, où le fantastique et le réel s'entrelacent intimement. Et puis ce dessin animé, avec son style à la fois laid et magnifique. C'se ​​​ ...展开"
"J'aimais beaucoup la littérature pour enfants. Même dans la vingtaine, j'en lisais encore énormént. Pas de la science-fiction ni de la fantasy qui s'adressent à tous les âges, mais de vraies œuvres écrites spécialement pour les enfants et les adolescents.Aujourd'hui, à l'appro ​​​ ...展开"
"Dans ce monde, les êtres humains n'ont jamais été égaux.Parfois, au-delà des murs élevés que dressent les systèmes et l'économie, il existe aussi des murs d'information.qui condamnent les plus faibles non seulement à la précarité matérielle, mais aussi à une pauvreté de connais ​​​ ...展开"
"Dès qu'une personne chute dans le domaine du courage, elle commence à se mentir à elle-même;et dès qu'elle s'abandonne à l'auto-illusion, elld est condamnée à gaspiller sa vie. ​​​"
"Face aux difficultés de la vie, il vaut mieux consacrer son énergie à chercher des solutions qu'à trouver des excuses pour fuir.Si vraiment l'on craint d'affronter l'érpeuve, on peut se retirer un temps, se reposer, reprendre des forces.Mais surtout, il ne faut jamais embellier ​​​ ...展开"
"La vérité n'a pas d'importance; ce qui compte, c'est ce que l'on choisit de croire. Les choses auxquelles une choisit de croire, volià ce qui forge son destin.Je voulais devenir un être fou et débridé, mais je ne suis devenu qu'un homme civilisé. La civilisation n'est qu'un mas ​​​ ...展开"
"De cette soupe chaude sont apparus les organismes, la vie, et toute chose. C'était une autre brûlante, mais semblable à celle que j'éprouve mantenant: une réalité absolue. Plus réelle que tous les miracles que ton esprit pourrait concevoir, plus réelle que toutes les grande œu ​​​ ...展开"
"Pouvoir sentir la lumière du soleil est une sorte de privilège pour nous, êtres vivants, et en même temps une grâce.En ce moment, je suis assis  sur une chaise, au milieu d'une pelouse sans la moindre ombre d'arbre. Le soleil m'enveloppe directment, il brûle mon corps-C'est une  ​​​ ...展开"
"Quand je dis que je veux marcher sous le soleil, ce n'est en aucune façon une métaohore. C'est au sens littéral: je veux marcher sous  le soleil. C'est mon désir, ma passion et ma manière d'exister dans ce monde. ​​​"
"Il n'y a rien à craindre, ce que tu crains, ce n'est que ton désir. ​​​"
"Bien sûr,  utiliser une langue qui n'est pas la sienne procure un certain sentiment de liberté. Inutile de comparer avec le chinois, ce serait trop facile; mais même utiliser mon français maladroit et brisé me donne davantage de liberté que d'utiliser mon anglais, pourtant bien p ​​​ ...展开"
"Je n'aurais jamais imaginé qu'apprendre le français comporte aussi une tâche à part entière: s'habituer au clavier français. On pourrait croire que, puisque'il s'agit de letters comme en anglais, la différence ne peut pas être si grande. Et pourtant, la différence est telle que, ​​​ ...展开"
"Ces temps-ci, je suis très satisfait de mes bras et de mes épaules, je porte des débardeurs tous les jours. Comme dit ma famille: Ton style vestimentaire, on dirait Chen haonan.Après une semaine de dé^placement, dès qu'il est rentré, je n'ai pas pu résister à l'envie mes vêteme ​​​ ...展开"
"Dormir bien, c'est pour mieux s'entraîner; s'entraîner bien, c'est pour mieux dormir. Ainsi se boucle le cercle des trios grandes affaires de la vie: manger, dormir, s'entraîner. ​​​"
"«Une première pour l'humanité! L'explorateur Liu Yong achève sa traversé de l'océan indien sur 8500 km sans propulsion»- J'ai lui ce reportage hier, et j'en ai été profondément bouleversé.En voyant ce titre, je m'étais spontanément imaginé son portait: un aventurier à plein tem ​​​ ...展开"
我刚刚加入了@崔庆龙_ 的专属圈子，和圈友互动交流、享受专属权益，快来一起加入吧！  ​​​
最近喜欢刷的一个B站up主叫“烧毁一切就是美”，健身up主。感觉，热爱生活真是一种天生神力，像美貌一样，令人瞩目。 ​​​
