我就这样什么都做不好 ​​​
开始变得讨厌周末因为周末比工作日还忙 不到24小时的周末里 除去睡觉和补课的时间 剩下的五六个小时还要写作业 还要完成一些工作日堆积下来的生活里的任务 比如整理房间和发朋友圈（听起来咋这么不正经呢 但是我爱发周记哈哈哈）放松和紧张都不完全 是一种在中间的状态 。。 ​​​
关心的话为什么不能好好说 ​​​
今晚没有晚自习 写完数学准备写物理 有点累 于是把攒着没敢看的夏末混剪和溧阳尘星看了 毫不意外眼泪哗哗流💧 ​​​
才发现我见你们那天好好看啊…！ ​​​
够了 我仅仅是看敦发的指南的实况就已经不行了……何时才去寻找你所说的自由 ​​​
睡了二十分钟爬起来追月亮 ​​​
我需要休息 ​​​
我就这样去上课 ​​​
0人走出。 ​​​
今天写完了数学作业英语限时写得还不错回家看到发照片了幸福……虽然根本找不到自己在哪 咋没想着举个东西呢 ​​​
是摄影天才小单！
睡一半突然醒了 起来上了个厕所 发现不对 头还是好晕然后翻冰箱找找有没有吃的 翻到了冰淇淋 于是就在半夜黑灯的房间里 意识模糊地吃冰淇淋…太诡异了 ​​​
高三 请让每天人不人鬼不鬼的我逆转好吗 ​​​
依旧快递袋上写名字嗷 别太可爱了！ ​​​
昨晚梦到xfh了 ​​​
#一条plog告别八月#是很幸福的八月！七月连绵是的雨季，还以为八月也会像七月一样。但夏天好像就是这样好，八月常有晴天。这个月看到好几次彩虹啦，当手机里的emoji突然具象化在眼前，连晴雨夹杂的莫名其妙的天气也能被原谅。人在感到充实和幸福的时候，常常会忘了记录。这个月手机相册里照片真的 ​​​ ...展开
陆陆续续看到了朋友们的幸福突然反应过来 我是不是唯一一个 人明明在现场还需要被带话的💧 ​​​
我又相信来日方长了 ​​​
把手机里能娱乐的软件都锁了 （微博也是只不过被我延长了15分钟。。。）然后刚刚因为要回信息 把微信开了又因为实在不想复习 开始欣赏自己的朋友圈嘻嘻看着好爽 感觉自己好用心！ ​​​
每年跟那个npc一样 一到八月底就想剪头发纠结了两天还是剪了三厘米 ​​​
恋与制作人超话 悦丰年大概要多少钻呀~我现在有七千九是不是不够 ​​​
#恋与制作人#在粲然光华中，望见隽永不变的欢喜。 ​​​
我清楚地看见你
万事开头难 没想到难在了挑头像……我拍的照片怎么没有一张合适的呀 ​​​
晚上从书店出来骑车去买笔的路上，惊奇地发现外面好像比开了空调的书店更凉快，穿的短裤短袖，甚至有点冷。虽然白天艳阳高照的时候，还是晒得能让人褪一层皮，但是无可避免的昼夜温差还是告诉我，夏天过去了。今天的天气阴晴不定，下过一阵雨，又有阳光，然后又毫无征兆地下雨。雷阵雨是夏天来时打 ​​​ ...展开
我还是相信 她就是这样顶顶好的人
总是被一些虚无缥缈的东西困扰着 有点像幻肢痛 总感觉痛 但是说不上来是哪 说不上来是为什么但是他说：「25：05分在门外低语的几位心魔也可能只是想陪你看会儿电视」💧💧💧 ​​​
人总是会在某个时刻 毫无征兆地翻阅过去2025见面啦 ​​​
每次听xrrqqh的歌都觉得可以再活四分钟 ​​​
 需要听一点恶狠狠的歌来维持我的生命 ​​​
被家里小孩吵的睡不着 出门的时候心情特别不爽突然被妈妈喂了一口绿豆汤消气了 妈真好 ​​​
背对着门口写数学呢 手机里还放着歌。。就如此不专注 突然妈妈的声音从背后传来“wjx，你干嘛现在还不睡”我心虚 我说我写作业呢妈说不能天天写这么晚啊 怎么可以写这么晚呢 到了十二点就要马上睡啊。。。。我没招了 一时间不知道是不是该怪我效率低下且没有专注力了 ​​​
 刚在洗澡的时候听完了这一期，突然有种喘过气的感觉。明明他们讲述的都是将来“要做”的事，繁杂且充满未知，有的时候还会犯下不小的错，可是经过短暂的恐慌和退缩感，我突然觉得，真好。“要多学习，要多思考未来的就业方向，要深思熟虑，要充实生活……”但是这一切都由我 ​​​ ...展开
还没九月 学习状态有待考究心理卫生着实堪忧 ​​​
我真没想到a4活页册能这么大 ​​​
每天上课就是收到好几个压缩包 还没解压下一个又发来了。老师啊 我运行内存只剩16g了怎么办 ​​​
 每天就这样靠xrrqqh起床…… ​​​
又珍藏了一晚虚度的时光 ​​​
这个世界给我一种考不上211及以上就会死的感觉 ​​​
腰果咸蛋黄碱水 呀咪呀咪 ​​​
发现睡前特别爱喝水 好像是阴虚还是啥的于是不喝水口干 睡不着 喝了水上厕所变成起夜家 还是睡不着 ​​​
实在交了太多infp朋友总结一个infp的特点：不爱给不熟的人点赞。 ​​​
梦回星星软糖！田园周太萌了啊啊啊
ber？高三你真赔我点钱吧时间地点阵容如此完美可是我去不了 ​​​
心里老有东西堵着分别怎么这么难呢最后哭七分钟嗷 ​​​
才发现我没录扑水。。。。我后悔死了 ​​​
梦醒时分 ​​​
我们早日见面好吗 ​​​
下次见啦  ​​​
就像是一场人来人往 时光如梭的梦 ​​​
刚刚发完朋友圈 刷到下面yyh发的尘星直拍 想着要不再看一遍吧……发现真不中 戒断反应太快了 这个xfh一开口我就要哭了 ​​​
视频和很多照片都不在手机上 先发这些啦现在超级超级累，脚底板还在隐隐作痛，一晚上的语言系统都失调了，但歌词倒是从嘴里一句句蹦出来：）肌肉记忆了都。但是回来之后超级亢奋……嘴没停过地说，回忆了一下，说的最多的词是“喜欢”和“厉害”。我喜欢夏日入侵企画……！好真诚的四个人！我喜欢 ​​​ ...展开
今晚有好多话想说 但是先吃饭吧 ​​​
ip变！ ​​​
把苯说成无味 感觉自己要打开脑子看看里面装的啥了 ​​​
世界没了女生不能转 ​​​
防了一周的月经在演出当天来了 我没招了…… ​​​
你什么时候才能意识到 这是你的人生 很多事情完全可以靠你自己决定 ​​​
焦急焦虑焦躁 ​​​
想半天单词 最后发现是“普通话” ​​​
？你是说你缓解焦虑的方法是逃避是吗 ​​​
看到这条突然笑出声 五角星不焦虑好吗 ​​​
 这两天已经尽力不点进xhs的帖子 不把朋友圈的实况一条条播放听他们的声音了可是还是好难过💧2023暑假 时间可以距离可以 偏偏抢票时间是工作日中午十二点 所以错过2025年 好多好朋友帮我抢票 在晚开的情况下朋友也帮我抢到了 点开QQ看到消息那一刻像是失而复得 我终于可以见 ​​​ ...展开
你知道这张课表和我刚做好的预览图放在一起有多讽刺吗 ​​​
焦虑焦得快黑了 ​​​
夏天结束了…… 但是看这个视频又莫名感动 虽然夏天结束了 但是我们的夏天还在继续
最近朋友圈里的照片十分高p8.16大家不要认不出我好吗。 ​​​
“恨自己轻率又从容的告别，在你离开的时候。”好多朋友都不喜欢夏天，她们说它太热了。可是我就是最喜欢夏天。今年的夏天好像悄无声息地过了。接续不断的暴雨取代了朝霞和晚霞，我好像总是待在有空调的地方，没有感受夏天，唯一证明它存在的好像只有不断调低的空调温度。这样也好，没有盛大的相 ​​​ ...展开
夏天都要过去了 好像什么都还没有做 ​​​
我没招了怎么又熬穿了 ​​​
