妈的拿考公的劲学啊  
:准备要冲进洪流里面滚一遭了，马上要跟无忧无虑大学生生活说再见了，如割肉般难受。经常在想，如果公务员考上了该多好，但其实到现在都在怀疑自己，只招一个人，你拿什么考得过人家啊。但是身边的毕业了的朋友都在颠沛流离，工作换了一份又一份，看着就很焦虑很难受。好难过啊。。。真的好想做公务员。。安安稳稳的没有人会炒掉我。。。。
想回到大一。大一住在招待所，在珠江边，每次坐高铁从家里回来，都在海珠广场下车，然后坐公交车直达大元帅府。我特别喜欢这段路，每次坐在公交车上，都在感慨：广州我真的好喜欢好喜欢你。要毕业了，快要找工作了，也要找房子租了，我一直在逃避，时不时在想，广州，我真的能待下去吗。。  
毕业咯 舍友回家挖虫草了  [组图共2张] 原图 
洗完澡好舒服啊！  原图 
很不强壮的一女的。上星期一，隔了很久终于打了球，没热身闪到腰，坐着都疼，打个喷嚏就会扯着痛。这星期一打球回来没放松，一觉睡醒腰酸背痛，咳嗽都要轻轻咳，扯着腹部疼。。我要运动！要很强壮很有力气！  
笑死我了舍友论文降ai率后： yeongyeon34的微博视频  
ctmd  
4.11那条微博漏的图 毕业了我可怎么办  [组图共2张] 原图 
鼻头粉粉 睡得死死 毛发滑滑 睡姿舒展 大肥猫  [组图共3张] 原图 
你到球场了吗？  
上年这会广州天气雷雷的。不想说是坏坏的，因为下大雨也很好玩，哗啦啦的在天上往地下倒水  原图 
好冷🥶  原图 
备考阶段有过一段很健康的时光，每天都在想吃什么，看到什么都馋看到什么都想吃，睡眠也很好。后期从没有任何胃口吃东西，麦当劳、披萨、意面各种各样平时爱吃的都试过了，都没兴趣吃，发展到现在吃两口就想吐，吃不下，我的妈啊，会好起来的，加油宝宝，会调整过来的。  原图 
:临近考试的时候，恐惧是扰乱我心思的主力军。而像现在这种平时的时候，童年的一段段往事不断地砸向我，好像当时那会伤害我一次还远远不够，一定要一次又一次的在往后的十多年里像潮水一样来来回回侵蚀我。庆幸的是在微博这里没有认识的人，就算是正在打字的自己都觉得这段话矫情，但是的的确确被困扰着，很想摆脱这些东西，到底要怎么做才能走出来啊。
想哭 无力感  
:好吓人，明天就要考试了，害怕紧张的情绪就像一块大到看不到边的又黑又沉的幕布将我整个人盖住，我没有办法挣脱，一个人面对这样的恐惧更是让坏情绪无限地放大了。我感受到我的心脏在一梗一梗地跳，手特别特别的麻，控制不住地一直在抖，但是没办法，这是自己选的路，再坚持一天，无论结果如何，都可以告一段落了。
好吃！  原图 
不要对阶段性的朋友太上心伤心，他们是你这个阶段的朋友罢了，实际就是阶段性的长期搭子，待人真诚就好，大家也算是开心过一段时间，也足够了  
为何不带我炒股  原图 
一切交给时间  
人生下来命就是定了的，遇到什么人、发生什么事、得到什么得不到什么，都是注定的，不要试图跟命运抗衡，开开心心平静的过每一天才是正解。  
回头看原来自己已经走过这么多路，往前看，漫漫长路，还有很多路要自己走，走到哪步算是哪步 加油  
为什么越做越差。  
春天来了，好想出去玩，好想我的朋友，喜欢跟妈妈朋友黏黏糊糊呆在一起的感觉，就算什么也不做，我们同处一个空间下我都觉得很舒服。  
。。tamade（恶狠狠。。。。。）  原图 
这两天给我最大的感触，就是以后的日子，人与人之间的交往就是利益互换了，长大了，要变成个要价值的人了，不然别人为什么要鸟你为什么要帮你。。除了家里人，没有人会盼着我好了，没有价值的人就会被社会抛弃，是边角料，是路过的狗都能欺负你一下的存在。加油，亲爱的。  
什么都能触发我妈爆金币的点  [组图共2张] 原图 
从现在开始 没有一条路是走得不困难的 道阻且长  
坚强！要坚强！  原图 
妈呀原来今天这么冷  原图 
处处受挫，崩溃毕业季  
不知道是饿过头了还是干什么，今天吃三顿饭吃完都想吐，顶着顶着胃很难受。。  
天天哭天天哭，每天都哭。。初中每天哭得天昏地暗，肿着眼睛上学。高中哭到半夜，控制着时间赶紧睡觉，第二天起不来。大学好一点，但也是一动就哭，莫名其妙的就要哭一会。那也不能怪我，我就不应该出现在这个世界。。  
春天来了！春天的空气总是有一种不一样的味道，湿湿的润润的，很喜欢。记得初中回南天，朋友吐槽说烦透那种气味了，但是我好喜欢好着迷，是泥土里面夹杂着水汽的味道，充满希望。  
也许现在面临的艰难时刻，以后还会有更多更多，不要沮丧，路总是要走的，收拾好心情，一步一步的把该做的做好就行了，逃避只会让事情变得越来越糟糕，准备是23岁的大人了，虽然时常觉得孤立无援，但以后还有更多更多的时候要靠你自己撑起来，不要逃避，船到桥头自然直。  
加油宝宝 加油鹿小葵你可以的你是最棒的  
我的学校就像是个公园，从寒假未开始到现在，每天教学楼下面就一堆小孩玩闹，实在是太吵了。。现在已经晚上九点半了，还是特别特别吵！啊，我讨厌小孩子。  
抽象鼻祖  原图 
舍友明天回西藏了 很难过。。毕业在即，分别也悄无声息的来了  
我到底想要怎样的人生 我到底会有怎样的人生  
史诗级  原图 
大年初一 想上学候补了初六的票，不知道能不能成功  
啊啊啊啊啊！！  原图 
回家的床就是舒服。而且学校的被子没有被套两个冬天了，自从疫情带回家洗了被套之后，就再也没有带回去，两个冬天盖的被芯睡觉。家里有被套的被子软软的暖暖的好舒服。  
经常会猛的意识到，花了这么多时间去做这件事情，但是成功的可能性基本为零，难受得呼吸不过来。回头看看，已经走到这一步了，还有四十多天，既然已经花了这么多精力了，最后一点点时间了，被折磨这么久了，就坚持到最后吧，考不上才是常态，这有什么呢，快快偷偷擦擦眼泪继续学才是正事。  
好好学习 偶尔打球 太幸福  [组图共9张] 原图 
顺其自然 相信一切都会水到渠成  
谁舍得 好难过好伤心 泪汪汪  [组图共3张] 原图 
人生啊人生  [组图共2张] 原图 
学习读书对我来说是可控的，安心的。窝在那点小地方，埋头学啊学，到饭点了抬头问问一起学的舍友吃什么，聊聊天，然后再继续学。晚上呢晃晃悠悠的走回宿舍，最近温度很舒服，月亮很圆，好想好想永远停留在现在。  原图 
资料 数量都听不下去 一点也听不进。。一学就想开小差。。。。  
。。痛苦。。。。。。希望下辈子童年开开心心的  [组图共5张] 原图 
科推过一遍咯 一直保持好状态吧求求你了  原图 
仔细一看，我的橡皮就很像一颗🦷  [组图共2张] 原图 
分享图片  [组图共5张] 原图 
等我考完了，我就狠狠出去玩！看综艺，看书，随便找条街到处乱逛，随便找个公园待一整天的晒太阳！！什么也不想，什么也不理！  
经典咏流传  [组图共2张] 原图 
总觉得时间过得好快，打球的时候过得更快 yeongyeon34的微博视频  
无论如何 我一定要考上  
