田震和孙悦 嗓子咋这么好 ​​​
好久没有听树叶落下的声音 听风拂过耳边 听鸟吱吱呀呀叫 耳机里的音乐固然美妙 大自然的声音也不可缺少 是从什么时候开始 拍下的照片动图要去软件里找模版剪成卡点视频 录下的视频要去配一个合适的bgm 一成不变的流水化是好还是不好 聪明的人不智慧好像很久没有看见没有音乐加成的大自然视频了 ​​​
在现在这个时代的国中 给予我们这代人最好的时代红利就是 躺平也可以活得下去 虽然社会物欲横流 但想要活下去的生活成本是非常低的 所以我说没有永恒的经济实力 取而代之的我最看重的是价值观念 我可以躺平也可以努力赚钱 太多精力放在生存上 就会不自觉的忽视情感 或是对情感需求过多 当真正找到平衡  ​​​ ...展开
//@后街de道道:陈道明有没有文化不是重点，重点是他提携秦雯，秦雯忘恩负义。私下说别人可能谁都有过，但是嘲讽对自己有恩的人
其实微博就是我发牢骚的地方 不必担心我 ​​​
妈妈
我又被美到了
好喜欢有人记录我 ​​​
分享图片 ​​​
//@wayinecn:大部分已经过时的时尚单品
//@换什么名字呢啊呀:不能更同意 查看图片
分享图片 ​​​
谁看完天道不爱丁元英这个神 ​​​
这个校园跑就是坑害我钱财的 ​​​
其实我一直不理解 人为什么要上去了就玩手机的课 我真的是觉得浪费老师时间啊 去了就玩手机的课其实可以不去的 ​​​
黑奴 我愿意当黑奴 ​​​
娟娟我支持你！
没关系 育萱慢慢走 ​​​
老婆
老婆
一想到一个labubu我得上两天班才能买下来 我就不想买了 但是我好多喜欢的人都买了呵呵 ​​​
电影可以看看 书就算了
妈呀这本书看得我生理性不适 老派法味批判式 完全没有道德 也是让我大开眼界 我不批判这种lifestyle 但很难再看下去了 ​​​
wkwk我才知道 女神的偶像是男神
woc我不行了萌化了
岁月啊啊啊 刚才看iu的直播回放 感觉我u真的沧桑了一点 真的进入了三十岁啊啊 我一直觉得我u二十多 ​​​
天 国庆我要去兼职了（钱是黑奴价格 但感觉很喜欢啊啊啊 ​​​
谁研究的桂花红茶味脆升升受死吧川小白的金汤酸菜味好好吃梁家辉这个帅 360度无死角 ​​​
看完马大帅之后 我看什么都不会觉得尴尬了 ​​​
以后周末还是回家吧 突然发现周末我基本一分不花 点外卖都拿我妈手机点 家里酸奶水果饮料啥都有 今天没回家去食堂买了饭和水果花费24r心痛💔 ​​​
#edg#edg回家吧回家 ​​​
十年 我还在
我的琅琊榜十周年了呜呜 谁知道我有多爱琅琊榜 ​​​
老公
我咋这么喜欢盲盒 我真服了 ​​​
我真的很喜欢
一上新桂花，我就这样买 ​​​
从今天开始 我要每天十二点前睡觉 我好累 ​​​
减肥失败 ​​​
她自由自在随着音乐跳起单人舞。 ​​​
别唱了 上课你就jb唱歌 别唱了死女的 ​​​
老婆
算了 爱谁谁吧 zgm就zgm ​​​
学历史的其中之一好处就是 每次纪念日重大节点 我们都会参与 阅兵抗美援朝918等等等等 我们会一起默哀 我们会在看抗美援朝老兵回家的直播时 默默流眼泪 不会怕同学会笑我们 因为我们都是带着信仰的流着深爱这个国家和这个民族的血的人我们会经常一起去博物馆参观 会去各个古迹参观 会触摸很多年前的石 ​​​ ...展开
上课小睡十分钟 听到918鸣笛 我立马起来了 这就是铭记历史 ​​​
老师真的很好了 我当老师也让学生睡
就这样发疯
今年见了两面啦时光机带我回到了过去，你也试试？微博回忆 //@至安抵达安宁了吗:愿有生之年能与你相见 我的安溥
吴总和小翠还有刚子这三人太有意思 ​​​
每月奖励自己一本杂志计划上个月奖励自己两本这个月买了梁家辉费列罗vogue二十周年太丑了我真受不了 ​​​
看一年直播了 太幸福了@HangHang 我拥护你hang神 ​​​
我今年必须克服一下对宠物的恐惧and学会骑电动车and上路 ​​​
哦哦哦哦哦哦哦哦哦 ​​​
其实我真的不喜欢 还要配合朋友们…
我害怕zgm咋办 ​​​
我一点不想写教育教法 ​​​
我笑不行了 这个英语老师情绪太稳定了 也太温柔了 每节课都没人回答问题 她也不生气 我都看不下去了 只好和她互动 但是我真的没听出来那几个听力 我就跟她对视 露出疑惑的表情 她问：没听出来吗 没听出来要不要再听一遍 我就尴尬点头 然后我看全班都在玩手机 没人理 我就更加坚定点头 她：那好我们再听 ​​​ ...展开
学业指导教师是干啥的 我喜欢yxm啊啊啊啊 为什么给我分配zgm ​​​
舒服是无罪的 ​​​
