人有了物质才能生存有了理想才谈得上生活 --- 雨果 ​​​
我娃没有这么严重，但是也有点这样。有时候我想管我娃吧，有的朋友又说我得“抓大放小”，好像这是小事。然后呢，很多育儿专家又说“要尊重孩子”，关键尊重孩子，孩子真的不听，有的时候，真的不吼娃，好像孩子听不进去。吼娃又后悔
期待抽中我，期待上市
最近有一句话很流行：no one is coming。没有人会来。不是说没有人会出现在你的生命中，而是说没有人会帮你承担你本该承担的责任。《哈佛积极心理学》里有这样一段话：“要知道，承担生活的责任，就是要认识到，没人会变成穿着闪亮铠甲的骑士来到你跟前，带你前往那个永恒的幸福乐园，没人会来替你 ​​​ ...展开
今天应做的事没有做明天再早也是耽误了 --- 裴斯泰洛齐 ​​​
马克思主义思想的“对立统一”，道家思想的“阴阳鱼”，佛家思想的“色不异空 空不异色”，讲的都是一个意思。抛开应试的视角，从实战的角度看，马克思主义思想的实用性真的很强。特别是那种利益结构很复杂的问题，马老师从逻辑到心法，再到具体的方法论，讲的那叫一个明明白白。如果只是点对点的 ​​​ ...展开
分享一个最近看到的育儿书观点，里面提到“贿赂型”父母，比如孩子哭闹的时候，就说别哭，带你去买吃的。贿赂带来的问题是，他做任何事情都没有来自自己内心的动力，他的动力全部来自外在的确认。书里说“如果一个人感受不到事情本身的乐趣，是很危险的。我们想想看，人的一生中永远都有人给你外部的 ​​​ ...展开
//@斜风-细雨-:陈工说得好，只需要安心生活，不需要剖析那么多人性
//@是勇敢的美少女:真情实感的深度怨恨过就明白消耗有多大了，没有伤人，全是自伤。父母本就是我们精神肉体很基本盘的构建者，自己和自己猛猛打架罢了
//@小小机智红:让速不让道，一定要记住，不然无责变全责
//@特能搞://@重生之不叫小兰:支持了 本人never传播负能量 也不接收负能量 每天都无敌开心 所以也超级幸福//@AAAAA非主流贩卖大师:咋说呢 这是我生活最简单的一个座右铭 我一直觉得自己是一个幸福感超级强的人 我上网属于不看任何负面情绪 如果看了立马会看搞笑东西消化掉 绝对不会因为别人影响到自己  ...展开
//@特能搞://@带你逛B站://@影视菌://@大头和他的朋友们: 不要让八小时的薪资，买走你24小时的心情
//@特能搞://@你的雕沙到我了:我念//@展台手册:俺念//@小狗斯特:好滴//@西升月:我念//@噗叽咕咕咕:默念//@奶思玩家:凡是发生皆有利于我！//@每天都在废话:一切都会容易又顺利！//@你好我要一箱养乐多:福咒我念！//@夏目家的小诗哥:我牢记//@黄濑濑濑濑:我念！//@风吹铃铛响叮叮:好
能表达攻击性，其实这是很理想的状态的～但是对本身性格就平和内敛的人来说，在面对被欺负的时候，也许还要处理来自内心的冲突“我为什么不敢还击？我太弱了”还有来自父母的声音，“你要勇敢，要有力量的还击”。当孩子做不到的时候，他内心会有很多自我评判的声音，他是自我厌恶的，他的需要是分裂的 ​​​ ...展开
如果你们没做什么处理，感觉挺遗憾的得学会游泳，换水池不行 ​​​
假话全不说真话不全说 --- 季羡林 ​​​
//@用户8017367522:你带2个孩子就知道了，母亲也不是圣人，不会随时随刻都能把情绪管理好//@Charlizebaby:还记得她妈妈抱着她弟弟看她得眼神吗
日志：小团体群体霸凌时，会激发人性的恶。 ​​​
我改天试试//@Stella777777:回复@云端不内耗:黑燕麦加少量水和鸡蛋微波炉高火一分半，牛奶最后加，超级好吃//@Stella777777:早啊 吃完早餐去上班 娃子还在呼呼大睡 查看图片
🍃学习是“天天的事”📕成长是“渐渐的事”🎨优秀是“坚持的事”童年很短，未来很长，万般美好的句子，都不及学习时可爱的样子。 ​​​
两个男娃追两个女娃 ​​​
生活就像一座围城城里的人想出去城外的人想进来 --- 钱钟书 ​​​
#辅助驾驶不能当自动驾驶#，，， ​​​
陪孩子写作业的底层逻辑：避开三大误区第一误区：只关注完成作业正确做法：关注孩子情绪，当孩子出现以下情况时：不会做题拖拉磨蹭，不想写作业，家长应该告诉孩子这些都是正常的，爸爸妈妈偶尔也不想上班允许暂停，不想写就先不写，咱们先聊会儿天，了解原因：白天在学校发生了什么？和老师同学有矛 ​​​ ...展开
学习的4个层面：看见、知道、做到、内化。1、看见你知道你不知道的，就是看见；你不知道你不知道的，就是没看见。你没看见，对你来说是不存在的。一个人能“看见”，已经非常难了。2、知道先有“看见”，然后才能“知道”。知道就是通过学习，去研究其规律、方法，然后理解、懂得。学习首先 ​​​ ...展开
感恩我的孩子写英文字母那么漂亮 ​​​
别太内耗了 ​​​
经济基础决定上层建筑 ​​​
the four spiritual laws of prosperity ​​​
每个起早贪黑的日子都是特别有梦想的日子 ​​​
群友们分析大家的八字，我觉得挺有意思的，总结起来差不多都是：多运动，少生气，多吃蔬菜，少吃肉，要对老公好点，老公孩子都是旺咱的，好运都在后头呢……可能不全哈，但我感觉这些普适的建议适合所有人[呲牙] ​​​
@所有人 人要多反思自己的生活习惯，多运动，少吃生冷，开心一点。所有的药方，都是暂时的补救措施，没有一个人能靠吃一辈子药来维持健康的。真正能维护我们身体健康的，是良好的情绪，是合理的饮食和积极的锻炼，这才是一生健康的大道。 ​​​
但凡不能杀死你的最终都会使你更强大 --- 尼采 ​​​
//@绘本妈妈海桐:这篇帖子的含金量还在上升，小学低年级和幼儿园的家长，快收藏。
回复@郝莎莎0717:确实是，唉，恶性循环//@郝莎莎0717:回复@用户7999317930:不是那么多家庭有能力看心理医生。也没有那么多妈妈能意识到自己病了需要治疗，需要偶尔放手。反正就是还有很多女孩一直生，不管自己。一直生…
志不强者智不达言不信者行不果 --- 墨子 ​​​
阿德勒思想给我最大的冲击就是，钥匙永远掌握在自己手上，只要自己想改变，随时都可以。每个人的原生家庭都不完美，我们不能总是去找过去的是是非非，而是要关注现在这一刻应该怎么选择，而选择的钥匙自始至终都在自己手上，就看自己有没有勇气迈出这一步。 ​​​
//@车走之儿:我总觉得是家庭中父亲、丈夫的长期缺位导致的，不是推脱，女性付出得太多
心有多大，舞台就有多大 ​​​
//@桔子酱酱酱酱酱酱:让艾文跟那个人做旅游搭子就好了，每个人找到同类就行，不用特别社会化
//@嘻嘻来打我啊笨蛋:允许 “局部调整” ，而非 “全盘放弃”
生活就像一座围城城里的人想出去城外的人想进来 --- 钱钟书 ​​​
万物皆有裂痕那是光照进来的地方 --- 莱昂纳德·科恩 ​​​
我妈活的又封建又先锋 ​​​
//@昵称是可以随时改的:这不就是8+16轻断食吗？8小时内吃掉全天需要的食物，早午两餐大概是只吃八成饱，下午四五点钟后就不再吃任何东西了，肯定能瘦
//@Jolie人杰:女人都这样了还要男人干嘛？添堵吗？
//@宋刘裕:去英国白享受？不工作？不创造价值？回去！
喜欢今天有人说的一句话 不要太早懂事 尤其女孩子有自由的过程自由的撒娇 自由的任性宝贝在成为大人之前做不懂事的小孩子也可以[爱心] ​​​
//@-Tsa:这女孩子从小就因为不符合大众审美的长相，就被贬低和讨伐，她甚至什么都没有做错，就只是因为长相，真是服了，明明就是很可爱的女孩子，却从小被黑到大，真的很无语，以后小女孩会越来越火，气死那些黑子
接不住孩子情绪，把孩子搞哭 ​​​
接不住孩子的情绪 ​​​
