同意，打死我也不想再上学了 学的够够的
本人从小学开始就很自恋 自恋型人格在我身上可以说发挥的淋漓尽致本人要感谢自己的努力和运气，让我于今日还能保持这份自恋也感谢我的身边人，觉得我这份自恋是我应得的。感恩☺️ ​​​
哭着看完
关注了一个小红书博主 九月杰克之前看她是因为她在智利还是葡萄牙流浪来着 真的流浪现在回英国开始找工作了 学的建筑设计怎么说呢，她的小红书很奇妙，看她的vlog感觉她有一种又疯又我悟了我开化了的爽感 又疯批又正常 又绝望又平静 又摆烂又努力 很奇妙诡异的感觉 推荐给大家 ​​​
没工作之前，50万100万小case 工作以后，10万是个好东西每分钱都是老子挣得 ​​​
稍微汪汪两句 不要自行对号入座那天还和朋友聊到ai大模型算法工程师的问题这玩意儿 反正我水平不行哈 研究生研究的这个东西试想一下，要是现在工作内容能是研究生从事的方向也不错从github上扒下来开源代码 一调试 测一周 用垃圾cpu gpu卡跑的更慢 领导问进展 问就是还在跑然后发现开源模型越调越 ​​​ ...展开
回北京了就好想上海啊感觉在上海随便打开大众点评每一个都想吃找一个chill的地方喝咖啡喝酒容易之极上海已经在next level了 ​​​
知识盲区，有空学习一下//@M大王叫我来巡山:好认真的老师社科其实对自己的视野提升和培养全面思考问题方式相当有帮助//@-森谷moriya-:社科 我看//@李浩源_鲤太史 :这是目前国内最稀缺的一种本科课程。在需要打开视野的时候不打开视野，人生的道路和专业的眼光都会受到一定影响，支持这位老师默默的努力
每次看电影和看书的时候都觉得时间不够希望一天48个小时这样我就可以自由的看书了诶…… ​​​
我要好好减肥了 ​​​
好酷
素啊，之前叶问打的拳还被嘲是女人拳的//@雪霏Sophia://@商小略:啊？！真不知道//@清狂Aling://@龙猫自在:创始人是女性本该是宣传点，他们却作为嘲点//@薰蝉Kiroshi__:叶问电影里有句台词 大概意思就是别人嘲讽叶问打的是女人拳没有出息什么的。感觉既然拍了叶问电影为什么不再发扬一下创始人是女性呢
姑且不提烂尾什么时候能再出点神作给我看看像那种什么进击的巨人 fate zero之类的最不济也像东京食喠那种最近熬到这个时候看剧完全为了看完而看完，满脑子都是……怎么还没结束？无聊死了…… ​​​
谁懂啊，我花了好几天看夏日重现后面几集真的好难看啊，现在心情差的一比有一种前面吃着M9和牛最后被喂了一嘴沙子我做错了什么！！！死期将至也是同理首尔之春也一般，啊啊啊啊啊只有至上之法还凑合我的假日被浪费了当然我还看了好几本书 心情略略平稳 ​​​
一年一度！或者一年几度！ 女宝加油👏为女宝助力！ 查看图片
哈哈哈哈哈哈可以
亲爱的等遍所有绿灯 还是让自己疯一下要紧 马路戏院商店天空海阔任我行 ​​​
一直爱MJ 从来相信他的人品！！！！
金手指我觉得不输无双 但是肯定比不上无间道啦豆瓣这么多人打低分让我震惊看不懂股票洗钱和炒作噱头来制造利好就说看不懂打低分几个意思还有结局根本就是影片的高潮 一种隐喻 涉及剧透我就不说了总之 好看去看电影金手指超话#电影金手指# ​​​
