特别害怕健身房要倒闭…… ​​​
哇靠 去年夏天可能闲着 录了个播客发小宇宙了  纯瞎说 语气口音都乱来的 我完全忘记了啊啊啊！！！！！！然后刚刚听播客点自己主页改名字 才发现这个播客 我刚刚看到都没有勇气点进去听……居然还有几十个收听 还有几个订阅 好尬 还找不到怎么删除 ​​​
一点点真的好好喝随便凑了些图哈哈哈 感觉这个模板套啥照片都好看（滤镜的重要性） ​​​
哇 绝了 ​​​
真的想睡觉了 但是突然好想吃东西 好想吃三文鱼啊啊啊 明天吃三文鱼 ​​​
早点睡吧 熬夜会掉头发 就当我求我了 ​​​
真好呀 ​​​
哈哈哈爱喝茶 ​​​
啊啊啊好香 ​​​
还是和ai聊天性价比高 ​​​
赚钱就会忘本 ​​​
我也是没扛住一上班就会过劳肥的魔咒 ​​​
才毕业一年啊 为什么这么多高中同学都结婚了 ​​​
不知道为什么 现在好久才清理一次手机垃圾 ​​​
此刻我的心情非常愉悦 一边吃宵夜一边看剧 无敌幸福 ​​​
工作了才知道 我上学时候和实习时候有多开心  和无忧无虑差不多 上学时候焦虑的只有找工作 但是工作后焦虑的东西多了n倍 ​​​
无敌后悔在去年有精力有时间时候……没有去成湖南和武汉 ​​​
君子之交 一期一会 ​​​
上班后 感觉没素质比有素质舒服多了何必维系这么多没必要的关系 最好别来沾边 ​​​
呜呜呜又出去走了一圈 人生就是体验各种事情后找到自己想要的努力有了方向时刻记住自己想要的好好朝着自己想去的方向努力 ​​​
熬夜真的会掉头发 我不想熬夜了 ​​​
哈哈哈对好多东西祛魅了 感受过好多东西就没意思了 什么可以掀起新的生活热情！！！！！！ ​​​
小时候特别在意亲戚的阳光和评价 长大后觉得他的说的话都是屁 无所屌谓关我屁事 ​​​
上班之后根本戒不掉宵夜 ​​​
播客好啊 播客真好 ​​​
发现我的新型催眠神器 播客我是怎么做到的 想听听播客 结果放着播客睡了一个小时 ​​​
每一段关系我都很轻易的搞砸 ​​​
坚持就是胜利！！！啊啊啊！！！冲啊！！！ ​​​
工科研究生真的很忙吗？ ​​​
我真的服了 能不能不要跳去淘宝啊哪个app都有通往淘宝的通道 ​​​
天呐老天爷谢谢你 总是在我难过时候给我点甜头 ​​​
长大咋这么痛苦 ​​​
真的有幸福的工作吗 ​​​
一生被激素控制的女人 我感受到了 ​​​
人在尴尬时候真的会瞎忙 这到底是为什么 ​​​
美～ ​​​
现在没有什么比点进去多邻国学习时发现陌生学习搭子友情连胜断开更难受的事了 ​​​
网络上都是不生娃 怎么我身边同事都两胎三胎的生 ​​​
不再追求什么上岸 忽然清醒 兜里有钱才是真实的 ​​​
放我回去上学 我需要自由 ​​​
消除痛苦的办法是学习 ​​​
回到家的客气都是清新的 ​​​
自从上班后看的都是心理学的书……自己安慰自己 ​​​
