一些幸福时刻🤤 ​​​
生日和妈妈一起在老房子旁边采茶 有一种时光倒流的感觉 太有意义了✌🏻 ​​​
开心得要命现在 ​​​
很满意今天✌🏻努力保持！ ​​​
日日是好日 ​​​
每来一次南昌 都要恨上南昌西一分 ​​​
妈啊 太久没运动昨天跑了个欢乐跑现在浑身好痛 ​​​
过程比结果更重要收获的经验➕继续努力总会更好的也希望在这样的一次次活动中能感受到语文的魅力 由衷热爱它！#地球上线之大王生活碎碎念# ​​​
中文是世界上最美丽的语言而古诗词是这美丽语言的高度浓缩 ​​​
最近因为手机像素很少记录生活我反省了 改过自新！#地球上线之大王生活碎碎念# ​​​
充电ing#地球上线之大王生活碎碎念# ​​​
我真的太幸福了！为自己想做的事努力空闲时间 追追剧 发发呆 感觉人生太棒咯#地球上线之大王生活碎碎念# ​​​
被夸得心花怒放 满意咯#地球上线之大王生活碎碎念# ​​​
我该的 我应得的
累累累 怎么逼着自己搞这么多啊#地球上线之大王生活碎碎念# ​​​
没人知道我昨晚做的梦到底有多爽！！！梦上高中 还有crush  不是我依附他是势均力敌  一起进步 相互辅导见面约会不是学习就是一起散步压马路逛公园脑子你记住了 我就喜欢这样的！不要求多了 一个礼拜梦一次吧#地球上线之大王生活碎碎念# ​​​
人生并非虚耗#地球上线之大王生活碎碎念# ​​​
一想到一下班就能吃到家里的饭菜还有昨天买的冰皮麻薯还有爷爷给我一个人买了五十多的鸭头我就开心到起飞！！！ ​​​
在我爸口袋发现一包玉溪我看上面一个西瓜图案 我问这是不是就是西瓜味的 我想尝尝然后我哥帮我捏爆那个爆珠爷爷奶奶爸爸妈妈姑姑哥哥全盯着我抽我说别都看着我啊 我不好意思吸一口没尝出味 又一口 浓浓西瓜味全家看着我抽烟 好奇妙的体验哈哈哈哈哈 ​​​
五点起来化的妆  现在全是泪痕 妆也脱没了在家看见奶奶一个人在房间抹眼泪进去劝她  她哭声说不哭 我没哭   我忍住了然后不知道谁连着音响 放起“风轻轻～我听见”憋不住了 眼泪啪嗒啪嗒掉 假睫毛掉了路上爷爷时不时拿纸擦眼泪婚礼开始时 姐姐穿着婚纱 一步一步走向我们大妈哭红的眼睛 颤抖的手 ​​​ ...展开
开学第一天 为自己踩点最后一分钟打上卡而高兴✌🏻 ​​​
这个家感觉离了我好像转不了一样 ​​​
长大好吓人以前朋友都是来和我说恋爱问题现在她们都是来和我说相亲对象#地球上线之大王生活碎碎念# ​​​
累晕 陪小孩子玩了个把小时捉迷藏 冰冻人 123木头人不许动 ​​​
冲冲冲！ ​​​
巨无霸草莓！ ​​​
大晚上拉着王祠熙 怒干三小时卫生现在整个楼上都干净了 爽了#地球上线之大王生活碎碎念# ​​​
这两天#地球上线之大王生活碎碎念# ​​​
我真厉害#地球上线之大王生活碎碎念# ​​​
和帅哥聊天就是愉悦身心 #地球上线之大王生活碎碎念# ​​​
笑得不行哈哈哈哈哈哈哈哈哈 #地球上线之大王生活碎碎念# 巧巧福团子的微博视频 ​​​
天爷啊 再一次清楚地认识到自己身为语文老师文字功底是有多垃圾 #地球上线之大王生活碎碎念# ​​​
越看语文试卷 心越凉  全是讲过的啊连唯一一篇课外阅读的题型怎么答题考前还反复强调了作文也是考前说过的题目宁愿自己没押中过 就不会那么失望了 #地球上线之大王生活碎碎念# ​​​
冬天起床太困难了  每天早上急急忙忙然后踩点到学校之后就会忘记打卡今早出门 我妈特意强调:记得打卡啊 崽诶然后一到学校又忘记了  等想起来的时候迟到两分钟 #地球上线之大王生活碎碎念# ​​​
这烟 我感觉我要瞎了 #地球上线之大王生活碎碎念# ​​​
周六跑南昌看见的绝美日出日落（没用的手机 拍成这样） #地球上线之大王生活碎碎念# ​​​
累 太累了逛街比爬山还累洪城大市场你欺骗了我感情 #地球上线之大王生活碎碎念# ​​​
你就宠我吧@快乐的小哆 #地球上线之大王生活碎碎念# ​​​
一年又一年 还是我们 ​​​
我怎么就不能是个圆滑 会漂亮话的人啊一张嘴就是个憨批样检查觉得不足提个建议 别人校长一听脸色都变了觉得做得很好 很用心夸了 但是就是说得很呆板该死#地球上线之大王生活碎碎念# ​​​
世界就是个巨大的草台班子#地球上线之大王生活碎碎念# ​​​
给我爸妈发昨天拍的照片哈哈哈哈哈哈哈 ​​​
看大美给我p图 教我p图还原美貌太不容易#地球上线之大王生活碎碎念# ​​​
昨天张余鼓励式陪练对打发一个球夸我一句  天赋异禀今天和三年级学生对打还当上王了 不过也被零封了三个人轮流教我发球乒乓球🏓真好玩！ ​​​
那天wv回家后问我 你高兴了吗？我说非常开心！其实不止那晚开心 它意义重大因为在今后 这一瞬间 会在我失意 难过的时候持续给我一点重新开始的勇气和继续做自己的力量#地球上线之大王生活碎碎念# ​​​
人生啊 我要它鲜活#地球上线之大王生活碎碎念##美好生活嘉游赣# ​​​
本来打算下了自习就走的 他们提前交卷 我寻思还没下课那就改改选择题吧然后都围着我看我改卷改着改着打铃了  还督促我接着改于是莫名其妙加班半小时 把试卷改完了 ​​​
可恶 大早上被我爸叫起来送他去干活早起怨气比厉鬼重 穿得好恶心然后遇见学生家长了 还留我喝茶一放假 只要穿得不像人样 不是遇见学生就是学生家长但是稍微穿着得体一点 谁也遇不到 ​​​
布丁真是惹人爱的小宝宝我爸妈一向不喜欢宠物的轮流跑到我房间来逗她我妈说和布丁说话 她有反应的我爸听说都躺床上去了 还爬起来过来逗一逗 ​​​
昨晚睡前买了速食 过桥米线和渔粉晚上做梦都在吃一个特别特别特别香的面今早起来又买了螺蛳粉天知道我喊了多少遍 我要减肥 ​​​
下课就跑到操场晒太阳慎思余跑来找我:听说你最近都不开心呀 刚刚上自习跑来我办公室 给我送了她做的小猫指环 ​​​
完蛋人生完蛋过 ​​​
我恨全世界 ​​​
 ​​​
太太太太太太冷了这天我都穿上薄羽绒服了但是这天上晚自习还是好痛苦 ​​​
啊啊啊啊啊啊啊啊啊啊啊啊妈妈 我恋爱了林栋哲怎么不能是我男朋友啊啊啊啊啊 ​​​
上上上上上班 ​​​
 ​​​
猫中靓女——布丁！！！ ​​​
莫舒婷和我视频17分钟 两人被我妈一起骂了10分钟哈哈哈哈哈哈哈哈哈哈哈中间我爸还要插两句 ​​​
🤓 ​​​
吾日三省吾身:传道解惑用心了吗？与亲近之人相处耐心了吗？自己学习尽心了吗？ ​​​
我的周末#plog日记# ​​​
最近状态有点矛盾但是还在记录生活 ​​​
小王又幸福咯 ​​​
我怎么长得这么丑啊 这个皮肤这个肤色这个脸型 看着真恶心啊 ​​​
好香好香好香 ​​​
日子还是要开心的过！ ​​​
我就知道！太好啦！没事！ ​​​
太好笑了 办公室里我和煮玉米一人一个iPad放电视我:这音乐 你看得甄嬛传啊🌽:我还没看过呢我:你真是有福了 我看的父母爱情 还没看过🌽:你也是有福了哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ​​​
总是在享受生活#plog日记# ​​​
又到周末咯#plog日记# ​​​
看🌈 好事来！ ​​​
麻瓜生活 ​​​
每次去给杏子爷爷送快递 绝不让我空手离开还有我的学生放假咯 给我的教师节礼物和奶茶 ​​​
