很长很长很长的一个梦 ​​​
从认识 我好像就一直在等你一开始的等你找我 等你说爱我 到后面的等你忘记她 等你公开我 接着等你和我说你都安排准备好了带我见父母 等久了都不知道自己究竟在等些什么其实一直在等的是你再和以前那样 扔垃圾一样扔掉我 ​​​
因为从来就没有原谅过 ​​​
那一年我问医生最多的就是 全部都是假的吗 会不会其实有一点爱的 ​​​
以前都只是怀疑 慢慢发现得越多 看的更清之后 怀疑变成肯定 ​​​
因为承受不住这份结果 ​​​
爱人者忍耐 无爱者偷腥是一个人弯弯绕绕心慈手软助长了另一个人无恶不作的欲望贪婪 ​​​
今天的梦好奇怪这样的梦是第一次梦见我们好幸福 幸福的我不愿醒来 ​​​
还以为不会再难过 但其实每一次还是会已经分不清是在难过我赌输了 选错了还是在难过曾经不顾一切的那个我好傻 ​​​
本能性地回避伤痛 忘却创伤来保护自己 ​​​
忘了和你说 我今天又梦到你们了还是和以前一样的梦境 你说你很爱她 ​​​
情感羁绊太深 心理上厌恶 感情上离不开 ​​​
怪别人没有安全感的时候 反省一下自己有没有自律 ​​​
所有的痛苦其实应该都是来源于我不相信他会这么对我 ​​​
我永远记得小鸭子和喜欢它 即使它被大家吐槽说廉价 但这是我切切实实感受到你有用心对待我记得我 过后的那些每一样都是因为我的嫉妒或者索要才得来的 其实我都没有很喜欢 ​​​
为什么不分开的原因我也想不明白 ​​​
每当我觉得今天挺好的时候 他就会破坏就好比每当我觉得可以喘口气的时候 他就会勒紧我的脖子让我再次窒息 ​​​
我心里都是事 但我无法表达 我把错误归结于自己身上 我怪不了任何人 ​​​
在哭自己 哭自己没有被爱 ​​​
只收到了9朵玫瑰花 我觉得不够要求99朵满心欢喜的等待着剩下的90朵 结果等来的是给你多少就是多少 不要索取 我说我想要 他问为什么理由是什么很简单就是因为我想要而已 因为我会开心经常不想去懂 爱你的人只会觉得不够而不会觉得太多 这句话难道真的是我太贪心了吗 应该不是的是我以为 和你说的 ​​​ ...展开
因为接受不了看错人 所以一直不能原谅的其实是自己 ​​​
好像真的是这样 原来礼物是不用被伤害之后索取 还有不结婚也可以拥有 ​​​
很多时候并不意外 因为已经知根摸底 ​​​
一起的话就永远都是这样的状态 永远在质疑 ​​​
又梦见不开心的事情了 ​​​
有些事情 就算过的再久 潜意识里也是一直存在的 只能说久到不恨了 但是不可能原谅 ​​​
