林允超话《PUSS PUSS》封面人物📸 ​​​
Esquire Korea Digital May 2024 ：车银优超话 📷 ​​​
申世景超话  marie claire 一月刊 📷 ​​​
newjeans超话📷 ​​​
tripleS组合超话 ​​​📷 ​​​
任敏超话  任敏瑞丽伊人封面📷 ​​​
New Jeans MINJI x CHANEL x ELLE画报公开kimminji超话 📷 ​​​
JENNIE超话  📷 Vogue Korea May 2024 韩版五月刊📷 ​​​
ROSÉ超话  Dazed Korea 韩版Dazed春季刊封面画报📷 ​​​
许光汉超话 时装L'OFFICIEL 4月刊封面📷 ​​​
@唐嫣  ELLE 5月刊封面人物📷 ​​​
JENNIE超话 Maison Kitsuné 📷 ​​​
高旻示超话 高旻示 X hey!📷 ​​​
林珍娜超话 Studio Nicholson's Spring 2024 📷 ​​​
VOGUE 台版四月刊封面人物水原希子超话 📷 ​​​
minnie超话 x Dazed Korea 4月刊封面 📷 ​​​
Stray Kids黄铉辰 x W Korea数字封面公开黄铉辰超话 ​📷 ​​​
