还得是做手工最得劲儿啊 ​​​
//@透明人間的蒸气://@冷斯基SoCoolDriver://@M大王叫我来巡山://@雪霏Sophia://@快递员吴彦祖://@Joakima酱好味://@黑研没一腿我就没有腿://@差不多小糖人://@The9th-:我记了很久的一段话，诶//@The9th-://@星渚zhu:！//@JuliaD婷:唉，还真是。冲动杀人加上哭爹喊娘不停上诉，和深思熟虑加上沉默认罪 ...展开
开心宝宝也好喜欢 ​​​
好喜欢这种看起来傻不愣登的照片 ​​​
伞不是暴雨中最好的遮蔽 却是当下唯一的安全的屏障 时空瞬间被切割成了伞内和伞外两个世界 ​​​
🫘上刷到一个女生癌症晚期肚子特别大 在她的日常vlog评论区里突然看到一条“如果肚子里是个宝宝就好了” 顿时有种如遭雷劈的感觉 ​​​
Don‘t make me suuuuuuuffer ​​​
有些男性真的在这个社会结构下把自己养得很好 他们自有一套不请自来的评判体系 莫名其妙地凝视你并给你打分 认为自己有充分的理由和权力评价别人的一切 即便与他毫不相干。当你表达被冒犯的时候再轻飘飘来上一句“我这是夸你呢 你太敏感了” 在你大发雷霆的时候甚至还要再安慰一句“你没有不好 别不自 ​​​ ...展开
过这种日子 就算让我住豪宅开豪车我也愿意 ​​​
魔幻现实主义新闻//@橘有夏:“在我出生之前我的妈妈就去世了”这句话真正被照进了现实
“女孩子也可以学学”学什么？努力二次发育长根jb出来呗//@透明人間的蒸气:牛x//@陌羽飞月:情感上偏向就会导致物质上多少会偏向，没必要较真，男孩能得到父母的偏向是因为什么，女孩子也可以学学，不要总是祈祷别人施舍爱，男孩子不乞讨都有爱，女孩子为什么总是乞讨，讨父母的爱，丈夫的爱，除了爱你 ...展开
我真是手欠啊！大半夜就不该点进那种求助帖！看到5.31有个人发自己端午回老家才知道自家狗四天前被车碾了，不吃不喝无法排尿排便全身颤抖，说家附近没有宠物医院且家里人也不让治狗，不知道该咋办。评论区很多人说可以众筹给狗治甚至有人愿意出全部医疗费用加路费，结果今天了都没更新个后续，狗是死是 ​​​ ...展开
实在是太心酸的转场：Matteo在团聚热闹的节日里给植物浇完水后独自走向终结，满天拥挤的烟花变成第二天层叠的雨中黑伞。 ​​​
陶喆老师想淋雨找自己的时候真心推荐来杭州哈 ​​​
🍣那很饱了 ​​​
夏天最值得我期待的东西恐怕就是水蜜桃🍑此时此刻无比期盼天降一个鲜美多汁入口即化的粉嫩小桃儿 ​​​
“一种情绪殖民”实在太精准了 我拍案叫绝 ​​​
能站着就别闲着了 去帮妈妈扒两瓣儿蒜去 ​​​
你很🐮嘛 ​​​
go get ​​​
晚上刷到余华今天在天目里 好多人偶遇了 我真的累了 还不如别让我刷到 ​​​
人生四格 ​​​
天呐....看完一遍不敢再看第二遍的程度//@张春酷酷酷://@李松蔚PKU:百感交集，希望多一些人有耐心看完。指责一个人很容易，但是真正的理解很难。
跟合拍的人聊天真的感觉很痛快！有无数事情想要讨论 ​​​
想死了 我的宝宝 真想得不行了！！！ ​​​
十分钟极限值机 靠着小红书路线活了过来 P人确实能置之死地而后生 ​​​
懒得修图甚至懒得选 反正随便一张都美  ​​​
难以置信 我上周到底干嘛了 ​​​
🎆 ​​​
真的很谢谢我的宝宝 每天一回到家就开始铺床半小时 把每条床单都挠破 我真的很谢谢 感恩遇见☺️ ​​​
闭上眼睛突然又想起一个事儿感觉气不打一处来：最近打宠物车其中有两次，俩司机的聊天模式几乎如出一辙，就是说自己家也养狗，问我是不是给狗吃狗粮，然后开始用自家狗举例建议我照他们的养狗方式给狗吃面条剩菜鸡骨架；也都问了我是否跟狗一起睡，并反复强调狗身上有细菌不能让狗进卧室。完全不管我回 ​​​ ...展开
大晚上就想看个无脑小说美美入睡，结果一开篇就给我震撼住了：首先女主是从小意外走丢19年才被亲生父母找回来，结果一回来就要被送去联姻（19年都没放弃寻找的亲生女儿，找回来就是为了当工具人去联姻的？），但父母舍不得送妹妹去联姻，因为妹妹是在女主走丢不久后父母去领养的，从小养大（走丢 ​​​ ...展开
好让人上瘾啊 ​​​
在结构关系上不平等的对谈质量几乎完全取决于高位者的真诚与否。凭借着信息差堂而皇之的不断修改或掩盖部分细节，这只是一种巧言令色。当高位者喊出“你为什么不替我考虑考虑”，这更是一种共情绑架甚至情绪剥削：因为本质上权力从来都是倾斜的，大家的困境并不是同一层面的困境，又何谈向上的体谅呢？ ​​​
又装修了新口味🍋 ​​​
Monday-窦靖童 大晚上听感觉实在太惬意 ​​​
太细腻太精彩了！毫无废笔的一镜到底 ​​​
本人素质 ​​​
嘿嘿 ​​​
lady gaga的科切拉舞台会不会有点太封神了 从妆造舞美实力甚至时长都很厉害外国人 你们凭什么把音乐节做成歌剧魅影！ ​​​
x突发奇想要加可可粉在刚出炉的巴斯克里 我尝了以后感觉嘴里拔地而起一整栋烧焦的民宅🧯 先撤销他的烘焙文曲星称号好了... ​​​
烘焙界的双文曲星降世咯前几天跟x一起首做提拉米苏一次成功 今天的巴斯克也不在话下！（虽然明天才能吃 但不管 天才组合✌️） ​​​
无序混乱的梦确实比理智要诚实得多 不想面对或刻意忽略的东西都会在梦里找回来 ​​​
在外面待不了俩小时就会想孩子 很难出门了已经 ​​​
郭彦甫在康熙说自己从来没吃过秋葵 因为觉得它形状很像流星所以不敢吃 太喜欢这个比喻了！脑子里马上出现了哈尔跟恶魔交换心脏时吞下流星的画面 ​​​
我的小狗真的好乖。睡到半夜它突然喘着粗气跳下床到处走，我以为是因为空调开太热了，于是调低温度最后又关掉空调。等了十来分钟它还是在地上来回转悠。见我醒了就过来讨摸，我摸了一会儿实在太困，眼睛再度闭起，它赶紧站起来扒拉我并且嘤嘤叫试图唤醒我。于是我开始怀疑它是不是肚子痛，给它铺上了 ​​​ ...展开
