神不知鬼不觉ooc了起来 ​​​
我戒不了糖。。我不想动我不想做任何事 ​​​
算了头像还是换回去了 这个绿看得我有点心慌不知道为啥 ​​​
看一半听到那个哭腔真的忍不住掉眼泪
妈呀现在冰箱里有草莓酸奶味冰淇淋 焦糖布丁 米布丁 一点点小料 从来没这么 ​​​
头像色调微调中… ​​​
我以前到底为啥存了这么多同人图和小说截图 啥都存 ​​​
我感觉刷完牙不漱口还挺有用的？起床好像嘴巴里都没啥味道了 ​​​
马上又要吃了 查看图片
 ​​​
看文看文看文看文 ​​​
感觉是太害怕戒断反应了 有些文我现在光想想还是觉得好痛好失落… 好吧其实首先要担心的是能不能找到对胃口的
挑战一天不喝奶茶 挑战失败 ​​​
我们家虫子很多吗 又来一只壁虎 ​​​
蓝莓奶绿，比蔓越莓葡萄都好喝，但是还没到想回购的程度 ​​​
第六杯敬扁头 第七杯敬身矮 第八杯敬脊柱侧弯//@杀砂鲨:第一杯敬自‬己鼻基底凹陷  第二杯敬自己鼻‬翼宽  第三杯敬自己内双肿眼泡  第四杯敬‬自己颧高‬骨  第五杯‬敬自己‬脸宽
怎么对特别喜欢特别想做的事情也启动困难 ​​​
我想看文但是我不想看 ​​​
蚂蚁大小。。。 ​​​
现在状态一不对劲就默念：激素波动激素波动激素操控嗯 ​​​
又爱上波霸 ​​​
已经养成了每天都喝奶茶的恶习 ​​​
我上次喝柠檬养乐多被酸死了 但是我忘了 这次依旧 ​​​
真的很讨厌坐地铁 站着坐着都很难受 脚疼颈椎疼腰疼手疼。人多了还得挤更难受 噪音大戴不了耳机 看手机还得防坐过站 走着去地铁站的路上也很漫长 换乘乱七八糟 ​​​
妈呀。。这家店我是第四百多杯 而且只是这一个平台 ​​​
差点忘了今天为啥奶茶这么慢了。。 ​​​
没有食欲也没有星雨的生活该怎么过？ ​​​
又苦又甜 十分诡异 ​​​
完全不知道我最近咋过的 好像没完整地看完什么文 都是断断续续看个一两章就弃了 不知道自己每天在干嘛 昨晚开始看谋杀黄昏  到现在看了三分之二了 感觉会是近期唯一一本看完的 ​​​
这个也不错 是那种红茶茶包的味道 我很喜欢茶包泡的红茶特别香 然后把一点点的茶冻倒进咸乳酪了 还可以 ​​​
已喝
滚，老子想哭 ​​​
幸福得晕倒 ​​​
我还是喜欢一点点的苹果奶绿 ​​​
阴天 大风大雨 好容易让思绪抽离 很压抑又很爽 ​​​
自从喝过加藏青盐的奶乌 就回不去原来的了 我刚点了杯不加的 发现原来这么逊色 一点不香 ​​​
偷吃了谁的魔丸？//@woso_oo:下巴怎么长睾丸
有人用公共吹风机吹鞋没办法我只能接着用了 ​​​
喝玫瑰青提，没加糖，前两口挺好喝的后面太涩了，不过感觉是柠檬茶通病，从来没喝到过好喝的柠檬茶…要么太酸要么厕所味要么苦涩。 ​​​
这个陈文鼎和茉莉奶白能不能联名搞个蛋糕酱抹茶茉莉咸酪乳？每次点陈文鼎都不喜欢它的奶茶，茉莉奶白就这款好喝，不加糖很清爽但是又水水的需要蛋糕酱融合一下。 ​​​
点了薄荷奶绿 加了俩冰淇淋 到的时候化了 喝起来香草香精味特别重 有种恶心的好喝 反正也喝完了 ​​​
一觉睡到傍晚发现天还亮堂 ​​​
每次试图理清思路却发现脑子太笨了事情太复杂了 以至于所有东西在脑子里搅成一团狗屎 然后更加气急败坏恼羞成怒 自暴自弃试图忽视一切 但是又强迫性思维 不想清楚又很难受 反正就是蠢➕偏执最后只能无能狂怒 ​​​
又关灯➕侧躺通宵看手机 ​​​
我是不是有点囤积癖，就是囤文癖，在手机各个角落收藏一堆文，然后也不看，就一直码住，然后还觉得根本无文可看，也不知道自己都码了些啥，反正下次刷到推文还是会不停码 ​​​
我终于get到针王苹果了 可能以前点的是热的不加糖吧 少冰三分糖还不错 但是有点涩 香精味有点重 ​​​
本来想直接下单火鸡面 然后刷了半天觉得应该多尝试点拌面泡面之类的 还是先买点不一样的吧 ​​​
我好想吃炸鸡呀。。但是附近几家品质都下降了。爬起来去冰箱找了半个午餐肉啃完了 ​​​
笑死我了//@昭和凛雪:绝望de小双双
//@滚筒洗衣机120:是这样的，如果你仔细观察，就会发现每次都会拉个女的来对冲舆论。
先刷到她和刘晓艳对话的切片 觉得真不错就去搜了完整的 看个开头就被男的恶心到了 好不适 问的都什么蠢问题在引导什么 又不会接话衔接不会调节气氛的那要你干啥 全是迅猛龙在打圆场完美化解 那直接她一个人独白不就行了？
最喜欢的还是（在没有任何噪音 凉爽干净 没有虫子 密闭的 房间）（不生病不难受没有压力焦虑事情地）一个人躺床上 ​​​
那么现在不仅之前的那些全没看完，还新增了很多看到一半的剧 电影解析。。而且小说我已经看不进去了 晕字 其实现在可以开始追星了 但是也得先看剧才能重燃我的爱 //
椰子水又喝完了 一桶一桶地清空 我其实已经抛弃牛奶 冷泡茶 甚至奶茶 只要椰子水 ​​​
 ​​​
这个首页的关注和推荐干什么搞反啊 有病是不是 难看得要死 ​​​
我就这么爱屋及乌地爱上了红色 但是我又那么喜欢绿色 绿色的手机壳衣服耳机主页 等等都是绿色 我最多买件红色的衣服袜子啥的吧 ​​​
