发现自己可能真的是厌性无性恋或者无参与性恋那太好了不用纠结感情问题了 ​​​
别人：在他人贪婪时恐惧 在他人恐惧时贪婪！佛朗哥：自己制造大恐惧 然后自己进行大贪婪！就我感觉他很多动作纯粹是为了把所有人都吓傻，本身他过往的战斗经验就很近似于用极端恐怖的行为把人彻底吓傻失去抵抗能力，然后哥们就想干啥干啥了，某种程度上也真是rape the country. 包括带兵也是 ​​​ ...展开
呆呆· · 查看图片
佛/朗哥和朴正熙的相同与不同这也能被屏❓三次了主要他们两个还有小将，八字确实有点相似之处，都是日庚金+月劫财，都在丙火七杀的大运😭📉当🫅的 ​​​
当然我生气又无语是因为我也是个大傻逼看完历史调研室视频我一个热血沸腾就跑去剪视频了 边放着纪录片边隐隐感到不对劲 专家们怎么都在骂呀？0人是我们i佛吗 看了一半以为我听力出问题了就去找熟肉 补完之后已经深深痛恨自己了 还好没做完发出来不然真成propaganda助力洗白的刽子手了（看历史 ​​​ ...展开
本来都不想登这个号了但 被历史调研室做的佛朗哥视频骗去看相关资料了，说的跟高级版朴正熙一样，结果了解一下骸到做噩梦气到哈气了本来以为他们文案还算自媒体历史博主里靠谱一点的，说佛朗哥是毁誉参半的聪明爆菌，但是整个文案里没怎么提毁和爆，就提了聪明和誉。搜相关书籍的时候就感觉 ​​​ ...展开
我是真不太理解就是你磕单人或者是别的cp什么的 别人又没有批评你 别人磕自己的cp你之前也说磕 还以为是同担呢 忽然有一天莫名其妙就说我不磕了你的cp是异端你的作品是屎 这不是你自己当完异端吃完屎还说过好吃之后莫名其妙的搞这一套吗？就我都不太懂这种心理是什么 这么骂互联网上素不相识的陌生人也 ​​​ ...展开
不搞表了 也别来管我的产出 以后我爱写什么写什么 不愿意看就把自己眼睛扣了 而且再怎么说 就这个事情到底是谁先嘴贱谁先挑起来的 自己心里不清楚吗？别人发什么愿为泔水与君同流的时候不骂 都多久之前做的视频了发出来可算让你们抱上团了 恶心不恶心呀 ​​​
又脆弱了，说真的对抱团卢粉骂这个事情挺打击我搞同人创作的欲望的，这倒不是说别人安慰几句自己就能好的事情，主要是我想不明白。就是我觉得再怎么说，起码作为一个人，去给你喜欢的角色创作作品，是什么罪大恶极的事情吗？需要这样一而再、再而三的追着我嘲讽吗？先是西施惠发微博说我的作品是屎，然 ​​​ ...展开
权游里狼家早期片段真的好萌···看得我眼泪流流🥺💧 ​​​
在所有物是人非的景色里 我曾经最喜欢你 还有她他他她他 ​​​
金铲铲 这个傻逼游戏 我已经立下誓言 但凡我再下回来玩一把我就是狗 ​​​
难得感到一种很平静的幸福☺️··· ​​​
熙子 好想把你复活再把你沙鼠再把你复活我真的有一种把这种生命力强又大爹性格的上位者当掌中之物肆意玩弄虐待的大幻想 每次都不要有上一回的记忆就更好了 熙子 不要问房间里为什么都是血了 那都是你的血呀😊呀米呀米 ​​​
监视资本主义挺好看的 我很喜欢里面的一个概念是 人的注意力本身就是一种被售卖的商品 如果一个人的注意力不在自我掌控之中 就是已经被他人售出了本来想说戒掉社交软件 后面发现其实v和qq我已经戒掉起码半年了吧[巨汗]具体表现为总是被问是不是故意不回消息其实是大多数时间没事就不想打开看 想把xhs ​​​ ...展开
有时候感觉对我推的情感很复杂 就我更多还是喜欢这个人本身很内在的一些东西 比如思想手段性格特征写的文字人生经历演讲内容选择的社会关系甚至xp但是一看到本尊视频尤其ktv原视频 有时候就莫名想笑 感觉很爹味很装 排场没那么足的时候也要装的很足 包括因为补资料的缘故有点看熟人装逼的尴尬感 ​​​
唉 有时候觉得很难解释但我推其实是个不错的人 这点主要是在换位思考的情景下假设你出生在殖民地背景下一个特别穷的家庭 又是最小不被期待的的孩子 每天上学连吃的都没有又瘦又矮跟侏儒小骷髅一样正常人可能都还是会有些自卑吧 但我推就这样大胆当班长跳起来也要扇其他不听话的高个大嘴巴子 找残疾同 ​​​ ...展开
想了半天这个zzzq指的是非老登题材的女性视角，男女主不随便亲一起的非恋爱脑顺直视角，还是爱国相关历史题材电影，还是主旋律配合政策相关的反诈骗电影，甚至欧美zzzq的lgbtq人种齐全电影，只能说光国内就太多各人眼中的zzzq了
好喜欢这个观点耶 查看图片 //@小小福星星子_x: 这个观点很有意思耶，人不是在走向终点，而是远离起点
我今天真是烂片日了[不好意思]上午看美夏看的生气，下午看了猎狐行动尬到全程吐槽，特别男凝又战狼的一部，唯二的两个女角色都在一阵阵男凝剧情后很草率的鼠了，老登们都还活着哭一哭吧男儿有泪不是罪，哭完两个升职加薪一个只是无期不判死刑。两个男主告别往日帅脸，都满脸褶皱配大鼻子身高又 ​​​ ...展开
其实上网这么久我最深刻的感受是 能够坦然的面对无论多糟糕多残酷的现实并从中看到对自己有利的一面，是一种很稀有的品德···因为绝大多数人其实还是，思维比较巨婴，而且这种巨婴程度与年龄、社会地位都无关，就纯粹是单一的思维比较固化，无论遇到什么事第一反应都是去维护自己这种固化的思维，把其他 ​​​ ...展开
美夏气死我了 烂剧避雷 ​​​
来看原剧了 美夏这个剧情···女主15岁之前都是纯亚洲移民面孔 16岁也就是剧情里的时候一下子变他妈混血了唉我真的有点无语（而且演员其实就1/4亚洲混血）就给人一种剧情设定要是亚洲女主但又不想要亚洲女主还是要白人感略带一点异域风情那种 本来我还在电视外放结果开头没两句女主闺蜜 ​​​ ...展开
看了眼说是很火的《我变美那个夏天》女主挺好看的像何超莲+三傻 但俩男主都挺丑的···们欧美娱也真的是没人了····剧情就是女主暗恋哥哥又跟弟弟谈上了又跟哥哥谈上了又跟弟弟谈上了 反复纠结中一定要分开谈而不吃兄弟盖饭···同时哥哥说话拧巴 弟弟还是个bi这点也挺雷的 ​​​
宝宝你是一只大猫猫
典
至此才是真正的艺术啊我真的绷不住了来个p都不会做画画都不会画的对厨子（就不评价厨子画的对不对了）来一句《说出来恐怕更难听，你就是恨国党》《临时绣红旗》 ​​​
确信安定了 心中无牵挂了 一生的使命已经圆满完成了 才能平平静静的走呀
才反应过来79年的时候 惠子27 女大24 哎我说pzx你这个人有时候确实是有点缺乏同理心在的 别人家的女儿比你女儿还小三岁就在这里陪酒你还喝的下去甚至睡的下去在一些方面也是真实老登 ​​​
惠子你还是太善良了为什么不让你爹处理他自己的课题呢 你家应该人均一本佛洛依德和阿德勒心理学 ​​​
说啥呢我服了
//@小羊里斯: 从群众中来，到群众中去
唉好萌 就这样很宿命般像两片各缺了一点的小拼图 刚好拼在一起了陆夫人大向导 pzx小哨兵//@洗心革面ygzr:这一期是我点的大女人和小男人！以及最后一p，很高兴两位都找到了各自的爸爸和妈妈（是掐不是抱）
之前看米国金毛是手上有淤青所以被怀疑健康出问题了 结果今天回应93的视频搜了一圈各个频道的 就硬是没拍他的手露出来 ​​​
喝点丝瓜汤了 ​​​
有个表姐 连续三次 跟有病一样一开始我知道她搞事就没理她结果每次我一出现 姐们就要骂我学历低没文化不读书卧槽你谁啊？哪个大学的啊？真是没啥好攻击的了 每天攻击我这个干嘛啊？ ​​​
一听说真有人跳脚我还是很欣慰的新的一年祝跳脚的喝上自推的骨灰拌饭，本来想说喝自推洗脚水的，但忽然想起来你推确实是死了（没有骂的意思这是事实吧）还有就是少来sj我，不要自己孤儿了就非要在互联网上找个爹认。我还是那句话要不照照镜子再看看自己学历和银行卡，不知道还以为你是 ...展开
又在看回放了 我还是很好奇强这次镜头咋这么多啊 出场介绍排第二而且镜头占比没感受到跟cannotsay有啥区别 最最开头开场白也是哥们念的而不是cannotsay 感觉怎么说这都有点zz意味在吧 ​​​
我哭了我真的哭了 虽然可能也是不得不让来吧但是cannotsay人最好的一集 查看图片 //@布兰度xxx: 好好好 心满意足了😌再看看秋实来没来
吵了一圈图没了我真的忍不住爆笑了 唉夹总不要命了这也能夹 唉50w 唉谍影重重 唉举办我的红眼小人 唉我的画是被举办才下架的而不是因为热度过高了被官方发现了紧急下架 唉这可不涉zheng 唉幽默 唉官方自有官方的逻辑 宣传自有官方的宣传 官方在忙着搞各方统战价值 日 ​​​ ...展开
转发
有时候会猛然惊觉，曾几何时以为表圈是一块能远离见证zng的风水宝地，能够在认真补资料的同时允许对历史人物的解构。结果发现表女有些时候，无论在中二、撕逼、莫欺少女穷、指点江山、事儿逼、缺乏现实社交、缺乏对真实世界的了解和承认 、incel、压抑苦的程度上其实跟最瞧不起的zng也差不多…偶尔再来 ​​​ ...展开
我嘴真的好贱很喜欢无差别扫射 有时候纯粹只是为了造口孽而造口孽 快年底了积攒一下口孽积分刷刷成就 所以如果对号入座觉得被我骂到了 我只能说其实真的不是骂你…… ​​​
有时候很好奇表圈女怎么做到网络社交这方面比现实还需要很小心翼翼的 就是点了互关仿佛要当三年同学一样不敢得罪[不好意思] ​​​
有没有银和我一样上午看🥮看的太兴奋了 导致下午有一种莫名的空虚感又开始看什么都不顺眼起来 ​​​
好好看哎//@少女回春丹://@优癖:转发
喔！！！！73！！！！ 查看图片 //@布兰度xxx:找一圈了没看到 有人看到了吗
找一圈了没看到 有人看到了吗
为啥这次开头结束都是强说的不是（）说的啊🤔是一般都这样吗还是就这次啊 我还以为都是让cannotsay来说呢 ​​​
这个好帅啊 ​​​
对cannotsay疑似要黑转粉了 今天这个状态有种我推的感觉….真的挺萌的呃可能也没那个力气了 ​​​
卧槽这个话咋是咱们的强说啊？我以为…？？这已经是苔纸意味了吧…？我还以为叮叮会…. ​​​
没看到7/3和秋实来啊希望后面会有镜头吧 我以为退了那里会有他俩呢想看年轻小白毛 ​​​
repo楼 ​​​
嗯？我以为叮会在我们的强刚后面呢 怎么倒数第三第二才念他 ​​​
· · &amp; ⬮ ⬮
。看说米果金毛还刚好今天住院了 ​​​
分享图片 ​​​
今天刚想嘲讽普子发现已经发不出来了（）好的吧其实也可以理解 ​​​
这张还挺帅的 没用上 ​​​
这对吗 ​​​
go queens✊
填这个表最有意思的是我才意识到愚子长得挺厚道的一人 但好像算是全场唯一一个特务吧🕵️正统学过心理战的防谍科长 如果不写他的话 备选朴正熙参加南劳（其实这点更多算叛徒）+担任过情报局战斗情报科科长 但他好像不像愚子还需要外派出任务 就是写战略预警报告的 我的理解是只有搞人力情报的才算 愚 ​​​ ...展开
没搞懂这个帽子工厂的图怎么会挂 是卢武铉照片不能和朴槿惠放一起会被误识别吗test ​​​
啧 ​​​
骇🐭我哩….【（完）安陵容撞脸康熙，雍正：叫朕胤禛，说些软话吧-哔哩哔哩】 网页链接 ​​​
真服了学校了 周一可以发邮件 开始处理但是不一定当天处理完 因为累积的邮件太多了要一点点看周二可以发邮件 在工作了在工作了周三可以发邮件 但是周一到周三只能发一封 因为要给人家足够的处理时间 连着发too push不礼貌周四最好不要发邮件 理解很紧急但马上周末了 发了本周也来不及解决了周五发 ​​​ ...展开
小办帝在我心中有时候刻板印象就这样唉但其实也并没有狠戾也并没有完全仁蒸 ​​​
//@洗心革面ygzr: 哦哦，自动检索到心狠手辣but多愁善感。。。绷不住笑了一下恩
这段的钢琴音实在是太神了【继承之战大结局片尾-哔哩哔哩】 网页链接 ​​​
