。。
终于把我从小黑屋放出来了 终于能发微博了 哪个毒唯这么j举报的我？劳资一条推流就几十还能让你刷到我 禁言七天差点把我爱发微博的习惯都给纠正了 ​​​
“我的生命永远比你多一天 也只多一天 你死我绝不独活” ​​​
wc
#真佳 数据组正式启动#搞抽象还是认真的 ​​​
#真佳 数据组正式启动#？ ​​​
愿他在天堂继续唱歌
#时代少年团演唱会#别破防啊 半辈子都在南方开？ 我同意太原 ​​​
有你们的地方就是家@X玖少年团肖战DAYTOY @UNIQ-王一博 ​​​
#王一博后援会停站#0人在意 ​​​
#方大同去世#我还没去过你的演唱会 ​​​
毫无演技 全是真情实感
棒棒#TODS2025秋冬系列时装秀#
我根本不知道那些特别会爱人的人是怎么出现的 是怎么把真心和爱毫无保留的给一个陌生人  蓝忘机宁愿与家中长辈与仙门百家刀剑相向也要站在爱人身边 可明明他从小没见过父亲母亲几次 就父母双亡 魏无羡知道他爱他后更是毫无保留的陪伴他爱他 可他明明一直都是寄人篱下的养子 王一博为肖战默默背负了好多 ​​​ ...展开
我看不到他的脸，只感受到了滑落颈间温热的泪和震耳欲聋的几乎快破心而出的炽热 ​​​
我拜托你们累的时候走不下去的时间想想当年自己献祭式出演的那个角色吧 当年他失去他 他以为自己永失所爱 万念俱灰到恨不得陪他去死又迫于家族兴衰存亡不得不活下来的时候你是经历过的你是感受过的 他的眼泪他的绝望你都是体会过的 十几年后千万人仍然喊打喊杀他身边只有他 一次一次坚定的选择一次一次 ​​​ ...展开
#晴川#卧槽 ​​​
感觉这个词还可以更浪漫一点 但我的表达能力也就只能停留于感觉 根本写不出来更合适的 ​​​
喜提小电车 一块帮自己和室友怒砍200块钱 ​​​
#王一博纪录片微博影响力榜第一#棒棒 ​​​
微喇裤和马蹄裤就是世界上最伟大的裤型啊……不知道为什么要讽刺成女大学生校裤.. ​​​
#王一博新片人鱼有消息了#啊啊啊啊啊期待期待期待 ​​​
#马嘉祺周边中转站#时代少年团周边中转站超话 出1娃2.0捆两套娃衣 一张娃卡 两张丁程鑫一张团 一共四张卡两套娃衣 送旧灯牌双排坏了一个灯珠背后有名字 自带价 ​​​
#全糖可乐#你们药机吧干嘛….什么时候我bjyx也能这样啊…… ​​​
推给我干嘛推给肖战啊
耍了点手段真以为自己人生赢家了？恶人自有恶人磨。 ​​​
我歇斯底里不是没原因的
看了看啵啵演唱会的线下，带着王肖头灯的宝宝真的很多，但是好像果们都不喜欢举灯牌🥹如果带着头灯的宝宝把灯牌带进去黄色连成一片一定很美😭😭😭 ​​​
滚，别带王一博
其实最难过的是我们永远是无法直接在镜头前、在台面上说的群体，你说你看到了粉丝应援，我们都没资格问你那你看到我们了吗。 ​​​
只有杀青梗可以治愈我
不要虐待老人啊
真爱没有坦途 ​​​
妈呀 绝不背叛不放手的爱人 ​​​
卧槽
我真是笑死了有这个毅力啥都会成功的
我从来没有后悔过辱骂老肥🦐 都欠骂哈 以前是别家唯粉和某家对骂都上升正主 还纳闷cp粉和唯粉怎么对骂 现在知道了哈 我是不会放弃对🦐进行人身攻击的
我靠@纯白恋起记
🥹
妈的我也想看
