家有两宝儿 ​​​
我现在就开始在家里大声讲话看抖音 穿水晶拖鞋踢踢踏踏走路 放下个人素质 反正别人也没素质 开启外耗人生！ ​​​
朋友圈过高的同学婚礼浓度引起我的焦虑 ​​​
爵士豪兔爵士乖兔 ​​​
我都毕业两年的人了还脸皮厚厚的去找学校营业厅小姐姐给我续最长时间的学生套餐 一个月20米 ​​​
我不是想按自己发挥得好那一次发配一切 我是从小到大到研究生都很努力 快把自己卷没了 （虽然读研有点开摆 但是该做的事也是在ddl之前高质量完成了 导也说我是那一届进度比较快的一个）卷得失去了童年和少年现在来到了百病缠身的青年 每天要吃一把药治病 感觉我的命应该是很短的那种  现在落得这么一个 ​​​ ...展开
一切不利于我睡觉的事，我不做。一切不利于我睡觉的人，我不交。 ​​​
muji的新品米糠水 用起来是滑滑的 而不是我想象中发酵水那种控油拔干的感觉 ​​​
豆少了 出的液体就像那种劣质条装咖啡液 油脂是一点没有的 我恨你星巴克卖库存豆给我 ​​​
我想说的：
俺自己做的咖啡好难喝啊……从磨豆子开始花了四十分钟做出一杯又酸又苦又涩 勉强喝了一点直接倒垃圾桶 换粉碗把自己手指划破了 不小心碰到蒸汽头又把自己烫了 ​​​
就这样擦鸟屎到厌倦 鸟屎没及时擦干了 谁抠谁知道 ​​​
送的咖啡粉不夸张说真是刷锅水…… ​​​
如果高中就注重检查血糖和饮食搭配应该就不至于读个垃圾本科 还记得死皮赖脸的向班主任申请晚自习名额 结果自己吃完晚饭晕碳困倒在家里 ​​​
从小就是简单计算经常粗心错 细微的条件看不见 其实粗心的背后是ADHD吧 ​​​
在家不上班反而睡不好觉 休息不好脑壳又晕又痛 只能白天靠咖啡因晚上靠安眠药勉强维持一下状态 学习学不进锻炼没力气 ​​​
登味重的要死，几乎每篇文章都充斥着对立、说教和刻板印象，我小时候就是订这种杂志看把脑子看坏了 ​​​
打把游戏辅助还叫这名字 ​​​
其实我这个人在考公的那一刻已经蒸发了，只有考上了才会像下雨一样落回大地，否则我就会永远蒸发
五年前在成都喝过醉步上道现在喝怎么这么难喝呀你妹的 ​​​
为楼下一家初生花500块钱 以前在附中读书的时候租的老破小 房东空调没弄好 水会滴到楼下 我住五楼人家1-4楼冲上来找我一个高一小女孩😅😅😅😅还有楼下老师没卖房的时候我老妈晒衣服水滴了一点到他阳台找我们说了四五次 人家怎么那么会维权呢 我们凭什么这么会忍受呢 ​​​
为什么好人从来没好报😪 ​​​
我以为邻居每天早上六点准时打豆浆这种事很小众……因为带震动的所以是骨传导 耳塞根本没用，看来真得买震楼器了 每天睡眠不足头痛的要死 遇上sb邻居比sb舍友痛苦一百倍 ​​​
很烦 住这么高的楼层没电梯烦死了 我家能拆迁吗 ​​​
真的不得不说某省份人做生意惯会偷奸耍滑……标题写那么大的铁圈装 选项里只有一项胶装 就这样悄悄把胶装卖出线圈的价钱……还有另一家同地区的店商品详情到处都是“送配套视频”诱惑人下单 真到手了又发不出视频 ​​​
买东西看着卖家卡着最后时间发货就会很烦 现在两天内发货已经晚的了 ​​​
看来我适合考江苏浙江 ​​​
唉确实 我那奉献给优绩主义的少女时代 ​​​
背景如刀削般锋利 主体如奶油般化开 ​​​
潮汕有个习俗叫“出花园” 我们这从温情脉脉的校园直接被丢到狼奔豕突的社会上才叫出花园……（老师说找工作信息群满人了把我踢了 我说不要啊老师我还在家待业😢） ​​​
原来厦门岛内不准骑电动车 那我不去了 ​​​
与小兔重修旧好！ ​​​
拉黑春日来信为代表的所有国产护肤，vc精华刚拆封就是黄的，保质期甚至还有一年，在小红书c店买的都没法维权只能自认倒霉，放着一堆科颜氏之类的美白精华不用我也是要买这种烂货 ​​​
星期一练的腿星期三走路还在痛，感觉自己是小美人鱼刚化成人形 ​​​
我大部分本科同学不管学得好的学得差的归宿全是当老师 ​​​
谁会这么认真地回我的骚扰段子 只有ycy ​​​
真是读集贸啊 谁能想到毕业在经济下行时期找个工作这么难 ​​​
我给小宝鹎喂了一点三文鱼 作为回报 他在我位子上拉了一泡新鲜的屎💩 ​​​
我想要的东西必须马上搞到手（官方送的配件怪廉价的 ​​​
古董局中局全集看完了，我的评价是把读者骗进来鲨的杀🐷盘，其实故事停留在第一部结尾挺好的ps而且男频味很冲 ​​​
我的腰不是写论文久坐坏的 是在健身房练坏的😑 ​​​
没力气了 髋外展也做不动了 爬楼机也爬不动了 ​​​
贵茶你的草莓抹茶拿铁停产了真是糊涂啊 ​​​
明明晚上吃了很多睡前还是饿什么时候能瘦10kg ​​​
会转弯和上下坡了，可以去跑外卖了 抱兔小仙的微博视频  ​​​
买私教课的意义到底是什么😑虽然一节课只练两个器械，但是两个器械练的一块肌肉哦🙄还没有热身拉伸，让蹩脚的中专精神教练把我练得肌肉痛得手臂抬不起来衣服都自己穿不了，皮质醇拉爆整夜睡不着觉，还只能自认倒霉 ​​​
住了二十多年的清净房子楼下搬进来一家魔童 中午一点跑啊跳啊 真不理解一点多不是人最困的时候吗…其他就更吵了尖叫➕跑，没关系等你们小孩上小学了我半夜十二点在家跳操 ​​​
我是不是这辈子没法去福州工作了 ​​​
一节私教课就练两个器械啊 跟我说今天就到这里了我人都傻了 上课迟到早退水的有点离谱了 还能说啥祝这个屁私教工作室早日倒闭吧 ps今天一看才发现器械的档次比商健还低 专门骗小白的 ​​​
每天做完资料分析的状态只能用四个字形容 活人微死 ​​​
正版比盗版排版还密字还小 还贵 以后再也不买正版了哈 ​​​
史丹利水杯 史丹利不是卖化肥的嘛 ​​​
我的手表壁纸怎么样 ​​​
各大资料分析网课是不是都是按浙江省考编的 做起来无敌之顺手 ​​​
当时什么想法买这种土豪金睡衣 ​​​
本来美好的研究生变成了大份//@哎一古kiyowoooo:本来美好的大学变成了大粪
小妖怪系列还会出第二部吗 想看 ​​​
古代文学老师说的那句话含金量还在上升 ​​​
我前同事：
pdd卖瓶装星爸爸六瓶29.9，dy十二瓶199（搭上两个丑杯子）傻子才买 讨厌一直刷到卖货的视频 ​​​
我同学都生二胎了我还在流水行船 这对吗 晚上肚子痛趴在床上算了六道题错了五道 ​​​
我把楼下中午乱跑乱叫的死小孩都叉了，本来教师住宅大家都很有素质，楼下老师把房子卖了这几天搬进来什么牛鬼蛇神，从旅游回家起就感觉不对劲 ​​​
没考过研我的🐴哲知识比人家落后300000000年 ​​​
小鹅通也是像勾石一样难用 ​​​
现在机构都用ai写经验贴了，别来骗我哈我识别ai能力很强，福建的孝公机构有一个算一个都是🌶️🐔 ​​​
学不下去了收拾桌子上面：无锡公寓里的浴室柜（自己买的）给我的墨水住上两层小楼下面：奶茶袋做个收纳袋 ​​​
学成这个💩样子我居然还睡得着 坦克是没有后视镜的，枪炮是不长眼的 ​​​
短剧这个赛道怎么已经卷出方言短剧了。。看见一堆古代修仙主题的觉得很土 没躲过这个纯川渝方言的 已经下载红果短剧了 ​​​
周一一大早健身房我也是过自律掉 ​​​
我一定可以慢慢的健康的瘦下来 ​​​
视//客眼镜网 又是加小助手又是进群又是重新加购物车最后一通操作下来还不如直接在app下单便宜 而且赠品都是一样的优惠活动极其混乱 想买日抛的不如去对应品牌的pdd旗舰店还更便宜 ​​​
这次是真瘦下来了。去潮汕大吃大喝回来上称也没有变胖，就是什么时候再去潮汕大吃大喝呜呜呜 ​​​
船如梭横织江中锦绣塔似笔仰写天上文章上联俗但是下联很妙 ​​​
接上条 ​​​
饶宗颐那么厉害 ​​​
接上条 ​​​
喜欢漫无目的citywalk 而不是像我老妈一样在高德地图上添加途径地计算旅游路线  ​​​
