老娘。好爱磕cp。 ​​​
//@评论罗伯特:那少数人，是不是就是留在窗上的雾气，让人看不清，却也舍不得擦去？
我真的挺喜欢小孩子的 但正是因为这样我不想生 我不想把我的人生全部奉献给另一个人 ​​​
下班只想赶紧跑 ​​​
有些同事在一起就是负能量 我不是你的垃圾桶 ​​​
我真的对工作和生活分的很开 中午和同事一起吃饭对我来说都是加班 回家就很开心 ​​​
即使我的内心波涛汹涌 但表面依旧风平浪静 这就是我们infp 有时候觉得我内心挺变态的 ​​​
喜欢是一种生理性反应 无法控制的 但是时间可以治愈一切 更何况只是crush ​​​
两眼一睁就是不想干了 ​​​
这群心眼只长在屁股上的腊鸡们 老娘真是一天都待不下去了🤮 ​​​
我在想 学校一些人老是好像对我有意见不会也是这方面原因吧 哈哈哈劳资穿的好看打扮的好看是因为我本来就好看 是只有我一个人烫头发吗 只有我一个人化妆吗 老娘大学就是这样的 出去玩也是这样的 我还感觉当老师把我变土了呢 一群土货 天天土了吧唧蓬头丐面脸色蜡黄就是为人民服务的好教师是吧 ​​​
老师穿的好看一点就是勾引男学生 我qnmd吧 傻呗们 ​​​
真受不了学校这群老古董了 领导和学生就是一群大见货和小见货 真特么待不下去一点 ​​​
突然觉得这个学校不值得我每天打扮的光鲜亮丽的虽然打扮的漂漂亮亮的确实自己会开心一点啦 晚上真的不吃饭了 ​​​
