我不会失败 我只会成功或者拥有一些经验 ​​​
这世上只有两个人真正值得你在意：8岁的你，和80岁的你。他们此刻都在注视着你。一个希望你勇敢开始，一个希望你不留遗憾。 ​​​
9.17 111.6早餐半个紫米三明治午餐半个三明治➕一拳西兰花➕一瓣哈密瓜来姨妈了嗯对 但是居然一点也不腰疼肚子疼也不累 我好开心 ​  ​​​
9.16 111.9早饭没吃午饭半个淀粉狮子头➕一拳米饭➕一点芹菜霸王茶姬山野栀子 ​  ​​​
要是没做这么多错事就好了 ​​​
要是我可以绝世漂亮就好了 ​​​
和好多人类相处 真的 好累 ​​​
咋样能入睡特别规律呀唉 ​​​
下周末就可以吃刘文祥了嗯 ​​​
我有点不饿 但是我又感觉我的身体现在不饱 ​​​
09.14 112.9算是暂时稳固住这个体重了 早餐一个茶叶蛋➕费列罗午餐鸡腿去皮➕一拳米饭➕青菜星巴克大溪地香草拿铁今天是周天了 下周计划到110冲呀冲呀 ​  ​​​
我总做什么事情都很急 好像不再快一点就要赶不及了 但面对他我可以等待下一年的雨季 ​​​
我最能明白 事在人为 ​​​
我好紧张呀 ​​​
瘦到108斤就给自己买串白阿塞 ​​​
哦耶这是我最最最最最幸福的一天 ​​​
偶尔我焦虑的想要发疯 但更多时候 我在不断往前往前走 ​​​
我想要做到的事情 无论付出怎样的代价 我都不会放弃 ​​​
为啥都是不加酱 bmt吃完还是好饿 照烧鸡加一勺蛋料吃完撑的要昏过去了 ​​​
我不相信 ​​​
我需要很多的安静和沉稳 ​​​
依旧赛百味 ​​​
感觉我有病呢 不减肥也要故意饿自己两天就为了两天之后吃的爽 ​​​
爱发 ​​​
最近一直在上学 一直玩玩具 一直很开心 ​​​
如果幸福是一块kitty小蛋糕 那我就是double幸福 ​​​
我不要喜欢这个世界了 ​​​
一迟到就想回家睡觉不念了 ​​​
我就这样撒娇卖萌 然后不管说了多狠的话都会被原谅 ​​​
我哭了 北方不下茉莉雨的微博视频 ​​​
你最擅长说没事 哪怕眼泪已经流到嘴角 ​​​
我不喜欢受伤 很痛 ​​​
总之我终于意识到我的决绝 果断 勇敢 带来的遗憾 后悔 失望 怀念 都是我自己的性格缺陷导致的 谈着谈着总觉得人不好说难听的话再分手最后后悔又复合 我不要再这样循环了 我宁愿孤单也不要继续了 ​​​
其实我觉得生活很幸福完全是因为我身边的人吧 做研究性学习和组长说我不想做ppt只想写论文 组长手一挥让我啥都不用管了只要把她们做完的东西打印出来就行 实践作业是我的亲亲gh盖好章拿来的 到最后还懒得打印连东西都是ykg给我打完的这个世界太好了我爱你们 ​​​
依旧开学前烫头发 北方不下茉莉雨的微博视频 ​​​
我一直在哭 ​​​
其实我特别焦虑每天都想得很多 关于我的学业我的生活我的体重身材我怎么和人相处怎么处理关系还有我身体的各种毛病这里那里老是很痛 我不知道该怎么处理 看上去没所谓是因为我实在没招了 我只能不断逃避问题 ​​​
虔诚拜三拜 ​​​
就是我的指甲不是很好 指甲掀了 ​​​
昨天出去打本 点奶茶看到高达15元的配送费当场昏厥到底不起了 嚷嚷配送费咋这么贵 ykg把手机递过来让我点 我立马蹬鼻子上脸小料加到厌倦 顺便问我龟龟要喝啥也点上 结果点的时候在听dm说话没仔细看点错了 到了才发现袋子里奶茶变成神秘五杯 我问他哪来这么多他说我以为你就要喝这么多omg ​​​
ykg怎么这么好呀我不行了 ​​​
麻薯布丁梦女 ​​​
我又在看这个锦衣之下 ​​​
冷脸高位傲娇男在感情里为萌萌女主疯狂卑微真是太好吃了 ​​​
我不行了吧xk你就这样 ​​​
变成猫 变成虎 变成被雨淋湿的小狗 ​​​
巧克力饼干你有病吧吃一次就会一直想吃 我要网暴你 ​​​
08.21昨天怒吃了一天零食和饭不敢称体重 反正按照食谱今天要开始液断了 ​  ​​​
我总是觉得我的脑子好吵 每时每刻都不停的有各种想法冒出来 ​​​
08.19 112.9早餐 两个李子➕半块巧克力面包午餐 半拳米饭➕一个鸡翅➕一点西红柿牛肉滑蛋呀呀呀呀呀耶耶耶耶耶耶耶耶高兴的忘记发了 小小平台期轻松拿下嘿嘿嘿嘿 ​  ​​​
今天 午饭 吃一个三明治 北方不下茉莉雨的微博视频 ​​​
08.18 114.3早餐 一个巧克力吐司午餐 一个馒头呵呵呵体重你要气死我吗 卡称不动真的好焦虑啊 但我是一定会 坚持不懈的减下去的 ​  ​​​
