许愿nona reeves能来上海。。。。 ​​​
//@透明人間的蒸气 ://@麦卡PU10P :而且即便把范围缩小到“远洋捕捞作者”，依然是事实上的选择性执法//@水果君 ://@緊急球九 ://@今生不做李姐 :还是要说，与其远洋捕捞，不如把自己城市随地吐痰、公共场合抽烟、随地大小便的人大罚特罚，来钱快且可持续。
//@连目怎么你了 :想法如图，这件事情发展到后来简直是一场文化霸凌。很多人生长在说普通话的环境里，不知道藏语有独立的语法文字，是独立的语言，不是方言，不是汉语分支。丁真说汉语不流利，也不是因为他口音重，而是根本语言不通。“说藏话”和“馕言文”一样，是大汉沙文主义的表现 网页链接
//@ssshiye ://@魚尔布开克 :……//@殷孟_ ://@我想要落日和银河 :偷拍影响到别人可能连开除都不用，只是警告一下，但是写文没有影响到别人的合法权益，就要这样。这些作者写的很正常但是很快就被查了，之前一个男作者画的反人类虐杀女性漫画，他们一直不查，还是一些女性看不下去集合举报才被查，这个
//@母男孩公仙境会所 ://@次迴予告 ://@现在我宣布下班 ://@不认识少狗椿 ://@通犀小箱 :我想说的是，我们给处于困难中的个人和家庭提供过什么帮助吗？可及的资源和宣传落到过人家家里吗？人家“选择”这条路是有原因的：首先是需要，其次是对于进项的路径依赖。那你在给别人定罪量刑之前，提供过任何
//@银宝间惠 :是这样//@阿萨姆奶豆 :我也觉得，所谓阿宅就是可以搞一个东西没有任何人赞同也会觉得有自己的意义一样，她们可以有社群，但是不是必须的。不ooc是共同语言，但是这不是必须的，作品能被创造出来第一要义是对作者自己有意义。
//@啊熊姨 :时隔一年半，这个故事终于被写出来了！2024年1月，文中姐姐微博私信联系到我，想找媒体记录姐弟二人打官司的经历。姐姐发来的Word文档让我非常震惊：她的心理咨询师、律所，全是国内关注未成年人性侵最一流的专家了，她做了所有能做的，但弟弟的状况依然很糟糕。 遗憾的是这个题我没有写成
啊啊啊啊啊。//@阿海就是厉害 :图片评论 查看图片
//@透明人間的蒸气 :他父母看见16岁的他和同性发暧昧短信，大发雷霆兴师问罪，而得知他从7岁开始被叔叔猥亵，得到叔叔解释：“男生之间玩一下，没什么。如果觉得不行或者实在不舒服，可以安排道歉，双方握手言和。” 他父母就接受了？？所以中国人的保守的性观念是什么？ 男性可以互相玩一下，但是不能
//@一杯dirty的拿铁 :人是需要被记得的，谈论死者是对生者的一种慰藉。我姥姥去世时，老人家要求骨灰树葬，没有仪式，我的一腔寂寞悲痛无处发泄。我妈妈怕我忌讳，言语中不敢提起，连我去姥姥家住，她都不敢说让我住“姥姥的房间”，而说成“靠阳台的房间”，我知道她是想体贴我，但心中还是十分憋闷。
//@阿猎木星初转腾 :Mate在Scattered Minds里也讲到了成瘾（因为很多ADHD人士有这个困扰），然后里面讲到一段话让我印象很深，说“许多的帮助仅仅强调成瘾行为本身，而忽视其潜在的原因”，又引用《分心不是我的错》里写的：“我们经常过度关注药物滥用所造成的问题，以至于忽视了药物对使用者必然带来
//@潘萌SoPhia :从小到大大家都教我「不要理他们就好」，但您不只是问「你还好吗？」，也不是说「不要理他们」，您告诉我：「姨妈半夜一个一个在检举那些人。」孩子的爱是最直见性命的，从lily的文章里能照见熙媛的灵魂碎片，最核心部分的她是一个什么样的人。
//@鸿鹄夜奔 :不如看《失声画眉》
//@开心胡萝卜食品店 :其实我自己再看一遍都觉得很有帮助。这几年光是从习惯性的受害者叙事转为乐观主义者叙事，都对我的生活有了一定的积极作用//@-盛大的感动史- :从那年今日捞的 虽然是个广子吧，但是【“人的表达是自我实现的预言（Pygmalion Effect）”，你必须从你的表达里认为你自己配得上，能
//@一棵甜熟往事 :以前宅舞区也完全不是这样，宅舞文化真的拯救了一批女孩子，她们靠彼此打气加油活下来。然后就是我们今天看到的这样了//@羽大夫 ://@羽大夫 :轉發微博
//@折枝做梦甘露寺重生版 :人要不断地学习，让大部分事情自动化，核心精力留给重要的事做决策
//@鸿鹄夜奔 :感觉这群人都不知道dl//@幸存系少狗椿 :退一万步讲就是要玩这种，DL上有专门发泄欲望的游戏吧，为啥不去玩那个，还要转过头来讨伐苏丹这么一个文案发出来都不会被屏蔽，steam都没锁国区的游戏。。。有种家里养的狗在大街上随意撒尿的耻感
//@折枝做梦甘露寺重生版 :人要不断地学习，让大部分事情自动化，核心精力留给重要的事做决策
//@鸿鹄夜奔 :感觉这群人都不知道dl//@幸存系少狗椿 :退一万步讲就是要玩这种，DL上有专门发泄欲望的游戏吧，为啥不去玩那个，还要转过头来讨伐苏丹这么一个文案发出来都不会被屏蔽，steam都没锁国区的游戏。。。有种家里养的狗在大街上随意撒尿的耻感
//@是Apple也是爱泼 ://@酿克酿可 :是这样的，苏丹里面有一个我很喜欢的处理，是你有机会收养一个爱读书的少女，但如果你在收养的过程中会对少女使用纵欲，或者在苏丹刁难你的时候选这个小女孩去给苏丹蹂躏，这个小女孩都会自杀， 她会自毁这张卡（这张卡后期很强）并留下遗言：女人即使读了书也只能做
//@猫在写稿轻享版 :看完了不合时宜的回应，再回头看实习生们最初的控告，文档中早已详细写出工资是在离职前结清的，但没有按月发放，在事实上这确实是拖欠。不合时宜回应说“不存在报酬拖欠”，已经是基本的与事实不符…职场纠纷最麻烦的就是用情绪遮蔽事实，有就是有，没有就是没有，承认没有那么难
//@龙家动物城 ://@真-柳堡 :关于署名，暴露了一个有趣但普遍存在的现象——“疏忽”一词证明声明者也认同劳动者理应享有署名权（以她们的智识有此认知是当然的）。但何以“疏忽”恰是耐人寻味之处。兑现署名权是成本很大很麻烦的事么？我想起雄狮2片尾密密麻麻连清洁人员也未遗漏的名单，想起《隐秘的
//@微路 :不认识博主，只是在这当口（医药和医疗价格会因为关/税/大/战上涨）看到这种事情很难过。大家如果有余力也喜欢阅读，可在各售书平台搜《九故事》《不畅销小说写作指南》《谋杀电视机》《东游西荡》《潜能者们》。祝普通人都能熬过这个艰难的大周期🙏
//@皮拉得斯酣醉 :附议。真的是很震惊这年头只要是尝试科普就会被说是爹味……以及发超过两百字的影评会被转发批判写太长=爹味，温和措辞指出他人的常识性错误也会遭遇对方破防大骂爹味。就算想要批判发言者好为人师也请用准好为人师这个词，爹味大帽子批发算怎么回事
//@Raksincadaniki ://@暈眩閃電白日蛇行 ://@她们的武术俱乐部 :我觉得，当男作者令女性的躯体在荧幕上代自己承受命运的磋磨，成为一种高度抽象化的受难符号时，会在发泄愤懑的同时有一种与真正的自身保持距离而带来的安全感。//@浅骨蜂鸣 :“男性所自喻和认同的并不是女性的性别，而是男权文化为这一
//@Lyn-Dawn :删了很多信息，如火车站翻新的原因，中间沟通的措辞等，大家自己找吧
//@__Kek444 :男人会非常非常嫉妒女人，甚至超过嫉妒其他男人，因为女人能够做到如果仅凭他们自己永远无法想象和做到的事。女性会本能的想，明明是很珍贵的，怎么舍得呢，留着给自己带来更多好处也好啊。不是这样的，男人的嫉妒之心会发展成“得不到就毁掉”，不是你归顺他就叫得到，只要这种闪亮的天
//@透明人間的蒸气 :韩国这些故事里总有戏剧化的阴谋，真的非常诡异。 其他地方的事情，霸凌也好，性犯罪也好，都是阳谋。 发现金赛纶生前其实在过一种十面埋伏的生活，就像发现尹锡悦完全复刻电视剧里的间谍绑架情节一样，感觉一点也不现实。
//@我必如水银泻地 :新伦理缺位这点是的//@哟大西 ://@_标准烛光_ :没被算法绑架的时候，其实你上网看到的大部分东西也都是你不需要的，右上角很正常，现在嘛…你十分钟前讨论啥，十分钟后就出现在你淘宝首页了//@jagaimotatop :上次看到一句话讲得很好，大概意思就是新媒体起来了，但是新伦理还没有跟
//@王嘉兴XX :接连经历了两个长辈的离世，积累了许多许多不知道该怎么消解的情绪，一个表征是痴迷于阅读和死亡有关的内容。边读边随手写了大几百字，但也仍不知道何时可以消解那些情绪。只是在边读边写的过程中越来越确定，写作是救赎，但当它能成为救赎时，它也注定是你一生逃不掉的诅咒。
//@荷兰豆本豆豆荷 :一个又一个男人跳出来把她的伤痛扒个一干二净，只为了证明另一个和未成年时的她“恋爱”男人的无辜。比较谁伤害她更多并不代表你就无罪哈
//@Yestorrow_ :自殺行為的成因很多時候是反覆疊加上去的，甚至連本人都不會完全明白自己為什麼要這麼做。但人生歷程是連續的，環環相扣的，前事會不會影響到現在，除了已死的本人，沒人可以下定論。只能說你們這些垃圾男人，沒有一個可以撇清關係。
//@啊熊姨 :今年春天最想写出来的稿子。我一直没法消化阿娇再次患癌的消息，微信上也不知道该怎么安慰、聊什么。这个话题没法在聊天对话框里展开，太沉重而且也让我恐惧。 阿娇对很多事情都有办法，之前问印尼，问出海，问怎么找人，她永远会迅速帮我解决问题。这一次在上海，晚上躺在病房里，我们发现
//@杨潇在西南大后方 :搁以前各地都市报记者已经在现场了。 现在只好：“均无人接听。”
//@透明人間的蒸气 ://@皮拉得斯酣醉 :我觉得这是因为“女人不是人”在鬼狐故事里是一个被摆在桌面上的事实，且女鬼的形象本来就代表了女性集体遭到的冤抑（以及她们作为死者的无功利性的深情，她们的冤情与深情赋予她们的强大力量），所以这种故事反而含有“只有戴上（鬼或狐狸的）面具才能说出真实”
//@小猫罚站 :我用 r1 看玄学真的蛮好用的🌚，解题思路
//@既生瑜何弃疗 :之前看山难/登山事故讲解也觉得！世界各处的登山运动科考探险需要这么多当地人的帮助，甚至是力挽狂澜，那登山史和极限运动记录凭什么是白人中心主义……//@静安区江宁路五百号 :一个当地登山笑话：登山队爬到六千多米，掏出氧气罐开始吸氧，而夏尔巴人向导也掏，只是掏出了烟……
//@我必如水银泻地 :人群常见的一种轻浮就是只有死亡的强度可以令其学会闭嘴天降迟来的尊重，甚或仍旧自恋不舍昼夜继续跟逝者争夺话语权。//@来祝贺我顷刻碎过 :是的，很多事件好像都在强化一种暗示：只有死才能得到清静和清白。然而更残酷的地方在于，像雪莉、林奕含她们，已经付出了生命的代价，仍然
//@麦卡PU10P :完全就是两个无赖//@凌太来了 :看全版，泽连斯基在会谈一开场就说了一大堆感谢美国的话。经媒体整理，以前他更是在公开场合感谢美国和美国人民三十多次。说他没有感恩之心无非是典型的宣传投喂。还有川普数落民主党历届政府，万斯“你去年11月去宾州是去给我们的政治对手站台吧！”这些
//@开心胡萝卜食品店 :《初步举证》里有一个论述还蛮值得思考的，就是我们的法律是又一代又一代的男性书写的，这造成了有关强奸罪的成立很难，步骤太多。必须很及时，有完备的报警流程，证据链必须非常强，而90%以上的受害者报警从立案就很难很难，要经历一轮又一轮的审讯笔录、鉴定、证据补强，案件能
//@推拿熊 :女性好像总是在面临这样的抉择，是否终于需要去为了实现自我，追求另一种生活，把对伴侣的爱放在一边。//@夏日冰镇黄皮柠檬茶 :自我意识和亲密关系的互搏。
//@ostrnomadism :微博正文 真实故事计划有贴了完整的致辞
//@我必如水银泻地 :还是那句话，囿于我所见所感即世界这种思考范围的人，赛博发言几百万字也没有参考价值。//@李小丢er :一部分人认为的强女，是贯彻男性思维的女人，残酷，冷血，利己，社达，在父权社会的价值体系里取得世俗意义上的成功。我觉得有点可怕，如果女性觉醒的尽头就是让女性变成不折不扣
//@透明人間的蒸气 :写大女主爽文的作家，我对她们没有任何意见，但她们却反过来说林奕含没有履行女性主义的道德义务（比如教人怎么反杀？？！） 未免错得太厉害。
//@推拿熊 ://@譞不争 :困住你的只有你自己的执着，一切苦难与困境的源头只有自己错误的认知，心为形役，永远不得解脱。
//@ieaber :Elsa不仅超越了动画女主角，也超出了男主。她祝福妹妹的爱情，但不被爱情吸引；保护自己的臣民，但梦想不是做伟大君主。她一直在探索自己想要什么，回答自己是谁；从她以后，迪士尼公主进入新时代，莫阿娜的角色曲是how far i ll go，茉莉公主的觉醒变成了（i wont be）speechless. Elsa是
//@透明人間的蒸气 :这是观点，不是情商好伐。不过说到情商我有一个maggie的段子。当初《英雄》在人民大会堂首映，记者问：“很多人说《英雄》这部电影是视觉的盛宴，你怎么看？” maggie：“今天是我第一次来到人民大会堂，太震撼了，我觉得人民大会堂才是视觉的盛宴”
//@透明人間的蒸气 :轉發微博
//@beauty_valley :办公室书架上一直放着她的书。她对中国革命关于妇女解放最重要的观念和实践——“男女都一样”的批判性研究是我的女权主义启蒙。她是有开拓性和原创性理论贡献的学者，女权主义只是她学术人生中的一种观察视角和方法，而非她的全部，正如她自己所希望的。安息🙏🙏
//@林奶粒 :「这种话语的背后，反映出无论亨伯特多么糟糕，他都是一个人，而多洛蕾丝只是个模糊的影子。此后几十年，“少女诱惑”文化不断滋长，恋童癖得以登堂入室，被庸俗化为“畸恋”。随便搜索一下“洛丽塔”，相关词条不是“不伦之恋”就是“致命诱惑”。调教开发出幼稚女孩的魅力，被归结为男人
//@透明人間的蒸气 :肯定 汪小菲拿回两个孩子 就算是和徐家两清 以后再也没有纠缠的理由 如果两个孩子给小S抚养 以前他怎么喷大S 以后就怎么喷小S 汪小菲可以继续给酸辣粉投喂厌女饲料//@麦卡PU10P :一个劲论证“孩子跟着劣爹好过外婆和小姨”的酸辣粉又被啪啪打脸，汪某自己可能压根儿就没想要抚养权
//@木卫十三律 :这两年发现人特别需要的是在什么情况下都能正常生活的能力，该吃饭吃饭该睡觉睡觉该休息休息。即使再沮丧，都要提醒自己评价反馈是我不可控的。放到一生来看，此刻的打击可能只是一眨眼，和其他的瞬间没什么不同；而且状态不对的时候的想法也不一定是对的，不用太相信，不如没有那么难
//@洛怀Pro :真的有很多这样的时刻，觉得自己太温和没办法发出尖锐的批判，觉得自己太文艺不知道该怎么措辞去痛斥……总是有很多觉得，很多担心，于是想想还是沉默了。内心明明有很多悲伤和愤恨，却无法那样激烈地战斗，好像总是忍耐，难以打开“战”的模式。这个怪圈要怎么打破我也不知道，但可以从转
//@麦卡PU10P :这个角度还挺妙的，唯一可惜是发早了十来个小时。现在的局面已经是短视频直播间被封，舆论风向扭转，虽然还没能帮助熙媛熙娣收复失地，至少看电视长大的人们重新用伦理和良知的护城河把短视频的野蛮人挡在了外面。尽管更大的基本盘，可能暂时还是张/汪这种人的。PS我喜欢电视的女儿这个
//@庄时利和 ://@没药花园案件 :CVC2014年中完成收购，2015年俏江南就破产，花2.86亿美元收购了个空壳，还打了八年官司都不知道能拿回钱不，被坑惨了，张却到处说CVC抢她公司，抢她公章…另外她也想赖北京和香港的律师费，2018年香港律所起诉欠300多万加利息，大s表示会“全力帮助”解困，三四个月后借
//@deadtreegivesnoshelter :之前和咪聊这个项目，世界上并没有一款恐怖游戏真正捕捉到了我们这代人所经历过的“中式恐怖”，“妈妈是为你好”、老师轻蔑的眼神、梅雨天长长走廊尽头贴出的排名，为什么我们永远对自己感到难以言喻的羞耻。因为没有，所以总有人应该做出来，应该讲这个故事。咪很了不起
//@ieaber :一个完全正常、光谱非常熟悉的男性，也可以自如穿梭在高密度的厌女渴逼人群里，而且完全感受不到吗？ 不judge兄弟？ 他甚至可能不知道大s老公是哪国人，但第一时间就在群聊里捡出了这俩结论……
//@康堤will :“她的生命也许就会多一秒的开心呢”，是这样的，她回复过那些喜爱是“我的荣幸”。虽然怪怪的我有时候真会忍不住想，到底多少数量的喜爱可以像盾牌一样抵抗住那些恶意和诅咒，去保护那些真诚敞开想要分享自己的人呢？10个兑1个吗？100个兑一个吗？真是好不公平的兑换，讨厌和恶意等负面
//@王古怪YU :世界不宽恕女性的自由，因此你比爱更诚实，比永恒更具体。你的存在本身就书写了勇敢者的革命，无人有资格做你的史官，死亡亦无法熔毁你永不投降的核心。谢谢你坚定赤诚的必须，谢谢你活出了自己。谢谢你来过。
//@麦卡PU10P :在这个难过的时刻再转一下这篇三个月前的文字，是我看过的对大S（也包括小S）描摹得最精准也最痛切的文字。“她们让当时的观众，特别是让很多女性看到了可能性和想象力，女人可以很张扬，可以很搞笑，可以很勇敢，可以咋咋呼呼不令人生厌，会拥有一些好的友谊和同事关系，也会有一些虚伪
//@还是这个阿毛 :看到评论里有对于记者查阅卷宗的嘲讽我想说……过去记者确实可以查阅卷宗。有些记者自己持有律师证，有些报社聘用律师，做相关报道是拉旅行箱装材料的。14年后这种行为被视作「非法获取公民信息」。现在人们觉得记者翻阅卷宗是在豁什么胖信你有鬼，而原po正巧打了这个时间差，宣称自
"//@喇叭Lybra :我猜啊，两国对中产的定义差异是否来源于语言本身？ 中文里的“产”的是资产的意思。中产指在有资产的人群中，排名中间的那群人。而美国叫Middle class，class在英语里没有资产的意思。在美国甚至没有阶级的概念，所以按收入分为upper, middle 和lower class，美国老百姓很容易把自己对"
//@麦卡PU10P :特师八百年前就说过了，“你在（ ），过着一种次要的生活”//@flyingcrabr :转发
//@透明人間的蒸气 :听完了 上一次完整听完一个播客还是杨毅讲小山智丽 这个讲太好了 涵盖了韩国的日据时代 韩国左右翼的划分 韩国男女对立 韩江的两部小说 破墓 巫术 示威中的kpop 女嘉宾不仅学识厉害 声音也好听
//@透明人間的蒸气 ://@7E0N :一语道破韩国人去旅游的真实原因//@福隆 :觉得很惊讶，身边很多人不知道目前处于通缩周期，还在聊通胀的事儿。
//@五七 :节目后补问了陈老师一个问题：今天大家在遇到有些案件时群情激愤，原因是觉得各种系统都没有用，不能提供正义了，甚至是有意作为一种社会抗议，可能超过了司法问题。这时候还能要求他们冷静理性吗？或者说，还能咋办？陈老师立刻回答，“参与公共讨论啊，自由和权利需要公共性来支持和实现。
