好看
其实在把一切都看成是无所谓且无关紧要的时候 好像面对一些曾经觉得会很紧张的事情也不会那么焦虑和害怕了 因为不报任何期待 也就无所谓结果以前会紧张会在意，其实是抱着一定的期望去对待。但是在没有了任何方向，并认为不再具备任何成功的可能的时候，整个心态竟然是平静且毫无波动的。很坦然的接 ​​​ ...展开
到底是谁发明的本科生要写毕业论文 该死的 从早到晚坐在电脑前 现在已经不认识字了 根本读不懂文献也看不懂自己在干什么 怎么会这么痛苦 后天还要考专八 之后的之后还要考编找工作 怎么人活着就这么难呢 ​​​
Fuck this holy life! ​​​
选英语专业 肠子都悔青了 真是造孽啊 ​​​
服了最近晚上老是做噩梦惊醒醒来以后只记得那个恐怖感觉 睡着了以后接着做噩梦 还是连续的  ​​​
永远讨厌关系社会 为什么人不能单纯的活着 ​​​
挣不掉， 落不下 ，逃不开。 ​​​
晒干了沉默 每月一骂 下辈子我要当有钱人 而不是现在被姨妈痛折磨的不行的可怜人 ​​​
每当我碰到陌生的领域 很不熟悉 生怕会犯错我一边会小心翼翼的努力不出错 一边又害怕出错而抓耳挠腮结果就是 最终还是会有所纰漏 跟着教程一步一步终究还是会出错 避无可避导致一些本可以避免的问题继续延长 然后因为做这些被延长的事而耽误时间，肾上腺素狂飙 内心焦急无以复加 眼睛疼不说 心里压 ​​​ ...展开
到不熟悉的领域 永远都很麻烦 求人办事很麻烦真的 ​​​
旷个屁 窄的跟下水道似的
我真的累了 所有事情都很麻烦 我真的很无语 好想消失在这个世界上 ​​​
人生是旷野。那就先从爬山开始吧。 ​​​
打工时间天天有 在学校里苟着的时间可不多 还是二战吧 ​​​
啊啊啊啊啊啊啊啊啊啊啊啊啊啊要毕业了啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊怎么办啊啊啊啊啊啊啊 ​​​
#好想吃考研复试的苦#我愿意吃这个苦 让我上岸吧拜托 ​​​
臭水沟里的人生。。。 ​​​
黄铉辰周边中转站超话退卡坑出 可以自带价来 多收包邮 ​​​
初五迎财神 ​​​
今天讲完了一年要讲的八卦 嘴都讲干了人类的本质是爱听八卦和讲八卦 不想讲话了顺带一提今日刚学会贴的假睫毛嘻嘻 ​​​
超现实3D沉浸恋爱互动手游#恋与深空#全新活动正式开启，恋与深空超话福利发放中~认准[官方版本]即享男主电话等完整福利  ​​​
超现实3D沉浸恋爱互动手游#恋与深空#全新活动正式开启，恋与深空超话福利发放中~认准[官方版本]即享男主电话等完整福利  ​​​
白月光回国 统统闪开！#将进酒广播剧# ​​​
抽我我我
最终还是栽进了乙游的坑里。。。鱼鱼我的鱼鱼 永远吃少年感外加白切黑的设定在你面前装可爱害羞实际上惜字如金 对内热情对外冷漠 啊啊啊啊太可爱了 ​​​
金窝银窝，不如我的狗窝 ​​​
世界上最痛苦的两件事没工作和工作 ​​​
对自己的理解力感到无语 ​​​
至少在农历2024到来之前 要改掉粗心的臭毛病 ​​​
真的求求了 让我这次科目三过了吧 ​​​
新年快乐！！ ​​​
