到点下班 我真是爱 ​​​
为什么春节一晃就过去了我不要上班啊不要上班为什么啊啊啊啊啊啊啊啊无限延长4号可以吗 这样就到不了5号上班了 ​​​
算了 黑子没有工作又破大防了呗 ​​​
太离谱了 天天都是黑热搜
过了年 就是春天了 ​​​
饿了 ​​​
谁敢信啊 自己睡了那么多年的床这次过年回来把腰睡得巨疼现在已经在客厅沙发搭窝了腰真的巨巨巨疼巨酸巨难受 ​​​
在电视上听到灯塔了！
肖战咋还不出来啊 这小品好没劲 ​​​
用live图结束2024吧~ ​​​
新年快乐！！
云南拜拜👋🏻👋🏻成都又下雨了 ​​​
挺累的 心很累 不想这么小心翼翼的我想真的不应该 ​​​
不是很开心 ​​​
可是是说的好好啊哥哥，你真的很厉害
垃圾极兔垃圾极兔  丢件丢件不作为垃圾拼多多垃圾拼多多不开发票靠我真的是服了 能不能不要在拼多多采购了 烦死了 ​​​
可恶 又开始算薪了 ​​​
无痛胃镜已体验太神奇了 医生一推药我就睡过去了好在结果不错，轻度胃炎 医生说小问题注意饮食正常吃药 我就又是一个好汉了！！很开心，结果都顺顺利利的，2025身体健康！！ ​​​
好开心呀  最近压了我很久的复查终于结束了！是个好消息！希望一会儿胃镜结果也顺利顺利！ ​​​
为什么给肖战私信没有收到回复，可恶的微博 ​​​
新年快乐！！
不怎么好的2024赶紧过去吧 ​​​
有一种我的肠胃已经抛弃了我的感觉，随随便便吃个火锅就这样了。吃榴莲吃进医院吃螃蟹吃进医院，现在吃个火锅都得进医院 ​​​
又困又累就是不想睡 ​​​
我的脚是一坨冰块 暖和不了 ​​​
明儿啊呜呜呜呜好漂亮好惨 ​​​
不要恋爱脑啊 窦明！ ​​​
冬至快乐！！！ 没有吃饺子，但是吃了俺妈卤的鸡翅 好吃！
受不了了啊 到底是什么怨种，大半夜想起来自己饭盒子忘在共享单车框里没拿啊，现在爬起来去小区门口找 ​​​
遇上一个很好的领导，即使手忙脚乱还是耐心教我，照顾我的情绪快点进入正轨 快点成长吧！ ​​​
啊上班太累真的会瘦 ​​​
啊啊我好期待！
很累很沮丧 果冻柠檬块的微博视频 ​​​
想要实体 ​​​
最近有点忙到飞起 赶紧进入正轨吧
坚持 今天上完就搬家了！真是受够这个通勤了 ​​​
找房困难 ​​​
这就是休息的戒断反应嘛十点多就在床上了  现在都还睡不着 ​​​
晚安💤 ​​​
讨厌吃药 ​​​
益生菌泡麦片真的太难吃了不要生病，好好养胃 ​​​
胃真的好疼 疼得我睡不着 ​​​
讨厌吃药 ​​​
太想哭了
学一下还没入职就一直安排工作  这叫 前置工作方式 ​​​
今天受到很大的打击，两个offer 本身就是推掉前面一家留的这两个，结果一个因为体检影响到入职，一个因为非常非常不合理的在入职前就一直安排工作让我非常不舒服开始犹豫要不要入职，难过 ​​... ​​​
我决定了，不管春夏秋冬我都要记得戴口罩坐地铁！！ ​​​
好困啊好困啊好困啊好困 好冷啊好冷啊好冷啊好冷啊早七的早晨居然只有9° ​​​
好牛啊好牛啊好牛啊人民日报首发官宣，好牛啊好爽好爽好爽！ ​​​
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
啊啊啊射雕英雄~啊啊啊射雕英雄~//@X玖少年团肖战DAYTOY:大年初一，一步江湖！#电影射雕英雄传侠之大者定档大年初一# #武侠是全球华人血脉觉醒的文化密码# #电影射雕英雄传侠之大者#
讨厌感冒 ​​​
我真的要哭了
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
烧的我难受 ​​​
现在睡不着，头非常疼，眼眶也热热的，应该是发烧了。连吞口水嗓子都疼，心里也乱七八糟的。太久没住过宿舍了，还是住不惯。尽管条件非常好，又大又干净，上床下桌，空调，WiFi，热水，饮水机，一楼就是食堂，四人间也只住了三个人，连宿管阿姨也很好...但是还是想辞职这份工作让我很没有干劲。 ​​​ ...展开
不想上这班了 想明天就回去 ​​​
不想上班 ​​​
倒计时倒计时
我好期待 ​​​
啊啊我好期待好期待 一次性听饱呜呜
我是天才 ​​​
心软软 我的饭饭饭
