我下次还是骑车去吃三十块钱的麻辣烫吧 这个真不好吃。。。 ​​​
咋办 这周都吃了好几顿好的了//@曼妙沪上女:挑战失败，直接堕入消费主义泥沼。//@曼妙沪上女:打卡。第二天。消费降级，今天就喝一杯咖啡(瑞幸)//@曼妙沪上女:打卡。节约用钱第一天。
pdf
我有时候会回首过去 我觉得总有那么几个瞬间很珍贵美好 可是现实中一次次倾听到真相 听到身边人直白的表述 就又发现原来一切都是自己幻想为之赋魅  都不值得 即便有过很好的时候 但也过去了 人总是要向前看的对吧是你跟我说的 总要选对的那条路 我选了 你也选了 ​​​
挺开心的来到这 大家都很好 从前没发现现在发现很可爱的本科同学 新认识的朋友 总会捧场还会关心人的有趣舍友 就是一个lucky的小女孩 ​​​
考不出来就给自己杀了 ​​​
不行了 好困 ​​​
我真服了 一早上给我累的 ​​​
下个月不许再花这么多钱了好吗好的 ​​​
九月份不可以再花这么多钱了
我去 这给我睡的 神魂颠倒 ​​​
最恨狗人算到最后计较的全是钱 ​​​
卡点大王 ​​​
奥迪奥迪我们喜欢你 上月工时没签 结果还是按时给我发了工资 离长的礼物 爱你 ​​​
龙嘉机场服务态度咋忽然这么好了 原来感觉还行 吧 今天巨好。。。姐姐哥哥都好。。 ​​​
真正忙起来的时候是连微博都懒得发 服了呀 ​​​
我真服了 这对吗 这算的我头脑昏花 走之前必须给他整完了 ​​​
这什么孽缘 苦果也是果是吗 ​​​
我的三年 278.4 ​​​
俺不中了 我要累死了 ​​​
Repost
每次团体英文聊天的时候都局促。。。啥时候能听懂每句话 ​​​
福至心灵掀开了沙发垫发现了钥匙 瞬间松了口气 所以另外一个你在哪 请快点出现好吗 ​​​
好惆怅 各种情绪交杂在一起 自己都说不明白 睡一觉吧 ​​​
下次见面是什么时候呢 ​​​
跟蠢人沟通是人生一大不幸 ​​​
我人麻了 怎么两个钥匙一个也找不见了 这不对吧 ​​​
先考一次再说 先考一次再说 先考一次再说 ​​​
Repost
心情如p4 ​​​
我一直觉得自己有点拖延 可是独居以后我不这么想了 我会为了买一瓶饮料火速穿衣下楼 会想到要去体检就马上去  会打个电话就出门 我好像真的是个独立的大人了 ​​​
我能说我很喜欢这段李佳和庄图南的对话吗我能理解李佳云瑶之行后的冷淡，因为她的生活有太多不确定又有太多背负的东西了，只能用这种伤人的手段去拒绝，所以她说云瑶是平淡生活里的一场梦。但她是有骨气的，一心留在上海但坚信自己慢慢买总能买到房子，没有做一个为房结婚向下走的人。她后来到了设计 ​​​ ...展开
//@spark不夜城://@冷斯基SoCoolDriver://@深海与黑夜://@小猫小胖小顾:他们说人人自危，你的危和我的危真不一样//@柴猫君://@囧兄://@7菲_-://@八桂庙://@晷阿://@缘结竹致Asques:男的怎么不担心当众抓挠会被当街捅死，还是女人太温良了
看李佳哭真的好心疼。。就像bgm唱的一样 她怕太美好的会消失 所以不要开始 ​​​
//@费加罗夫人://@M大王叫我来巡山:好棒名字也是霸气的很//@雪霏Sophia://@酒酿熊子:好！//@你的雕沙到我了:真好//@这是一个很高冷的ID:哇！！！//@烫金真爱册:太好了👏🏻//@北极星Polaris_D://@你别说还真是这样:好//@快递员吴彦祖:真好 真优秀// ...展开
可惜你不会问了 不然我会回答你 我有想过和你一起去巴黎的 ​​​
躺在这看剧吃薯条 一口气吃了两包  外面有阳光照在屋里 到底多幸福才算幸福 总是想得太远而忘了此刻就是原来梦寐以求的生活了 ​​​
Repost
这给我整得晕的 ​​​
Repost
有种慢慢和这座城市说拜拜的感觉 ​​​
Repost
果然不是自己的主队 没有啥情绪起伏 ​​​
丢掉天真 丢掉幻想 ​​​
//@CafeCathy14:还有李天一的妈妈//@因风风风风皱面:还有吴亦凡妈妈//@麦卡PU10P:上一个如此努力的青年男性母亲出现在公众视野中，还要追溯到大同订婚强奸案，结果是儿子在本来可以和解的情况下被送进去了。真的是越努力越幸运//@关于我的太空英雌:据称肖明瑫母亲徐丹“2024年初突然全盘否认 ...展开
Repost
说起偷拍，忽然想到一件很不愉快的事情。之前在教学楼复习，晚上有一个男生坐在我的斜前方不断打游戏刷视频并发出声音，起初觉得反感，但想着多一事不如少一事，也没有去指责。过了一会明显感觉到他一边观察我，一边用后置摄像头对着我，但我就像杨同学一样，怕自己误会了，贸然指责反而容易发生激烈 ​​​ ...展开
坐公交 一堆年纪大的争着往上挤 我手拿行李箱想着别挤了没座就没座吧 默默站在边上等人上完 结果边上大爷凶巴巴的语气 说的却是现在不上啥时候上！让我先上去 ​​​
一下车就觉得非常潮湿的城市 ​​​
//@有盐电影://@l鱼苗I:这应该成为所有关注这个事件的人的经验 有取证意识很重要 更重要的是不能接受语焉不详要素不全的道歉 一定要清楚地认定时间地点和具体行为 并且最好及时报警 留下出警记录和口供（当然也希望所有人都不要遇到这种情况 在真的身处那样的场景和面对其他突发状况时 可能无法保持绝 ...展开
永远在路上 ​​​
姐姐你要幸福
//@费加罗夫人://@姐妹撒泼指北://@出版人周筠:她会让不肯向性骚扰行为低头的女性懂得：遇到这样的情况，管它桌子下面茶几下面，照拍不误。也看到了一些在地铁上遇到咸猪手临危不惧拿出手机录视频取证的年轻姑娘，正是她们的勇气和行动，在改善着每一个女性生存的环境，从而进一步获得勇气和智慧，继续 ...展开
Repost
//@有盐电影://@婉司姬://@漫步君://@起肖蔷://@酒千千千://@有酒盈樽ss://@酱油枣子K://@想冬眠的十万 ://@幸运的小五上海 ://@卡卡荷光 ://@瑜之所欲第五章 :图片评论 查看图片
笑的 人一句没提外貌就应激成这样了
天。。第一次在这椅子上睡着了 好舒服 ​​​
//@江南大野花://@Tiger公子://@internet-garcon-pdf://@M大王叫我来巡山://@亚尼大帝://@狗派天下第一://@我食汉尼拔://@失溫電子蝴蝶://@绝热圆白菜://@真空球状狗://@酷拨鼠://@李不敢知道主见:maskpark注册人扒出来了，名字叫麦梓豪  犯罪团伙:麦梓豪，潘雪连，麦梓峰，麦德荣，刘恒冲// ...展开
我没想到这些事情对你影响这么大，但当你说出来之后，我又觉得我能理解。能理解你在机场被人镜头怼脸时的无助，能理解在比赛场上想要赶快离开的烦躁，能理解一个动作一句话能被800种解读的恐惧。 但你是勇敢的，此刻我觉得我们达到了共鸣。就像你说的，在他们的职业末期，不管是哪一队的球迷都会站起身 ...展开
Repost
能不能拥有一到家就可想可想学习的能力。。。咋我老想睡觉呢 ​​​
//@矮周迅:管管吧//@失联养樂多://@小狗斯特:我的天啊//@烫金真爱册://@插花大师://@一支小暗暗://@堪破三春景不长:没得管可以先管管这个//@六点准时打卡://@噫拟中了://@淋痣蕶://@兜傲天://@羊尾联赛六强战队限定薯条://@熙-十年之约版:请有关部门拿出办理海棠案的效率和力度
//@spark不夜城:偏我小璐姐来时不逢春//@绝世美零子:偏我小璐姐来时不逢春
报销报完那瞬间感觉就是活了 ​​​
好久没听英语会了 听的我马上有点晕 ​​​
给我困的 在公交上就睡着了 ​​​
Repost
大家都好忙 我好闲 好想下班。。但早上来的太晚了又不好意思早走 ​​​
你说你不想陪我去买冰淇淋，但是你会去陪别人逛二次元的店 ​​​
妈妈是懂我的 ​​​
Repost
Repost
俺不中嘞 舞蹈老师咋长这么好看 ​​​
