Phoebe: … you don’t wanna start the new year with me if you can’t finish it. 三刷出细节惹！ ​​​
#记录生活中的琐碎趣事#要做就做那个让自己幸福的人儿呀！ ​​​
#记录生活中的琐碎趣事#又到了放老友记当背景音的季节啦啦啦[繁花鱼生] ​​​
我又变INTJ 了喔 ​​​
#记录生活中的琐碎趣事#每年初二去外婆家必打麻将 之前是陪外婆 今年舅妈先加入又换她崽上场 四个小趴菜会吊骰子但不会数 最搞笑的还是咱👦🏻👧🏻俩卧龙凤雏 笑话频出1️⃣👦🏻超级自信地摸牌 把一饼摸成一万2️⃣👧🏻无敌迷糊地出牌 把六条喊成七饼哈哈哈哈哈哈哈哈别的不大记得 ​​​ ...展开
新年定胜旧年 做只对你撒娇的优雅公举的微博视频 ​​​
又是一个艳阳高照年呀～ ​​​
👦🏻：有茶喝吗？👩🏻：我跟你爸杯子里的都可以喝👧🏻：我也要喝我也要喝给我倒点👦🏻：(听话倒上) 给你倒完就没了👧🏻：你自己给我倒的(得意地笑)👩🏻：你爸杯子里还有过会儿👨🏻回来了👨🏻：谁把我茶全喝了？👩🏻：你爹你爷爷去倒水的话就帮我也 ​​​ ...展开
一家人在看漂白 👨🏻吐槽这剧智商低很气人 👩🏻吐槽👨🏻爱看的抗日神剧更降智 八路军打鬼子一瞄一个准 鬼子一个八路军都打不中 还模仿比枪的亚子 笑疯了👧🏻和稀泥说 那好歹看着很解气嘛 ​​​
“金窝银窝不如自己的狗窝”之回家的感觉真好 ​​​
最近老刷到说无耻之徒是精神内耗的治愈良药的帖子 第一集才看20分钟不到吧 震惊我好几回了 就是这样治愈的吗？ ​​​
打卡二刷完老友记 恰巧一年时间吧 不长 但十季是他们的十年啊 太长了 跌跌撞撞… 兜兜转转… 最终还是会告别 尽管有不舍 都在往前走向前看不是吗 ​​​
Chandler and Joey are best friends! ​​​
一直觉得他们6个都很清醒 但是看这一段要不是知道最终他们能修成正果还是会特别惋惜 ​​​
老友记里的Ben和五尺天涯里的男主竟然是同一个演员啊啊啊啊啊啊啊啊 ​​​
#记录生活中的琐碎趣事#12.6 望城工厂游（PS: 图1️⃣左Олег说站在两个Олег中间会有好运） ​​​
一回家就擦手机好熟悉的操作 想跳舞了💃 ​​​
#记录生活中的琐碎趣事#12.18 有着特别体验的一天 ​​​
9.10 👭在风帆广场日落🌅 ​​​
9.10 🧚‍♀️在风帆广场日落🌅 ​​​
上一条是实况 这一条是静图 ​​​
9.6 五一单色看考核 菲总拍的👏👏 ​​​
6.26 出地铁站一抬头看到的风景 ​​​
今天再次浅尝了伯牙绝弦 给霸王茶姬最后一次机会 到底会不会失眠就看今晚了 ​​​
漂完头发都说我好白 粉白粉白的 是不是化妆了 结果奥师傅来一句 怎么染个头发变这么沧桑了 啊谁懂 我破防了！ ​​​
为啥不多拍一张 ​​​
好开熏 意外之喜❤️ ​​​
贾扬光真的是我遇到的最浪漫的一个人 ​​​
忘了是被第几个人夸过腰好细身材好好了 哎呀 看来我得少吃点保存身材 ​​​
我的朋友都好难得 ​​​
👸: 今天的糖醋排骨没有上次好吃对吧 有点咸了 应该多放点糖的[皱眉]🤴: (眼珠流转) 没有啊 都好吃都好吃😋👸: 哈哈哈哈哈哈哈你这求生欲也是够强的啦！🤴: 中国有句古话叫…… ​​​
6.28（5点不到 没拍被咬的坨 反正也是痒醒）🆚 6.30（又是左手又是脸上 还真会挑时候）这个梁子真结了 ​​​
确诊糖醋排骨脑 ​​​
是谁大半夜翻看一阶群里的作业视频！好怀念！ ​​​
今天像打了鸡血似的 ​​​
控诉陈菲菲每天要秀她的腹肌卷我们！ ​​​
琴琴摸着我的小臂说 哎呀 你真的壮实了嘞 ​​​
刘海儿现在变成这样 ​​​
5.27 记跟小团体打🎱的日子之被夸适合这套皮肤并被要求每天都这么穿 ​​​
5.22 with my dancer friends💃 ​​​
道阻且长 ​​​
5.18 picnic with girls ​​​
全是库存！毕竟只有之前才有心思拍照📷 ​​​
因此想当扎女 ​​​
？？？我请问呢？半夜楼下炒菜声此起彼伏的同时貌似有个怨女在跟对象讨论是否能听懂自己生气的点以及在说什么🤔（字字铿锵！） ​​​
#记录生活中的琐碎趣事# ​​​
每次在家录作业不是把自己整emo哭就是被自己气笑 ​​​
湖北美术馆🎨 ​​​
哈尔滨美术馆2.0 ​​​
Yesterday～ ​​​
口罩一戴 谁都变帅 ​​​
今晚“豹”了！ ​​​
1.7 city walk with little sis～ ​​​
芜～跨年夜终于化了个被频频表扬的妆耶耶耶✌️ ​​​
