"💩拉的好,心情都会好 ​​​"
太胖了，工作压力又很大免不了一顿狂躁今晚继续爬坡卷人就是要孜孜不倦狂卷sha13玩意虾米东东啥呀？干嘛要躲起来压抑自己浪起来呀，斗争起来毛老师和我妈的信仰都是江山是打出来的所以我说我妈这人不是个合格母亲但是她的基因血液在我身体里，这股辙劲怪难受、幕强？exc use？？？？ ​​​
放弃，断舍离也分等级有些人这辈子都不会想要联系说的不好听就像一坨💩有的人虽然阶段性让我感受不好但是没有大错，可以冷一冷而有些人不管怎么不联系，心里都有Ta的位置既不要看一个人说什么，也不要看一个人做什么看需要什么 ​​​
做作菲 ​​​
卷起来，有练习，心情不会差 ​​​
宝贝，👩会爱你很久 ​​​
让美好停留在最高峰撤退 ​​​
假期最后一天，又到了假期尾声焦虑症早上给自己煮了碗面，面是咱扬州的碱水面姐姐云南寄的鲜花饼，今天邻居帮我移插座家里的灰呀，那大的没眼入，每天干不完的家务活昨天睡了12个小时，困，我躺着擦擦身体霜，啥也不想，看看窗外的景色觉得人生的幸福差不多就是这样爱就是不问值不值 ​​​
今天练倒立练的非常好了很疼希望体重再下2-3kg现在还是有点胖的感觉好吧，今天买了好多好多发饰，明天拾掇稀奇古怪，爱美星人啦 ​​​
早餐：面包➕☕️，午饭：乌鸡汤（山姆现成的汤料包），自己加了黑木耳清炒🥦好吃，很撑下午再来一杯烤坚果拿铁蓓姐问我为啥不出去玩，i人：在哪都是花钱让自己开心选让自己轻松又自在的 ​​​
现在的饮食状态非常好没有计算配比喜欢吃什么就吃一点反馈就是：每天吃的不多，上厕所顺畅意识形态是个很抽象的概念但又是另一个台阶必要的 ​​​
❤️💗 ​​​
因为在意才会低头不在意了自然有原则且坚定无论多好的关系，在我决定放弃的那一刻就是终局不会反复反复是对自己的不负责任有没有感情？有多少感情，自己是有体感的所有经历都有价值，成就了更好稳定输出的我感谢他们，明白天意的安排自然不会有怨恨人生也像游戏升级不可能老是从头玩第一关， ​​​ ...展开
祝愿别人幸福 ​​​
因为我的微博会有人看，我不想影响到我个人的生活我个人生活是我自己的事往事已矣，不会搞暧昧，不会钓鱼我心甘情愿是因为值得不会留恋过去。现在很好 ​​​
感情这东西就是前人栽树后人乘凉，费那心思。就跟吃饭一样，想吃啥吃啥，吃饱了自然不吃了，好吃就继续吃，不好吃还硬吃，这不是神经病是啥。 ​​​
为什么有很多时候不想讲话，因为清楚这句话讲出去他会怎么怼你怎么让你自轻自贱，自然就不想讲了 ​​​
其实很痛苦每一次都要充碳、断碳运动会让神经很敏感然后还要写东西，20页的报告我特么写的痛苦我就想骂人发疯老天奶呀你说我还有心思吗？我的时间是按时计费的呀 ​​​
这豆子的酸感，很抑制食欲过去很喜欢的事物也会讨厌喜欢会变成讨厌，讨厌不会变成喜欢很残酷但每一种体验、感受都是一种充能非常好，还是要尽情进攻模式就这样吧。我也只是我。 ​​​
大家都要五一出去玩我才不出去，五一准备搬到主卧去睡新买了床和床单，打扫卫生、做家务、锻炼做饭，在家学习看书，和爸妈视频，给姐姐寄🎁这房子多贵呀，我不得狠狠住回本姐姐旅游了一个月，51⃣️后才回上海妈呀，我什么时候才能实现财务自由呀为虾米我要省吃俭用 ​​​
今天读到一本好书这本书早买了之前就看过，一到瓶颈期我就想拿出来看看不错，很好 ​​​
"别人都问我如何解压。这个世界上和母亲的关系是很微妙的不好意识的说，这么多年，我一直有用家里的钱有委屈会适时和妈说,就是想你了我妈是工作狂，我从小都是自己长大的，可能她现在年龄上来了，看我倒腾的也不错，柔软了不少这周居然会主动和我说,钱还够不够呀.其实挺开心的。让我不要睡沙发了买 ​​​ ...展开"
最近脾气不好，因为要学习了卧槽 我网上发疯没人管 ​​​
活该，狠劲这种词汇很微妙的 从哪个节点做的决定，那个因素是决定性因素。决定因素很难会有翻天的变化，所以改变自己的决定不就是活该和自作自受 ​​​
"我想讲一个事，有些东西你一旦判死，那就只能是这一条路 如果反复,会自作自受 ​​​"
😆你怎么把棉毛衫穿在西服里面爱咋穿咋穿呢 ​​​
看了舒淇的切片打消了吃东西的念头要想当美女，得付出很多代价 ​​​
今天吃的少，头晕 ​​​
疲态尽显的工作日 ​​​
当然要爱爸妈呀 ​​​
已经连续3天我都在写一篇报告，写到我难受每一次都是穷尽毕生所学去写，实际上是所学太少，写的非常痛苦 ​​​
我要被我自己笑死了网友的咨询问这个渣男不出钱不出力咋咋咋的我：可能我是恋爱脑，我就是很心甘情愿的喜欢很享受这种感觉👭，说好的见钱眼开的呢😂😂😂 ​​​
我想有点不要脸的说终于有人说我像猪猪老师了哈哈哈哈我喜欢的女明星除了猪猪老师，还有子文所以我的风格也是这2个类型 ​​​
花色渐变了，美早上起来做早餐可以美一天姐姐和我说是订的进口品种哎呀呀，能不能经常给我订呀。我就喜欢自己不花钱还能拥有的贵货 ​​​
王一博怎么那么帅？ ​​​
喔，就这个调调 ​​​
"当你做到了很完美的那一刻就要接受随时会失去她,所以不如我们就慢一点，享受追求完美结果的坎坷过程也同样记载着美好在我问你答环节中, 答案是什么不重要，重要的是我们曾有过此经历一种状态一种生活方式 ​​​"
在我20岁时他写：感谢你在你最美好的年纪选择了一无所有的我哦，我现在快40了现在的我比20岁更加会爱人爱己以前以为美好会随时间流逝现在才发现：美好是叠加的经过时间的沉淀更踏实笃定 ​​​
我们生活的意义是找到一种平衡像太阳、大地、树木在那里一切从心出发风吹起、落叶顺天应人无所住 ​​​
今天不想跑，所以才要跑有氧是我最讨厌的练习，但是有氧又是一切训练的基础前提 ​​​
怎么会有燕麦这么好吃的东西呀 ​​​
我们这一生会遇到很多人也会淘汰很多人很多人都有自己的标准没什么可议论的但是淘汰的绝不能回头了命运这个东西一点都不含糊就像游泳，顺水推舟有些人的离开绝不是突然被动、主动都无所谓，重要的是分开这个结果 ​​​
真的爱一个人是会花钱的所以真的别用太多东西去衡量差不多就可以止损了 ​​​
昨天终于舍得把纱帘挂上了，真的美的不像话 ​​​
努力写法律协议书的一天中午和我训练搭子做抗阻训练昨天高碳饮食（燕麦粥，喔，太香太好吃了）今天低热抗阻。就是一边虐待自己一边爱自己我是我自己最好的爱人这样的我很难不被人喜欢昨天和我同事出差签合同他说为啥你把棉毛衫穿在你西装里面亲爱的呀，那不是棉毛衫呀，是我训练服呀，这不随 ​​​ ...展开
是什么让我wsjj是每一次的痛与苦、浮沉哦，一生二，生三，3生万物呀你蜷缩在那里，像被狂风暴雨打湿的小鸟路过的人也只是看看哦，intj呀 ​​​
瘦人千万不要怕浪费食物，特别是高热量食物，馋的时候吃一口不想吃了立刻扔掉 ​​​
有时候真不是看不起别人真的是人与人的差距比狗还大 ​​​
我才不当垃圾桶 ​​​
神烦逼逼叨叨的人 ​​​
今天光盘💿大米饭🍚太好吃了😋爱吃中午尽情吃，下午到晚上再也不想吃了昨晚上泡个🛁太困太好睡了。生活爱我，我爱生活。 ​​​
今天吃了骗钱套餐碳水摄入量起码300g，卧槽，吃的爽 ​​​
缘份、身体都是很奇妙的事情我们是4年级同学呀现在还觉得特别要好早上我刷牙的时候就在想，哦，我很确定有的人我不会再见了，也不会想联系为啥呢？没有必要呀。生活如浪淘沙，真的淘汰了很多人非常非常好 ​​​
人生中很多东西实际上是很不公平的所以缘来缘去真的要甘心呀 ​​​
谁跟我一样，天天吃着难吃的食物连最爱吃的甜食都不爱吃了怎么可以？抛弃我的挚爱 ​​​
锻炼真的让我抑郁又很喜悦的事抑郁的是，我长期坐着，2侧坐骨受力不均，我2侧臀部力量就不均，链接我的髋也是不平衡，一侧练习🥱的要死又很爽。烦，还要忙着那的好想发脾气呀 ​​​
买衣服在xs和s纠结，有时候就想对自己狠一点，就买xs，但还是留了空间，因为我年龄会上去，无法判断我还能不能保持这个围度，而衣服又很贵，算了。 ​​​
沉浸在美图里无法自拔 ​​​
嘻嘻，可可爱爱小葫芦今天没贴睫毛 ​​​
"1、我现在贴假睫毛贴的很溜了2、胸椎曲度好像可以扭转更多了有一种很灵活的体感3、足弓、踝关节比之前好些4、我长期坐姿的矫正、两腿、坐骨 5、怎么减肥？中午一顿吃的死撑,一天都不想再吃 ​​​"
卧槽现在强的可怕自己把柜子也装好了 ​​​
