//@烤串儿小哥:作为女性，她全文没提一句abortion rights，在RvW都已经被推翻，占人口一半的女性的身体自主权都失去联邦保护的时候，还在惊讶Obergefell会被自己的“保守派战友”针对？还在既想剪掉左派的翅膀，又想保住彩虹的尾巴？
#5岁男童小区景观池触电身亡#我的妈呀，太危险 ​​​
#女子高铁说讨厌小孩目击者发声#持续一两个小时的踢碰上一个神经病你都没孩子了，这样的狗揽子家长少作妖我们母幼出门更方便。 ​​​
#女子高铁说讨厌小孩被宝妈怼哭#我和我家侄子出门时候可从来没这破事儿，又不是病孩子，正常的孩子这样就是欠收拾。 ​​​
我小时候就想去，三年内一定会去
//@葱姜盐糖猛火烹虾:本来我只是觉得死者为大，我在它去世这件事上礼节性支持一下它的主张吧，“没法避免的不幸”不是吗。结果总有这种谐星弄的我忍不住想叫个好…//@Tiger公子:“向美国国务院举报”啊哈哈哈啊哈哈哈哈怎么这么好笑//@里奇_Richie:怎么还跑微博升堂来了，哎哟我操，就是死得好 ...展开
那么胚胎师就是创造生命的神经，快把你的圣经乱码七糟的扔了吧，你连真正的神都认不清//@抢个昵称很难:回复@水灵不加糖:你是婴儿的时候   也没有多少生命意识和意志的。假如一个几个月的婴儿，被放在一边，不给喂养，他是不会说话求助的，可能会哭。进一步，更小的胎儿呢？在肚子里，你甚至都不知道他 ...展开
//@paingod:现在MAGA们的说法：他的父母都是非常好的人，他上大学前也非常好，是大学毒害了他，必须打倒这些美国985，都成了反美宣传阵地了。
结果是自家人打自家人//@blossomog:这个时候右派全部不发声了
凶手是来自共和党家庭，建议他们黄右别辩了//@山海之间越重洋:看看这个满嘴跑火车: Charlie Kirk被谋杀，只因他用事实和逻辑，常识和分析，推行理念，倡导辩论。 凶手都没找到，他已经斩钉截铁地分析出来谋杀原因是什么。 完全没有因果关系，而且这个“因”是事实吗？ 这就是你推崇的kirk式的事实和逻 ...展开
华川骚猪们的屠杀左人计划又一次落空，帮帮maga🤣🤣
//@庄时利和:精诚所至，金石为开。
如果特朗普真的认为他是重要的盟友的话，起码应该会给他个职位，给他一个更好的安保吧。应该也不会，他尸骨未寒就开开心心去看比赛呢。情绪可以成就一个人，但是风险也是极大//@阿拜克特巡逻鸠:同心情，他被自己宣传的仇恨反噬了，他让别人痛苦到生不如死，别人就会让他死
黄右不然照照镜子看自己是不是白皮
白右我能理解毕竟他们得利，但是黄右尤其在非美国地界的精神黄脖子如丧考妣我也是很奇怪，红脖子maga会接受他们？
//@有效改善腋毛分叉:他甚至曾经说过如果他的十岁女儿被rape怀孕他也会让她生下来……所以我看到有人说他死了他老婆孩子好可怜，我心想说也不一定是坏事各位//@死生爱欲:铁杆右翼，各种上节目和公开辩论说强奸和incest不是任何年龄的女人堕胎的理由，支持把堕胎的女人送监狱，还在镜头前对14岁小 ...展开
//@老曲-LQ:当“保守”主张落实到自己人头上时，保守派们就不干了。还能再双标点儿么，格外讽刺
，黄右崩溃
红项链那位老婆孩子们倒霉到不行，他生前没有得到一个很正式的职位，川可没有多惋惜他，川这个人很难用好坏断定，他要的是权力利益，可不是maga的伟大愿景（当然所有人都是这样），生前川不见得多在意他（甚至不一定多见他几次），死后他的尸体却要被吃得一口不剩。他的妻子和孩子没有任何的保证，反 ​​​ ...展开
#刑事立案下降25.7%# ​​​
额哈哈哈//@黄老师要瘦成闪电:所以他的演讲主题是“证明我错了”//@一个喜欢画画的小疯子:据说这哥们曾经公开宣称为了维护第二修正案（持枪权），每年发生一些枪击案是值得付出的代价
这群家长给娃吃点巧克力香蕉等零食就得了，专注达是成瘾的。你大爷的我们开药医生都很谨慎，一次只给一盒还不是周周能拿到的，它会让我们注意力不集中的有改善，你们正常水平的孩子就不要折腾了呗，它根本不能让人聪明呀。
川的猪狗冲国会造成了一位警察的死亡。可没见我们右的领导者川对他们大肆谴责，毕竟是他亲手赦免哦。最搞笑的是谁和黄右是自己人呢？人家红脖子只要白皮/@火金蘑菇:诶？黄右在看到日本的核弹受害者地震受害者时不是在放鞭炮吗？那些可都是无辜的平民，看来你们没有人的道德底线呢。// ...展开
一个种族主义觉得10岁女儿被强奸也得让他把孩子生下来的畜牲死了就是天降正义，看不起被刺杀的民主党议员和其丈夫，不知道现实生活中当上科长没有。说不定是maga内部清理门户呢 ​​​
他们怕是不知道自己是特朗普嘴里吃狗的家伙，万贵妃嘴里的乡巴佬。想和人家红脖子同心同德也不看看自己颜色对不对//@深海与黑夜:中国人为了maga人破防我是不能理解，我觉得人应该自尊自爱，而不是自轻自贱。
#吓坏茶女士# 小心这样的插线板，有可能有危险。 ​​​
猥亵男孩强暴女孩基本上是基础操作，甚至有的地方还有体罚孩子致死的。就孩子可怜，训练营是混蛋家长是傻缺，孩子索命家长也跑不了。
逝者安息，希望凶手得到该得的惩罚，突然觉得做一个世俗道姑挺好的，起码不会死于这个 ​​​
//@庄时利和:「任何生命的逝去都值得同情。但也想提醒特别同情他的人，他的名言“我受不了同理心这个词，同情这个词是新时代捏造的，这个词毁了很多事情。”逝者为大，听他的。」
#少女遭体罚死前求助信被老师拦截#看得窝心，任何有良心有脑子的家长都不会送孩子去那种地方。跨性别或者同性恋孩子的家长也别指望送进去能治好你的孩子，孩子大概率会被畜牲们霸凌侵犯 ​​​
这种地方猥亵男孩强暴女孩的事情时常发生，所有职工都是帮凶//@鸡爪味年糕://@春和景明的咸鱼:之前一个男医生侵犯患者，猥亵罪判了四年，当时就觉得，猥亵妇女不可能判四年，侵犯都才三年，点开新闻仔细看，是侵犯的男患者，用猥亵罪，判了四年，新闻也是有点模糊患者性别，不知道的还以为猥亵一下女性 ...展开
对于大量堕女他们轻轻揭过，对于没影的“极端女权堕男胎”就极大的痛苦，如丧考妣。女性堕男胎99%的情况是不想分走第一个儿子资源的无奈痛心之举，不会像堕女一样普通吃饭喝水样理所当然。首先极端女权人家不碰男的，何来自然怀孕且怀男胎？第二女同都也会喜欢男孩，单身生育的那帮人何来堕男胎。 查看图片
//@千千鸭鸭:呕
//@惊奇队长卡罗尔丹弗斯:“极端、女权、怀男胎”，三者只能并存其二。//@罗永浩的十字路口:因为人类蓄意堕女胎的恶行，我们早就知道。现在极端女权要蓄意堕男胎，我们刚知道啊。你又在瞎敏感什么，唉……//@携隐Melody:一向逻辑满分的罗老师怎么这次不讲逻辑了。既然选择哪个性别堕胎都是恶行，为什么 ...展开
//@日日是好日add_:狗咬狗 我会因为纳粹和杀人犯互打而伤心吗？打的更厉害才好。最好都死光
//@摇着手花飞走liao:受害者本人支持自己和其他人承受这种伤害，外加他甚至提出过会要求自己女儿受侵犯怀孕就必须把孩子生下来，这种父亲到底算不算正常的监护人大家应该心里清楚，公开讲自己女儿这种话的人都该剥夺监护权。
有道理。但是在法律滞后不能给加害者惩罚的情况下支持受害者的同态复仇。
//@wuleye:逻辑没错，他不同意堕胎等其他破事儿招来杀身之祸，不是别人嫉妒他有俩娃，原po叠这个莫名其妙的buff…
//@尻尻尻kkk:人品垃圾成这样也只能拿他是一个父亲谁事了。他曾经说过如果他十岁的女儿被强奸他会让他女儿生下强奸犯的孩子，这两个小孩还是没有这样的父亲更好
最右是网红自己的言论，他不配被称为父亲，也对他女儿善良一点呗//@郑峻:劝你善良。如果政治立场意见分歧都要靠暗杀来闭嘴，社会就会变成一个杀戮无间道。极左和极右都是垃圾。//@Elverith:两个孩子但是如果他女儿10岁被rape他会强迫她把孩子生下来，父亲怎么了？想用父亲两个字来表示呜呜呜他曾也是个 ...展开
#42岁男子殴打母亲致死获刑14年#弑母，而且以残忍方式，才14年我觉得不足够。 ​​​
人类真的是对生命缺少敬畏的物种（动物也杀动物，只是为了基本生存需求，没有取乐这种无聊爱好）
极端女权都是远离男人保平安，哪里来的男胎可堕//@爱学习的秋秋020:再说一遍，男的唯有在看到堕男胎三个字（而不是真实的事件）时才想起（已经堕了千百年的）堕女胎，然后完全不要脸地居然把后者拿来给前者当挡箭牌。//@清华小滚珠:销毁（体外）男胚胎的我见过1个，是几百🧪姐妹中的1个。而“ ...展开
//@349高手:很讽刺的是这个女生生前自拍里房间里墙上海报还有BLM（BLACK LIVES MATTER）内容
//@·xzbb·:（屁股大 好生养 能生男孩）经常被调侃这句 我觉得巨讨厌 真的屁股大不大关你屁事
