原博看得我哭的稀里哗啦的 评论也看得我稀里哗啦的。转给我妈了 她回复 查看图片
🩵前段时间有天上午和弟弟聊起来我为什么喜欢柴一协奏曲和羽佳 不小心聊了好多 我问 我唠叨这么多会不会annoying 弟弟：不会呀 你聊你喜欢的事情的时候眼睛都在发光后来我惊喜的发现羽佳今年的全球巡演 全是柴一 我生日的那一天 正好在威斯巴登（离Frankfurt 才50min）演柴一和肖二 我开心得不 ​​​ ...展开
上地铁的时候帮一个年轻妈妈把双人婴儿车抬进地铁 宝宝抓住我的手腕 ​​​
周日 和弟弟出去玩 ​​​
Share with pics ​​​
Casual effort doesn’t reprogram your brain and you’ll continue to live in the same cycles. Becoming obsession and becoming extreme does. Your reticular activating system tunes your attention to what matters to you. Be obsessed with your vision.#edison日记# ​​​
Jajaksjajajajajhahagagagagag ​​​
过敏过得呼吸不了 七个小时了 好痛苦 ​​​
今天是星期猫 ​​​
读法条读得想4 ​​​
没人经得起抽丝剥茧的推敲 宽容点吧//@Annabella霜霏蔓: 终于在互联网上听到了相似的观点...这几天认真看了何同学原文和各种反对批评的评论。我始终觉得，从羊毛月到何同学，他们作为公众人物确实有措辞不够妥当禁不起推敲的点，但这本可以引发更有实效的社会问题讨论与改进，而不该是一刀切划进阶级对 ...展开
g老师😭
Repost
Madrid/Valencia/Barcelona ​​​
年轻的她相信念念不忘 必有回响。她还是会在瓦伦西亚想起那个曾经那个和她撒娇 说自己在瓦伦西亚 今天星星特别多 特别想念她的人。她以为自己足够强大 可以很chill地化解种族 阶级与年龄矛盾 她也许确实可以。在巴塞罗那 在马德里 我没有一天不在想念你。路过瓦伦西亚每一个植物园和街边教堂 我都觉 ​​​ ...展开
心不唤 物不至 ​​​
Repost
Repost
#edison日记# 好久没写日记了 因为做了长指甲之后敲字很不习惯。最近最开心的事应该是重新开始读书了 而且开始读non-fiction了。以前在念本科的时候 一年可以读五十多本书 大都在图书馆和地铁上读的 但基本都是文学类的。几年过去 现在突然很想读practical的书。这次在国内读完了一本艺术史 和近五百 ​​​ ...展开
Last night in Shanghai ​​​
好👍🙏
「我还是放弃吧，回家做我的面条」「放弃，不放弃，做面条，不做面条；你患得患失，太在意从前，又太担心将来。有句话说的好，昨天是段历史，明天是个谜团，而今天是天赐的礼物，像珍惜礼物那样珍惜今天。」 ​​​
去深圳找小丸。最后一张图片是从2019年到现在 六年里我们在不同城市的合影。这些年里我们变了好多 搬去了不同的城市 我往西 她往南 这些年我们相隔几千公里生长 然后重逢。关了灯枕边聊这两年多变故和生活。好爱这种天各一方惺惺相惜 各自成长。坐在她小电驴后座吹晚风 一起骑单车去海边公园 吃潮汕 ​​​ ...展开
//@哈唐毛毛: 此心安处是吾乡
Repost
长沙chillin‘ 在开福寺前狗子哥饱暖思淫欲 鬼迷日眼 ​​​
我特别爱你 所以希望整个世界都爱你的具象化。安慰你的恋爱脑bestie be like： ​​​
11月初一个190帅哥凌晨借我的充电器后续：第二天我健完身 走到家楼下准备吃麦当劳 临时兴起给他发消息问他吃不吃 他说他要去健身 不吃。我很伤心comment on pic3: 破碎的家庭，but at the same time 顽强的urban strong independent woman&amp;永远的颜狗 哈哈哈哈哈 ​​​
Omg I can’t love this woman more ​​​
好开心哦 知道小夏生日送他什么了！自己逛街的时候发现common projects的sneakers好好看 一看上面的烫金数字正好对应他的生日 耶咦 ​​​
养了老鼠🤠 ​​​
上周在上海 ​​​
我特别爱你 我希望这个世界都爱你 ​​​
上海真的是个好漂亮的城市 如果没有那些告诉我们该做什么不该做什么的标语的话就更漂亮了 ​​​
Share with pics ​​​
恋爱脑是男人最好的医美。他：我真的觉得…（沉默半晌）…我最近上头有点太厉害了我（心里）：哈哈哈哈god i'm so powerful ​​​
「我好像从小就刚好有维护人际关系的能力 只要稍加用心投其所好就能和人们处成我想要的关系。对别人我是投其所好 但对你我是尽我所能」 昨天在酒吧 他和我告白的时候说 ​​​
最近的桃花很好 希望事业运也一样好 拜托了 掌管银行的神 ​​​
反省 为什么没炒币 ​​​
可爱澳大利亚人 怎么这么positive 我的面试官：you have a pleasant tempo in the interview/ I appreciate you for being transparent/ It’s brightening up to talk to you / you bring surprises beyond your cv. 老德面试基本没有behavioral questions 都是直接开始technical 一下换到这么和蔼 ​​​ ...展开
Share with pics ​​​
收到offer了！耶 ​​​
Burning out. 密集的面试压力让我驼背 i needa break😔 ​​​
小八的思考和表达能力太好了
和去年不一样 我现在最不需要的就是别人和我分享生活和给我提供情绪价值了 现在需要的是adrenaline 是说走就走的机票 是sexy brain and body ​​​
之前有个喜欢我的男生A 会从很远的城市来找我 我今年的照片基本上都是他拍的 他呢 嘴很笨 审美也不好 很幼稚 但是他因为我喜欢上了摄影 买了好多相机 用好多相机给我拍了照。后来我对他冷暴力里好长一段时间 后来有一天他说他受不了了 就走了。刚刚另一个喜欢我的男生B给我打电话 他夸我拍照好看 被 ​​​ ...展开
长大了我的小宝 ​​​
哈哈哈哈哈哈哈哈哈哈哈
好漂亮的五官
Kindness gets rewarded: 深更半夜有人在群里借充电器 我说我有多的可以借 他吗的一开门一个一米九长睫毛大帅哥站在我门口 ​​​
时隔多月 再见还是觉得好帅 ​​​
Germans being german. : How have you been lately?: 三分钟长的语音 ​​​
卡卡今天回国了。卡卡是我的好朋友 是我们乐队的吉他手 是我来德国认识得最早的人之一 是我的邻居。几周前我知道他要回国 问了他几百遍他订了什么时候的票 他都死赖不肯说今天我无意间从朋友那知道他回国 从知道的那一刻起 眼泪就没停过 直到现在编辑这条日记的时候 还是一直在啪嗒啪嗒掉眼泪 脑瓜子 ​​​ ...展开
这两年经历的离别之多让我感觉身边的人好像随时都可能会消失掉 没有什么是能抓住的 ​​​
前天去听了一场音乐会 冲着拉赫的帕格尼尼变奏曲去的 没注意钢琴演奏家是谁 到了现场才发现是Alexandre Kantorow 在巴黎奥运会开幕式 在雨里演奏的钢琴家 帕格尼尼变奏曲不出意料的好听 但惊喜的是- 这是一场Jugendkonzert（给年轻人的演奏会）所以不同于一般的音乐会 这一场有风趣幽默的host 很详细 ​​​ ...展开
快乐了 买了两张十二月慕尼黑听舒伯特/莫扎特/瓦格纳的票和明年五月柏林听【柴一】的票！！终于要现场听到了 ​​​
Share with pics ​​​
(*☻-☻*) ​​​
Resolution 2025//@不喝了_: 理所应当
今天的早饭佐洁癖摩根的报告 边读边笑 ​​​
今天去了耳鼻喉科做过敏原测试 被过敏折磨了好几个月…保险公司因为俺对螨虫过敏送了四件套。喜欢俺的新指甲！最近开始看甄嬛传了 好上头 ​​​
一些喜欢的画 存下来当以后的家装灵感#inspiration# ​​​
肥脸瓜弟in Amsterdam荷兰好漂亮。第一次去德国以北旅行 以前只听从英国法国来visit俺的朋友们夸德国干净安全 又听在德国其他城市居住的朋友们夸慕尼黑是德国最安静又昂贵的城市 以为慕尼黑已经很8错了 这几天在阿姆斯特丹才完全觉得天外有天阿姆斯特丹漂亮 整个城市都是花朵和河流；安静 少有汽车 ​​​ ...展开
小卷毛在阿根廷的生活也太美满了吧 天天冲浪沙滩排球 隔着屏幕都馋他的腹肌 ​​​
本瓜的green green green flags for friends：- “想打电话随时打给我”- 发一堆dumb reels给俺（前提是真的好笑！- spontaneous ​​​
焦虑都是因为没行动啊 ​​​
把相机里的照片导出来了。这几天在柏林拍的。最最喜欢第8张 非常美丽的偶然🥺 然后喜欢第7张 一个爷爷把他的小狗举起来看日落p10-11是自由大学的图书馆 漂漂亮亮 ​​​
闲来无事去搜比利时大哥的名字 看了一些他早年的采访 他24岁的时候长得还蛮青涩的哈哈哈哈哈哈。可能date艺术生的好处之一就是Google上关于他的信息还挺多的 背调起来比较方便哈哈哈哈哈嘎嘎嘎。大哥今天给我发消息说他回比利时后也是用电脑工作 早知道在柏林多呆几天 陪我在柏林自由大学的图书馆一起 ​​​ ...展开
He made a portrait of me 柏林奇遇记 ​​​
好久之前朋友给我发了篇文章 基本上就是讲stereotyping白女松弛没吃过苦的公主生活（stanely水杯 lululemon）vs韩女头发丝都精致卷生卷死（冰美式不睡觉 防晒气垫）的生活。问我哪种更能relate 我当时一时间茫然 然后忘了这件事。刚刚收到一个韩国美女姐姐的消息。Luna今年27岁 是我德语课认识的同学 ​​​ ...展开
//@王磬: wow…看完更感觉小郑不简单，不只是球技好。教练毁约离她而去，为对手服务，她坦言自己受伤，但也强调自己尊重教练的选择。我们真的需要更多像郑钦文这样的运动员。一个顶级的运动员不光是有世界级的球技，也有顶级的眼界、胸怀、跟世界沟通的能力。
阿呆在慕尼黑开演唱会tmd我在柏林 光看all i ask的视频我都要哭了 ​​​
damn🥹又为爱情流泪了
论文pre完啦！！也太顺利了吧啊哈哈哈哈哈 我的phd好好啊 ​​​
好激动啊 还有半个小时就到慕尼黑了 莫名熟悉的回家感 ​​​
//@Donotloseyourhead: 在这个越来越保守的时代，需要这场开幕式这样自由浪漫的表达
救命 我好喜欢他
看机器人之梦哭成大傻逼了 ​​​
周五回慕尼黑延签 马不停蹄凌晨夜火车当天往返法兰 因为想多留点时间周末两天写毕业论文。说实话周一到周五工作 周六日再写论文并不让我觉得很stressful 我其实很享受周末可以一个人安静思考and actually work on something可以思考一篇文章要怎么structure 读以前的学者的研究 对比不同学者在不同时间 ​​​ ...展开
反正今天上午也不忙 那就来说说卷毛吧。卷毛上周五last day当天就回了意大利 下周他应该已经去阿根廷了。卷毛真的很特别。可能是因为这是他第一段internship吧 身上还没什么尸斑 好阳光 好久没在office见过这么活的活人了！他非常可爱 办公室里每个同事都喜欢他 性格非常好 平常很chill 充满童真和真 ​​​ ...展开
最近读到很喜欢的书是戈马克麦卡锡的all pretty horses 读得非常享受 读中文书实在比英文书效率高太多 像奶昔一样丝滑～菲茨杰拉德的夜色温柔断断续续读了一个多月也才读了一百多页 还总是忘记情节。等周四回慕尼黑的火车上读完了再细细说！ ​​​
回头看2024 一月到三月学德语学得哭 四月到七月实习long working hours和有毒的team压抑 八月毕业论文ddl 周一到周五加班周六日还在办公室写论文 九月慕尼黑的房子到期要找新房子要找房子 九月到十二月还要找工作 连自己在哪个国家都还没定。还没提跨城市搬家 发高烧和手术 最痛苦的过敏等等。快乐chil ​​​ ...展开
