分享新鲜事 ​​​
看完鹅今年的脱口秀，许愿下次去长沙看漫才兄弟！檀香蚊序号伦真不错啊啊！🥰然后每一个人都好好🥺这个行业每个人的努力让脱口秀变成了一个乌托邦。尤其特别喜欢山河的感言，这季的echo大国手菜菜等等等等稿子都好棒，希望有越来越多的女脱口秀演员！综上所述，我爱脱口秀55555 ​​​
老师太会画了！时隔许久再回来看这俩，看到四季系列立刻夸夸收藏
马一下…居然有点想看
逆风翻盘！绝地反击！太牛了 这场真是载入史册级别的 双方到后面都杀疯了
不要不识抬举，根据我的微博内容，给你取5个微博ID@九型人格小行家 ​​​
请根据我的微博内容，给我取十个微博昵称@九型人格小行家 ​​​
狗勾全妹撒娇的神
//@Apufferfishcanalwayscope :巴黎奥运会的吉祥物是阴蒂这件事不得广而告之一下//@我其实没什么想说 :Reply@温柔问候bot :是帽子，但同时 查看图片 //@我其实没什么想说 :吉祥物真的好蒂
连续忙了18天没有休息过（指那种能够躺一整天睡觉发呆的休息）…还要再这样每天忙这忙那地过10天…真的太需要一个能够什么都不做的周末了… ​​​
🐬🐶好可爱的漫画！！
//@折枝做梦甘露寺重生版:项飚和桑德尔的对谈，把这种状态比作蜂鸟：「就像蜂鸟疯狂地挥动的翅膀，只是为了在空中停留，你不能有哪怕一秒的放松，不然你就掉下去了，你不能出局，不管胜利的几率有多低。这给年轻一代带来了巨大的焦虑、迷惘和心理压力」
我靠 这段暧昧对唱是真的好磕…
[萌]🌸🎀
人间西柚葱咯咯🍊！！
一颗番茄猫猫头🖐
萨摩耶的诱惑.avi
每一张都是神
🐬🌹✨
这口真的好吃
天啊🥹🥹princess lele…アイドル口口酱desu…
可爱小宝宝～（我一定会去看演唱会的！！
看这一段真的好像地租杂技团但真的很有趣！
和元气爱豆月月酱一起呼吸基北北桃的空气ing简简单单的幸福（虽然最后还是没去看！但！等我攒够钱！）
这个帽子太可爱了😭每次看签售图的我=感叹可爱+疯狂种草
我下次要买这个墨镜来拍
脑子里浮现了很多同人文饭饭好吃
不嬷这小东西还能嬷谁！小乐乐不是猫还有谁是！
夏日新鲜水果般的笑容
比起花，更像棉絮的感觉。他是个很自由的人，就像可以飞去任何地方的蒲公英一般。
猪老师还是做女人最美
有一种强烈的想把这三篇论文写好的心情（虽然确实很极限…！）还有根本定不下来的硕论啊啊啊鸡瑟斯——当然好好睡觉多喝水好好玩每日追星是放在更优先级的事情认识的新朋友也好好等之后离开这里了希望也能保持联系 ​​​
@MBTI小行家  根据我的微博判断我是一个什么mbti的马喽 ​​​
春天就是要吃草莓捏～🍓
第一，不要让自己生病。无节制的生活，有时会觉得浪漫，有诗意，可爱，然而对今天环境不适宜。没有一个人能比你自己还会爱你的生命些。没有什么东西比今天失去健康更不幸些。只有它同你最亲近，好好注意它，爱护它。第二，使自己愉快。只有愉快里面才有青春，才有活力，才觉得生命饱满，才觉得能担受 ​​​ ...展开
艰难的几天开局之后吸食点新鲜猪老师 不得不说这个视频有种反复播放的好笑魔力
这不就是葱咯…
每次很累/很焦虑的时候听青峰的现场，都有这种感觉：如果我的灵魂有实体，那么他的歌声在给我做无敌解压放松平静的头皮按摩（…）常听这个50min合集 虽说是催泪现场但其实里面什么类型都有！每首都很喜欢，现场和cd水平一样好。【【苏打绿|吴青峰】十大催泪现场-哔哩哔哩】 网页链接 ​​​
结婚吧/marry me/I love u三连之后又开始专门回答这样的问题 如果是以前我可能只是觉得好甜 但现在换了一种磕法和心情 到底是有意还是无意 谁是问心有愧的人 真真假假扑朔迷离 可能暧昧就是雾里看花水中望月
超级可爱的两个宝宝！
说日语的口口酱大好き😘😚～～（新专辑造型感觉都不错希望不要让俺失望！
仓鼠小朴生日快乐🍰耶
支持陈粒暴揍吴青峰（（你们仨把日子过好比什么都重要！！//@吳青峰 :我不懂你們說啥，總之你們的評論是暴露了你們對黑的偏見，我是很喜歡的，多自然啊！但就配合你們修了一下吧 查看图片
锣鼓喧天 鞭炮齐鸣 红旗招展 人山人海
锟葛格真的很好
剪短了比长发好看 总感觉像一个我见过的人但说不上来是谁（现实生活中也没见过帅气的男性但有一种莫名的熟悉…）
我又快崩溃了 这可能是水逆 但真的有一种生活里点点滴滴累积起来把我逼上绝路的感觉 世界毁灭吧。 ​​​
喜庆的南方小福猪新年牵过来炖汤喝😈
每次只想看同人文不想写作业的我：搜索《真相是假》怒听三遍然后迅速冷静。。。 ​​​
//@微路 :老话说一年卖出300个假、三年买不到1个真。剧版之假无法用审核完全为其开脱。《狂飙》《漫长季节》审核同样严苛，虽必须妥协，仍尝试一些方法把一些真送达观众；该剧则完全放弃尝试。把该剧放在包装成时代剧的偶像剧评价坐标内，优点有二，1性别意识有进步，2都市言情段落技术细腻
真夫妻拍结婚十年写真也不过如此 这个花絮真的毫克
让我亲眼看看橙咯🍊🐱！小橘猫女鹅快来！！
老师好我是子涵这就是我妈咪
我2024年的生活动力be like:
猪老师の哲学：“为什么要禁止emo？一个人不可能任何时候都开心幸福，有不开心有不愉快，才能知道幸福的珍贵。而且我喜欢感受自己处在任何情绪的时候的状态。接受任何时刻的自己，充分了解自己。”内耗人真的好喜欢俺们小猪猪这段话 ​​​
respect每个舌侧牙套的人小伙意志力非同一般
how pay!!!
对不起。我不纠结了。我要好好学习…一月份学习才是永恒的主题…写完这些七七八八一月份也就到尾声了… ​​​
新的一年请再接再厉豹豹猫猫
刚跨完年半夜睡不着 总感觉俺们小咯咯要发微博～果然～～小猪猪和大头宝宝新年快乐嘎嘎嘎 请大家都幸福地度过每一天吧
