女性就是太爱反思自己了 其实不用那么事无巨细完美
他们在一起霸凌这些女生。而他们一起大笑的那一刻，通过霸凌那个女生，相互确认肯定了彼此“你也是个男人”，从而缔结了男性同盟。  他们一起霸凌女性，不将女人视作与自己同等的主体，而是将女性客体化、他者化，这样才能在班级或是办公室这个小小的社会里，也分出阶级，通过“霸凌者”和“被霸凌者” ...展开
上野千鹤子在《厌女》里面还提到了一个男人对女人特别的需求，就是靠征服支配女人来让自己成“男人”。  这是有别于“满足性欲”、“被照顾”、“被服务”这些需求之外，真正的精神上的，文化上的需求，是父权制浸染下衍生出来的形而上的需求。  男性要成为第一性，要成为支配女性的支配者，就要把女性 ...展开
女人被男人分为“结婚”的女人和“玩弄”的女人，女人的“性”被男人分为“生殖”这个目的和”快乐”这个目的之后，只要身为女人，无论你在男人眼中被分为哪一类，其实都是一半的女人，都被异化了，成为家里为男人提供价值的“生殖工具”，或者在外面给男人提供快乐的“性工具”，并且相互对立。  剥夺 ...展开
大部分单身的男人渴望的有女朋友的普普通通的生活是什么样的呢？  是有女孩在他面前示弱装傻撒娇卖萌给他面子，是回家有整洁的屋子干净的衣服和热的饭菜，是不计较他上不上进穷不穷愿意陪着他伺候他，是“懂事”、“乖巧”会服软甘愿做关系里的下位者，是和他们定期发生关系…总而言之，就是能是满足他 ...展开
//@墅姐聊跨境:一般生活过得好的人，戾气不会重，他们倾向与人为善。而攻击性强的，往往是因为匮乏，物质上，或精神上的匮乏。
//@字幕少女:女导演女编剧//@开水族馆的生物男:比电影立意高非常多啊//@_Reno_挚爱FF:终于能在电视上看到这些话了//@莉莉安说道:真的，一句话把他们装糊涂的伪装都挑明了。语言有力量啊！//@暮夜长歌1:那句你们未必不清楚，说得好啊。
不要想着改变别人的因果关系，别人的因果关系是改变不了的，因为我们知道天雨虽大，不润无根之草，道法虽广，难渡无缘之人，哪怕是咸鱼翻身，它还是咸鱼，哪怕是朽木雕像，它还是朽木，能够改变一个人的不是你讲的道理，而是南墙，能够说服一个人的，也不是我们的说教，而是他自己亲身的经历，所以我们 ​​​ ...展开
想抓住好运，就一定要远离克你的人背地里克你的人，你不花点心思，用点手段很难察觉出来。怎么样算克你的人？限制你的人就是克你的，你的行为甚至会激起对方内心的恶、嫉妒、抓狂、身心俱疲。旺你的人会引导你向上，引导你积累福报和福德。关键时刻提醒你别犯错，他会让你觉得身边的事挺好，身边 ​​​ ...展开
当你刚跟一个人接触的时候，你发现你快速的喜欢上了他，对他无比的上头，然后你的情绪总是被反复的各种拉扯。这不是个好事，他很有可能是你的孽缘，而且甚实是个隐患，因为这就不是一个正常的感情应该有的状态。那正常的感情是什么样的呢？你会有一种很自然的感觉，水到渠成，很通畅的感觉，而且都 ​​​ ...展开
关于福报，想要找一个好的，首先就要洁身自好，宁缺毋滥。如果是东找一个，西找一个，随意玩弄感情的。在感情上的亏欠就是消耗你的福报，哪方面缺德就在哪方面遭受报应，因为能量是守恒的。磁场不好的人吸引不到美好的人事物，更不会找到好伴侣。 ​ ​​​
欠谁的债最终都要偿还，人生有轮回转世，不是不报、时候未到啊。“万般带不去，唯有业随身”，随缘消旧业、莫再造新殃。生“邪淫”“邪淫”并非指正常夫妻关系，而是超越这种关系。邪淫果报最为严重，“万恶淫为首”，邪淫太重，是出不了轮回的，是不能了脱生死的，会再受娑婆无常诸苦，若戒不了邪 ​​​ ...展开
起心动念皆是因，当下所受便是果！弘一法师说：“如果你心眼好，又有德行，那你一定有福报；如果有福报，却发不了财，请不要疑惑。是你的福报转化成了健康的身体、平安的日子、温暖的家庭，和有良德的子孙。①福报是修来的！福报与运气都是在行善中一点点积累而得来，这世上，没有无缘无故的吉凶祸 ​​​ ...展开
阿妈很精进，每天天不亮就起床做功课，经行，礼拜，持咒，直到深夜。也不放过任何一个行善助人，积累福报的机会。虔诚的信仰和持续一生的修行，使人在老年依然内心充实、 ​​​积极、坦然。——希阿荣博堪布 ​​​
无论男女，要在不影响自己生活和情绪的前提下对别人进行帮助，无论是从人际还是从玄学角度都是这个道理。出发点是要为己，其次才是布施。总帮助别人是不是就算布施，当然算的…从任何层面上的帮助都算布施。财富，知识，智慧，勇气…只要真正的给对方提供帮助就算布施。而很多布施心态不对，所以可能 ​​​ ...展开
提到行善、做善事，很多人第一反应就是：行善做好事，那要捐多少钱、给多少东西呢?有人甚至会说这是有钱人做的事情，我收入不高，没有能力做善事。这些反应都是对行善做好事的曲解。其实很多时候，行善跟出身、地位、名气以及财富并没有必然关系。读诵《文昌帝君阴骘文 》时会发现，经典中列举的种种善 ​​​ ...展开
手冢治虫 ，鸟山鸣 ，北条司 ，高桥阳一 ，大岛由加利 ，齐藤千惠 ，​车田正美舅爷、井上雄彦老人家的世界里。 ​颜开，美树本晴彦，斋疼，…… ​菊池俊辅的各种OST听到烂熟了，喜欢龙珠的人都来听dokkan的ost，这坨2d衍生作品拯救了我对东映和鸟山的大半热情。#龙珠版权方东映动画发博悼念鸟山明# ​​​
日本迄今为止销量最高的漫画排行榜Top20，哪部是你的最爱？ 查看更多 ​​​
//@朕的江山打下了吗:龙珠、数码宝贝、守护甜心... 的动漫OST原唱，还有超多ACG乐队歌手！💥 
//@我是香港警嫂://@看爪:码
