#生活手记# ​​​
找到正确的方法，然后坚持去做！ ​​​
我妈前两天突然开始执着腌酸菜，我知道，是因为我姥爷种的白菜太多，给她也吃腻了。我知道但是我不要说出来，然后！！！我妈特别认真的给白菜切丝，撒盐，看起来特别认真，然后就这么放在水池旁边了。就在我前两天突然心血来潮炒番茄鸡蛋的时候，我突然发现那个瓶子的菌群开始躁动…我 ​​​ ...展开
天天开心好吗？！好的！！！ ​​​
害怕沟通，逃避沟通，厌恶沟通，理解万岁 ​​​
拥抱的温度，只有你清楚… ​​​
“比起掌心的纹路，要更相信握紧双拳的力量！” ​​​
你怎么看别人，别人就会怎么看你 ​​​
可是情绪阴晴不定，我也不能一直开心 ​​​
你要静候 再静候就算失收 始终要守日后 尽量别叫今天的泪白流… ​​​
一定！
希望自己无论如何，别忘记风来时的方向 ​​​
一定
路漫漫其修远兮  吾将上下而求索 ！ ​​​
感觉每天早上醒来都是一个全新的我！一个新新的自己，也是一个新新的开始每天都一样，每天也不一样 ​​​
#生活手记# ​​​
不是变成无聊的大人了，是更愿意把时间留给自己了，更会照顾自己了 ​​​
#生活手记# ​​​
#生活手记# ​​​
中心定，则外物清！ ​​​
#生活手记# ​​​
#生活手记# ​​​
打扫卧室和洗洗衣服就是最简单的舒缓心灵的方式！ ​​​
#生活手记# ​​​
#生活手记# ​​​
有时候克服“重力”，可能才是“跃龙门”的关键吧！需要无数次的坚定的意志！ ​​​
#生活手记# ​​​
让人迷迷糊糊的世界 ​​​
#生活手记# ​​​
#生活手记# ​​​
到底为什么内心会有这么多活动…我晕… ​​​
好心态赢一切！！ ​​​
#生活手记# ​​​
#生活手记# ​​​
#生活手记# ​​​
因为活着，所以痛苦；又因为痛苦，所以感受到自己活着 ​​​
#生活手记# ​​​
机会来之不易，来得早不如来得巧，应该懂得珍惜 ​​​
#生活手记# ​​​
#生活手记# ​​​
最近真的有在认真建设自我 ​​​
是利还是弊，分不清，看不着//@蕴殊:“掌握了边界感了！熟练运用课题分离了！可以温柔而坚定地沟通了！”
＇慢慢好像领悟到了生活的麻木感，和为什么好多人会迷失在这种麻木，不愿意改变和觉得自己拧巴，很难改变！宁可痛苦，也不要麻木！ ​​​
#生活手记# ​​​
#生活手记# ​​​
那天的键盘声太吵了，又或许我的声音太小了，以至于你没有听见那三个字…………… ​​​
#生活手记# ​​​
浓墨重彩的做吧，愿新年，胜旧年！！！ ​​​
#蛇年第一条微博#新年快乐！ ​​​
#生活手记# ​​​
#金蛇添福迎新年# 福运至！我收到了@微博开新年 送我的#添开心#卡集齐6种添福卡，除夕夜20:25准点开红包，最高2025元！速戳&gt;&gt;金蛇添福迎新年 加入集卡，喜迎蛇年开门红！ ​​​
“好的东西是生长出来的而不是计划出来的” ​​​
谢谢自己今天没有当逃兵，坚持到现在，谢谢自己 ​​​
“为了更上一层楼熬过了一段宝贵的修炼” ​​​
