又开始自己做一些老派的事 ​​​
叶真中显女士你是我的神怎么会有这么有攻击性的比喻啊（人类=女人；狗=男人）就像一个弹着三弦的漂亮艺妓轻描淡写的用斜下眼看着跪在地上的狗轻飘飘的把他关在门外在书中三大罪行是：战争、歧视、垄断财富，都父权社会上位者为了聚集权力、资源和财富的手段，克服有性生殖这个第四罪行之后世界就清 ​​​ ...展开
ber 律所周边17.5的盒饭莫名好吃啊看来得多多探索 ​​​
其实，我拥有的东西可真不少。今年闰六月，我能有三个生日，这是第一个。结绳记事，今年我能打三个结。我农历生日六月初六，多好的日子，有姐妹陪我玩儿了两天，有父母驱车100多公里陪我吃一顿饭，有舒服的房子住，有自由的工作，偶尔喝点小酒，一直有自己陪伴自己。其实我什么都有了，祝自己生 ​​​ ...展开
开始读《恶女的告白》，听说笔触犀利，作者是男人，但描述起女性处境入木三分，被强烈推架。头篇就在描述狗，句句不提人，句句都在说人。对于弱者而言，没有和平时代可言，每天都是战斗。 ​​​
天气很好！复活吧，我的爱人！！！！灵笼超话 ​​​
shenzhen vibe牛逼  ​​​
灵笼的编剧你还醒着么？？麦朵死了，我睡不着了你是非要把人抬到最高处然后狠狠摔下么#灵笼# ​​​
跟姐妹聊完男人be like#日常分享##日常碎碎念# ​​​
欢迎来听～我正在听GT三次方的《EP 07 | 2024谢幕：生活“大爆炸”后的成长、挣扎及重塑自我》，分享给你听听～网页链接（via @小宇宙播客App） ​​​
要考虑父亲的工作舆论压力，要考虑母亲的情绪状态稳定，还想奢侈地考虑一下个人幸福，很难的吧 ​​​
关于听草东勾出我的生长痛这件事情。首次看草东现场是17年1月，那时凡凡还在，世暄还在弹贝斯，世界没有疫情，我还在大学过着人生最快乐的时光。他们的歌不多，每一首都快听得会背了。当时也不是很理解歌词，只觉得虽然用语很日常但写得很深刻，旋律是一顶一的好听，听了7年至今没有厌倦。现在7年 ​​​ ...展开
来大姨妈的时候要早点睡觉，不然深夜很容易情绪崩溃 ​​​
迎财神！接财运！
#龙年第一条微博#可爱鼠了，cherry小猫！ ​​​
在我快炒完《机智的医生生活》冷饭之后以为要剧了，b站及时送来了better call saul！！感恩世界❤️感恩所有❤️ ​​​
今天出门去见了联系好的合伙人律师，请了所里的朋友喝下午茶，聊完了之后回家。后来又有一个合伙人律师想找我面谈，但是还没确定去不去，我心想，成本不就8块钱地铁费嘛，有啥给不起的，待在家里也是待，万一人家真的有空面聊，去不了也蛮亏的，就又出门了。果然律师太忙了没法见面，心想来都来了， ​​​ ...展开
最近，鸡飞狗跳的生活又恢复了平静。没有班上之后，我感觉到了自由，虽然仍然很穷。生活起码有了一点起色，起床之后开始会把床铺好，地上脏了之后会想要打扫，做饭的时候会顺手收拾厨房，垃圾满了会及时清理并套上新的垃圾袋，会关注生活用品是否用完了并及时做好补给，对家里的小动物和人都有了更高的 ​​​ ...展开
希望以后用ck one的朋友们离我远点，我怕yue你们身上。 ​​​
"#2024# 昨晚躺在床上想到的体验派人生quote：Don’t get pregnent, don’t get killed, don’t get broke. Other than these, experience everything. 多待在没有天花板的地方，多收集橘色落日、绿色草原、白色积雪、蓝色大海，养护自己的眼睛；多建立舒适的亲密关系，养护自己的心境；多分泌催产素 ​​​ ...展开"
