越扒越干净本身就是一个很好的人这条下鱼在乎 那条小鱼也在乎 ​​​
但有时候融不进去也别强求了//@向晴Apricity:哇哇太棒啦！是的 有的时候不知道哪一个认识的人可能就会为自己传递一份小小的种子 然后这枚种子就开始悄悄生长 逐渐长大
纪录片
//@金悦金:学历贬值太厉害了
//@虤小喵:高数真的可以判断一个人的智商。//@姜雨英-北京:你们大概没听说过面试被问高考数学分数的吧
//@奶盒里的糖果heihei:没事，只要自己不觉得不能说的事情，说了分享了又如何，日后又不会暴雷，说出来的事都不是事，又伤害不到自己，不说的事是不会说的
//@呱呱10110:真的是这样，别人都说我性格好只有我清楚其实我只是性子软，但这样长久下去肯定会把关系和自己都搞得不健康，适中真的真的很难得甚至感觉几乎没怎么见过//@就讓貓咪卡在臭豆腐裡:是的而且性格好≠性格软，要做到适中那样的真是挺稀缺（我反省…
哇，要变富有了呢
不破不立咯
有过就够了 为啥还非得强求一直留着
会员浪费也是浪费，直接电视投屏了 ​​​
虽然是中元节但想想今年刚举办阅兵还是抗战纪念日就没啥好怕的了 ​​​
我靠，我套餐的芒果vip每个月都有之前客服提过我当时又忘了一登录芒果一看 ​​​
蛋白粉和维生素
康复新液
试试吧之后
无语 ​​​
物理空间，现在不想动
//@自由自在的米亚:外在动力崩到一定程度会崩塌的
//@2025默默脱胎换骨:处境再艰难，只要手不停地做有正反馈的事，就会做出结果，就能把漆黑的路走穿。
生存技能
人性，呵呵 ​​​
//@shsbdhhddjnsn:也是素质的体现，有素质的人，你再怎么差，他也不会不尊重人//@shsbdhhddjnsn:不尊重你的人，觉得你以后都没前途
忘记下午不能喝茶底奶茶了 这下失眠了 外面狗一直叫 我也睡得不是很沉 还被我妈吓了一跳
确实 还有很长很深的路要走
系统记录
深度
确实也有这种哈 接受多面
我以后想这样
求职
真好//@那年那月-kamira:“不是靠规划，也不是靠运气。甚至也不太像是他“追求”来的。反倒更像是：他先拒绝了某种污浊的东西，然后，世界开始给他打开另一条路。”👍👍
//@财蹄花姐:对的，露穷其实危害自己感受不到的，非得经历过了才能知道。//@理理羊糕:真的不能露穷
//@在潘家园大笑的鸡蛋饼:这让我想起明朝那些事儿里有一句话：逃跑和撤离是有区别的。逃跑重点在于逃走，而撤离重点在于有组织有秩序的撤退。
生产型见世面
那必须
发现我跟我朋友或者说刚认识的朋友关系都是一开始的热情到祛魅再到平淡几乎都是这个路径发展关系的本质和人性就是这样老夫老妻老朋友的配置熟悉大多会滋生轻视 ​​​
卖不出去了
//@奶盒里的糖果heihei:挺好的，起码有了大学四年打开眼界的生活
学习
//@奶盒里的糖果heihei:自己做出自己觉得好的选择就好，不要插足别人了，接受别人跟你选择的道路和想法不一样//@奶盒里的糖果heihei:感觉不能结婚的女性，是指的经济和精神不独立的那边的，跟霉霉不能比吧，普通女性要是经济独立精神独立，遇到优质的人当然可以选择结婚了，每个人有每个人选择的自由和 ...展开
//@手卷抛书:有望做到第3点，但事实上第1点都做不到
是这样的
//@波波奶茶七分甜喔:君子之交淡如水，人和人不能走得太近，至少成年后是这样
//@一罐过期黄桃:可以有足够肤浅的一面，但必须有与之对应的深刻一面。
要有系统 ​​​
学会识人也是一堂课//@用户7822211694:在这里劝告大家，不要对校园爱情有滤镜。我同学给她朋友介绍了孙吧男同学。。。没有看过恋爱关系外的另一面，男人都会装，不会把自己关注评论不洗内裤之怒的言论给女孩看的，她啥也不懂的。他们也是校园恋爱吧，很纯真吗？别觉得是校园恋爱就知根知底了。
//@nonono_oht:说的真好，琢磨那些向内求的并不能改变现状，还是要有解决问题的能力
友情哈
Repost
人不为己，天诛地灭 ​​​
半人半鬼，离近了看都不客观 ​​​
果然道德感强的人赚不到钱呢 ​​​
Repost
感觉到恶意的时候就应该反击 ​​​
//@别样芳华之快乐无边:严重的识人不清，先不说善良不，软弱是肯定的，讨好是肯定的，自证是一定的，bug很多//@别样芳华之快乐无边:好好好
还真有纯恶意的人 算是见识人性了 ​​​
我现在就在，感觉人快死了 但坚持下去
Repost
Repost
Repost
看小红书利剑玫瑰彩票新闻有老多人在下面评论说我的三十万就这么没了感觉很好笑中奖的是一个老彩民肯定是经常买如果不买的普通人根本不会想好吧也就是有人中了自己觉得亏了实际上没有这个事情也不会有人提及人是赚不到认知之外的钱的 ​​​
分享图片 ​​​
以年为单位其他时间专注自己 ​​​
//@你能够照顾好自己:真正能让你跳出这个重复性悲剧的关键在于，你要意识到，真正的爱，来自于懂爱的人，你不能再期待一个内在没有爱的人给出爱，你必须转换方向和目标，才能改写你的人生。  一方面，你要学会自己给自己爱，给自己安抚，回应，认可，慈悲，你要学着照顾好自己的身心，填补自己的缺失， ...展开
我也可以！！！//@Nnoir29:我也是，我身边很多白富美朋友我们都愉快玩耍，自己坦荡荡，别人也不会再说什么
我也想这样//@婧慈2161:我非常勤快，一点也不娇气，只要学不会的东西我会逼着自己当天必须学会，而不是跟别人说自己笨笨就是学不明白。
学习
Repost
人是环境的产物，性格是行为的叠加 ​​​
我也是
累在这了呦
修行，长期主义 我想赢而不是我怕输
Repost
Repost
人真的需要有独立思考的能力和核心竞争力 ​​​
Repost
学会用别人的恶意来滋养自己 ​​​
现在会觉得过度的自责或者诉说是在逃避自己将要面对的课题要么就干要么就收说一堆没用的其实本质还是在逃避未知不想承担或者让别人替自己承担后果有句话说的是是骡子是马都要骑出来溜溜是这个理 ​​​
#摘抄非原创我又问，什么时候需要关心对方动机，三种情况： 1）对方行为融及核心利益时，需要分析动机来看清对 方是否会悔改及自乙采取什么对策。 2）要做出重大不可逆行为时。如分手。 3）对方是需要长期相处的重要他人时，分析其动机可以小成本看清一个人 关心“是什么”和我“怎么做”，而不是 ​​​ ...展开
//@近距离政治家:回老家几天受不了又跑回大城市了
