已经看了五遍技能五子棋了笑得脸都酸了谁懂 ​​​
下意识觉得低素质爱神特别好看，一种清风明月挠我心的甜腻和苦涩。同时也让自己陷入痛苦，因为知道自己写不出来这么能安心地体会爱与被爱的女主角。上网一看发现大家都在夸，那我就放心了，因为不是随便一个作者都能写这么好，是只有王星星特别天才，和陈娇娇一样难得🥺。获得了做题家对完答案的安心 ​​​ ...展开
我说脱口秀也来不及了，小奇已经开拓出一条新赛道了，高学历内耗大城市打工的叙事已经被他解构了。疯疯的，很想哭。 ​​​
当了检察官的李梦龙。。。李秀妍编剧是不是也喜欢看豪杰春香🥺 ​​​
难怪我妈说荔枝像坏红薯。。。我也才知道要吃晶莹剔透的，我之前还以为透明的是没长好的，只吃白色的，还嫌透明的没有果肉口感。。。好恨，我必须到广东现场吃荔枝
不敢想象小时候如果看的是完整版百变小樱魔术卡，我的童年会多多少CP可以嗑，爱的启蒙也会早好多年。 ​​​
虽然女王 但仍公主
也许你黄就是nice and boring的不在乎谁与谁之间有何种争端的人，愿意和所有人保持友好。但他自除号之后的音乐品味都太糟糕了。这是我听过最难听的the a  team 现场，他怎么能接受自己的成名曲被对方唱成这样？
好神，我现在就打开书开始阅读//@再向人间陌路逢:特别对，我称之为方法派阅读，比体验派和表现派都容易实现......
//@康堤will:我更好奇的是通过言情小说来看女性欲望的变化。我最大的感受是女性作为失权者的迂回，需要以男性作为“中间物”进入历史，通过获得上位者的爱，从而代偿权力体验。在书里顺着薛老师的分析反复体会这一情感结构时，我常常在家里大喊“太螺旋太缠绕太迂回了！”，但这就是我们的一步一步。希
小二黑是上层青天大老爷介入，解决了平民的问题。从这个角度，至少酱园弄把体制一方当成了反派//@秋白鲜红死:赵树理去世于1970年。“赵伯伯那会儿因肋骨被打断，正犯胸膜炎，哮喘病，一夜一夜不能躺着睡，只能坐在火炉边。”//@瓜田李下柳下惠:事实上，小二黑结婚也不过是典型口号式作品，而且原型根本
难怪看不到批评的书，原来全都是禁书//@ieaber:啊，传统文化不要硬蹭科学了吧，科学有标准的，不是写意画//@李清晨:搞得好像科学与否是个程度问题似的。
这太丰富了//@Haruki的核桃:如何呢 查看图片
爆红的被征用者都会慢慢丧失那种精气神，可是这么几年了，他还是有那种吸引人的强大的生命力//@同位素氢:而且他被黑了这么久结果黑来黑去就是一个抽烟……//@每天都要小鱼干儿://@推拿熊:他人很有同理心。因为去参加了内地的节目后觉得还得读书，表妹本来家里不让念了他付学费支持表妹上学//@24年不易
喝到了很甜的焦糖拿铁。但我想起来一位说他爱喝苦咖啡的朋友。 ​​​
还有弟弟的妻子，妻子想要回自己家过年，但还是被胁迫着回丈夫家观看母慈子孝//@透明人間的蒸气:里面完全无辜，完全阳光的，是那个作为家庭内性别歧视的受益者的弟弟。他一片孝心一腔热血地要促成和解，更是叫人齿冷。那是你的好妈妈，那是你的伟大母亲。不要把被家庭伤害的女儿融进你们母慈子孝的伦理
醒了就看这部
往好的地方想，成为滞销书作家不成问题
非我之罪，是大学教育体制不行//@汪有:这句特别好：“能把几千字高密度文字很轻松的阅读，靠的不可能是阅读能力，而是这里面绝大部分知识都已经构建好了相关知识树，只需要从这些文字中补上缺失的部分！”
我发现这是我的情感模式。我从小就喜欢有女朋友的男生，这样对方不喜欢我的理由就不是我不行🥺而是他已有爱人。我就这样自虐。 ​​​
天呐，我再不能喜欢有女朋友的男的了。人无法两次踏入同一条河流，但是可以在同一个人身上体验三次失恋。 ​​​
确实很好笑
换乘恋爱
夏天到了，怀念寸头时光。 ​​​
他怎么也开始long hair slicked back了，就这样靠近霉霉姐的审美...
我补一个丁玲与王剑虹。还有池莉的一些小说，虽然写直男直女婚姻生活居多，但偶尔里面有女性情谊的部分，特别亮眼。
其实我的脑子比玛丽管家要清扫的房子还乱 ​​​
很恶心，关于檀香刑的分析在期刊上大把大把，各种角度，那为什么另外一些书写就是违法的？//@TwentiethCenturyBot :别的就不说了，一个人但凡看过檀香刑而不对这种程度的血腥感到困惑还能说出什么拉名著下水的屁话，只能说感知力很局限。都不是19禁21禁的问题，很多商业限制级的程度连它的边儿都摸不着
我竟然全在说居然
可爱合集
看社会新闻觉得好恨。看看现实里自己的生活，更恨了。我就是这样的纯恨人。 ​​​
人没了，版权费还在，也要应收尽收//@空山daily :陈忠实去世了，但高建群和贾平凹还活着，建议应抓尽抓。文坛扫黄刻不容缓，不能缓扫，要急扫，不能小扫，要大扫，不能只扫网络文学，不扫出版文学，要从作协名单开始扫，敲山震虎，扫它个一从大地起风雷，扫它个玉宇澄清万里埃。女写手恐慌删文，男作家
一直不喜欢看熊孩子这个节目，觉得老太太们judge味太重了，也不喜欢申东烨。但是！尹施允这期，太神了，算是我第一次看完。之前看过很多我独，觉得明星爱打扫、收纳、坚持运动、极简饮食、学外语，都也算常见，虽然并不常集中在一个人身上。提前一个月做好服装搭配，毕竟是明星嘛，也可以理解。尹施允 ​​​ ...展开
"i miss you, i miss sparkling~"
什么叫能力与个性的适配？没有能力的人就不配拥有个性了吗？有能力的人就可以恃才傲物了吗？我不懂这些人的逻辑。 ​​​
这地方太平庸才显出我的张扬。不正常的是这个地方，不是我。我不懂得他们为何能沉默着忍受愚蠢。 ​​​
其实甄嬛传抄红楼梦最烂的桥段之一是痴丫头误拾绣春囊，剧给改成了敬妃这种聪明人无意看到，又为了争夺胧月抚养权如何如何。最坏的事情是从最不起眼的人、最不起眼的事情那里发端的。斐雯因为挨耳光而背叛甄嬛倒是有点这个意思的。 ​​​
每次在度过开心的时间之后都会有生活的琐碎攻击在想自己是否不配拥有幸福 ​​​
恭喜这个美丽宝宝🥺🥺🥺
好吗好的
这个社会就是稍稍取得一些成就的人，就可以不讲礼貌了，越看见那些自以为是的傲慢的人，越觉得善良的可贵。 ​​​
看了十页托尔斯泰，睡了两小时。老托，就是这样有魅力的作家。 ​​​
在教室里活了十六年的卫生委员思维//@oioiooooooooi :街上全是烟味//@海胆露出一言难尽的微笑 :关键是国内就很干净吗我请问了
犯罪者并不如影视中展现的那么戏剧化，就是普通人在作恶，杀人回忆里说的，长着一张普通人的脸
天呐！恭喜我勋，在《鬣狗》那一年就该有的，终于等到了！掌声请给《照明商店》，给《王国》，给勤劳的朱勋！
恨到整夜不能睡纯恨杀手 ​​​
恨！//@松谷之梦 :新时代的“心若在梦就在只不过是从头再来”。
今天读书了但还是恨全世界读的还是80年代小说更恨了 ​​​
二十年过去，此栏闪耀的还是我们小曹（已成老曹。
把我的十九岁还给我，那最初是我的。 ​​​
我的韩语水平正好能支撑我念出这个ID，学有所用为了这一刻
每日自我鼓励：那我也不差呀！
所以韩影没落是应该的，之前遗憾我喜欢的演员都没能继续拍电影，现在看来不是坏事。 ​​​
韩影如此令人失望。。。
为什么。。。。。。//@畑鹿驚0912 :回复@yunibing- :网页链接@畑鹿驚0912 :我今天才知道，揭发郑俊英聊天室的那个女记者，也是收钱替金秀贤办事的其中之一
招猫逗狗大失败！在路边商店买完水看到可爱小狗，想伸手和它玩，被主人制止了：不是自己养的不要招它。我内心：看来小狗被主人养得不够好呢！ ​​​
怎么还有李易峰粉丝跑来骂我？但是只骂了两条，是不是说明我其他微博还挺有意思的嘿嘿。 ​​​
说喜欢机医的，也是40代教授医生追求20岁出头实习医生的故事，而且给张冬天安排了九个疼爱她的男性上级，编导自己拍的时候没觉得恐怖吗
突然想明白了金秀贤演戏总有的痴傻感是为什么了。因为他本人是一个性犯罪者，根本无法理解纯情是一种什么状态，只能尬演。和他一样的还有李易峰，《隐秘而伟大》里一个正直、不懂人情世故但底色善良的小警察被他当成傻子在演。这个剧名就是抄的韩影名字《隐秘而伟大》，也是金秀贤演的。两位隐秘的性 ​​​ ...展开
到处都是国王的巨幅挂像，往机场的路上，寺庙里，居民区的墙壁，我看着都感到厌烦和愤怒。然而接触到的普通服务人员又是那样的温和，和在国内感受到的大不一样。怎么会是这样？
拉肚子时我在想的事：好好生活，不要做伤害自己的事情。 ​​​
