“人生优势，身心健康，充足睡眠 ，保持学习 ” ​​​
为自己感到骄傲。到目前为止我人生的唯一课题就是我要怎么跟自己玩，看起来很容易是不是，但这其中包括了我要怎么处理自己的心情，安置自己的疲倦，恢复自己的神智，奖赏自己的成绩，守护自己的乐趣，同时给予自己时而熄灭但不会永久枯竭的动力。 “我的感觉很重要”永远刻在我们主体意识性很强的 ​​​ ...展开
东亚女性导演拍的婚恋市场现实男男女女的选择 都有各自的理由 ​​​
🔮 ​​​
还好这破烂世俗规训 逐渐松动了 ​​​
脱离现代便利 徒手孤岛农耕自足生活 是我的勇气list可当真看到这样的生活 有女性已经去体验了抛开缘由 这位在我心目中已是女战士的存在孤岛的麻烦 似乎难以用城市的经验去应对心态挑战会拉爆底线接受自己软弱 留给自己时间 人总能一遍遍倒下又站起不过孤岛上的男性恶臭态度 我也是嗤之以鼻 ​​​ ...展开
“有时候真的不是你做出成绩了才能实现什么，而是你做好准备了，那个身份上，投入上，注意力上的变化，会很打动人 ”那个投入的自己，可太迷人了 ​​​
理想周日的routine也是让我随波逐流上了睡到自然醒的早晨 外面呼啦呼啦的吹着风迷糊的挨个开窗透气喝着保温杯里前一晚烧好的热水在瑜伽垫上坐下点开iPad上早就加入follow的Youtube 瑜伽博主15mins的缓慢经络瑜伽在跟练差点睡着前  刚好结束起身扒拉一根香蕉“叮”快递显示到达二话不说 下楼 ​​​ ...展开
保持小孩的好奇心 这个世界就是很有趣还剩12个菜市场等着我去呢《24个菜市场的环球之旅》 ​​​
希望周末可以下暴雨 这样就可以懒散听着雨声 喝着热饮 捧着书 人生最喜欢的TOP时刻之一 ​​​
“不会多，也不会少” ​​​
给时间时间⌛️ ​​​
“好”在于人不同阶段的判断 但学会笑着拥有和挥别失去  after all  ⚡ nothing can last forever
每次瞄到各类社会新闻和热点可谁都看不到真实真的“娱乐”大众没有觉醒和文化认知 “大众”只能在社会娱乐文化里醉生梦死 不知所以 ​​​
如果可能 不知道加缪会如何续写这本未完成的故事成为《第一个人》 总是饱含苦与难只有走过了 才真的活过 且找到那个可能性读未完成的故事 也是一种面对less happy ending的释然 ​​​
天赋的代价，是一种神经层面的失衡… ​​​
昨晚睡前看了无厘头番剧感觉自己笑着睡着的 ​​​
长远来看人能记住的也是那些个瞬间夜读泛滥（文字 情绪 风景 歌曲） ​​​
