肖战的文笔真好@肖战 
肖战超话 上一帖说得太复杂，概述之：个人观点，百家蹭他时，蹭还同时贬低他的，按死。蹭他但没坑他什么只是借光，同时其实还变相反复加深他是超然存在的标杆印象的，欢迎 ​​​
肖战超话 部部剧在吹自己爆时都拉上藏海传，各个水货吹自己顶时都拉上肖战，个人其实并不完全抵触，（不能踩他，吸血同时还要害他的不能饶）这何尝不是一种反复加深大众印象：肖战和藏海传是内娱公认的最超然的存在。百家争相来印证这种公认，挺好的。对咱宝有利时那些吹比的别家得到点虚假繁荣 ​​​ ...展开
//@姐姐追剧中:如果你知道……牢房对峙是他俩一起拍的第一场戏的话，你也会觉得肖战演技真的无敌了//@黄觉:算你庄得厉害、、
致敬//@肖战:#锦绣山河有你心安# 今天是八一建军节，致敬人民子弟兵！
多摇几次，能不能摇出个肖战
铭记历史，缅怀先烈，珍视和平//@肖战:#日本投降80周年# 铭记历史、缅怀先烈、珍视和平！#8月15日中国人必须铭记#
泪目//@冰柠檬茶SCC配酥脆小面包:不是没闹僵，只是从不卖惨
肖战超话 市井小民都知家丑不外扬的道理，我们是粉丝不是上帝，谁要你来装理中客下判词啊！就算他或者作品真有啥不完全完美之处，真正爱他的，绝不会不盯99分而盯那1分公开宣扬，更何况那些所谓的不足，其实是你被带了节奏后的自以为 ​​​
说得好
肖战
肖战超话 有别的人和剧在用虾圈梗，也别一棍子打死，那些踩的、偷后霸占的自然不行。但无恶意的或只是把这当做爆梗在用，其实是帮咱加深“爆”的印象和扩大影响力啊。干嘛自己防爆自己？（最近典型的例子，虾也在玩“又能怎”梗，对原先那人有啥伤害？反而那人收获了更多国民度）如果是涉及咱宝 ​​​ ...展开
//@shiningstarinthenight:这部剧的留白真的很多，野生编剧给解读以后你以为的bug豁然开朗，不是不合理只是自己没看懂
如果一个CP粉，想骂另一个CP，正常人的反应会去骂两个，要盯也是盯着抠脚三年等满身痛点的那个骂。而被骂的CP的粉丝，就算要团建，正常反应也是团建投诉，因为粉丝都懂“不回黑”、不舍得扩大负面。如果双方的粉丝都恰好和正常反应反着来，很难不怀疑是双方脂粉串通起来为了互艹热度、捆绑抬咖等目的， ​​​ ...展开
肖战超话 如果一个CP粉，想骂另一个CP，正常人的反应会去骂两个，要盯也是盯着抠脚三年等满身痛点的那个骂。而被骂的CP的粉丝，就算要团建，正常反应也是团建投诉，因为粉丝都懂“不回黑”、不舍得扩大负面。如果双方的粉丝都恰好和正常反应反着来，很难不怀疑是双方脂粉串通起来为了互艹热度、捆 ​​​ ...展开
肖战超话//@青柠薄荷-0_0-:以后看到偷梗的就说：上次我看到这句话还是在某某剧，你们也看了吧？上次我看到这个梗还是某粉丝群在玩没想到传播得这么广，这个名称还是从某某处传来的，现在大家都在用……。这样一来大家都知道出处了，还明白了别人是偷我们家的，关联上自家别人偷也偷不走。
肖战超话 每次黄盲鸡都“捧杀”咱宝，打着为他出征的旗号，其实是把负面扩大，新粉都懂不回黑，黄盲鸡不但回还迫不及待把黑言黑语炒上热搜，把他放火上。次次另一个都美美隐身。而那面挑事那个为啥因CP和CP竞争而骂，却只骂一个舍不得骂另一个？真不是那家脂粉过去披皮引战的吗？还是勾结一起互炒 ​​​ ...展开
我也一直不知道，还买的别的牌子的在用
这篇文章，字里行间有一种温柔的力量，但又温柔得我眼睛发酸
肖战超话 为啥🚽主一身痛点，可引战的就只骂咱宝？我猜有没可能引战的是黄 脂粉爬墙过去披皮后故意搞的？为了稳固黄   的声势但炮火不能打真心肝？同时这两组CP要是捆绑成了对家，新人也仿佛搭上了咱宝而抬咖了，两边都有利，受伤只一人，说不定人家两边脂粉早通气了呢。反正我不去送流量，看到 ​​​ ...展开
致敬//@肖战:#锦绣山河有你心安# 今天是八一建军节，致敬人民子弟兵！
细看更帅@肖战 
肖战超话   同时记得家训“不回黑”，包括那些阴阳怪气故意引战的营销号，不回，他们就没流量，没流量，他们就没有“工资”//@兔子与波菜daytoy:👀 查看图片 
//@Shirley不吃榴莲:哇喔！是我想的那个綦吗？
//@午后茉茉茶0102:只有长的丑的，业务能力差劲的才会去组cp，利用编造的“情感关系”给自己赋魅。第一，打造“深情人设”突出自家蒸煮；第二，安排黄文脂粉在各大平台发布耽美同人文和同人图，女化、弱化对方，把对方从“人”变成粉丝X幻想里的“工具”。第三，安排脂粉装业内，编造故事固粉。
