太有质感了
#嗑到李现杨紫像呼吸一样简单#嗑到何惟芳和蒋君那是不用一秒呢，锦绣芳华拍得有点东西，全是我爱看的。 ​​​
#杨紫说工业糖精加一#她真是，笑s我了，主打一个老实真诚实话实说哈哈哈哈哈 ​​​
#杨紫李现纯元cp前世今生#一秒get 到 ​​​
#亲爱的热爱的开播6周年#那个甜甜的佟年，6年过去，现在仍然是个甜甜的小女孩。 ​​​
#杨紫大学看李现张一山篮球赛#十几年的同学还能感情这么好的不多，祝友谊长存。 ​​​
#杨紫粉色挂脖流光裙#一个粉粉嫩嫩的宝宝。 ​​​
#杨紫李现跳难生恨手势舞#看了昨天的剧宣，让我看锦绣芳华里那些气人的桥段积攒的怨气全消了他们太有活人味了。 ​​​
#于正 我完全不知情#他真像那个总在村头树下坐着的长舌妇。 ​​​
宝宝今天好美
#杨紫李现 爸爸妈妈我出生了#太逗了，这四个人一起。 ​​​
好可爱
神颜
#锦绣芳华直播#杨紫好美 ​​​
#杨紫胡歌新剧颠覆性妆造#为出好剧，她真的是拼尽全力了。 ​​​
#国色芳华第二部更精彩了#实打实的，权谋在第二集太高能。 ​​​
#锦绣芳华断更#为啥断更，还断在了我最想看的是，弄啥咧？？？ ​​​
#杨紫说张雅钦县主演得好#她真的好真诚，从不吝啬赞美，不管是对谁。 ​​​
紫米们是最好的宝宝。
#何惟芳蒋长扬亲好猛#我我我，快快播，我上头了 ​​​
#锦绣芳华集均13广#怎么了？萝卜的时候要嘲，现在广告多了也要说，不是，咱是不是有什么精神障碍，怎么颠三倒四的。 ​​​
#这个杨紫好会演#压抑着满腔的爱意，不然生气，不能难过，看得我好痛啊 ​​​
#魏哲鸣急需一个匹配我聪明大脑的强健身躯#把何惟芳当日本人整，你俩倒是甜起来了 ​​​
#杨紫何惟芳在大火前淡定弹琵琶#哈哈哈哈面如死灰的样子，被害的次数多，悬着的心也就死了，不知道怎么的，可怜又好笑。 ​​​
#杨紫又出神图了#又损又好笑何惟芳是不是被衰神附体了，真的一个接一个的害她，可怜又好笑。 ​​​
花花花 我花
这么会二创，妈好知道吗？
#六郎你回家吧#这个死男绿茶🍵真是一看一个血压高。 ​​​
#何惟芳我请问呢#何惟芳这日子过得犹如身在缅北，一个不小心就没命了  ​​​
#刘畅一米七一米八地走向何惟芳#妈呀，这谁想出来的，又损又好笑。 ​​​
#锦绣芳华宣发#0宣发，谁敢信啊！是的，锦绣芳华就是。 ​​​
#锦绣芳华只更一集#断在了最高能的地方？！ ​​​
#杨紫演出小说文字般的画面#她值得！！！ ​​​
#锦绣芳华# 我的评分：何惟芳清醒独立且内心强大，善良坚韧且温暖，真的好喜欢杨紫的演绎，剧情节奏很快，高能，十分赞！ ​​​
#杨紫锦绣芳华收视纪录#在芒果🥭剧播到这高度，要我说，🥭 你给杨紫磕一个吧。 ​​​
#杨紫魏哲鸣好会演因爱生恨#虽然俩人已成过去式，但我还挺爱看这种爱恨情仇的拉扯。 ​​​
每一个表情都在表达感受
杨紫何惟芳霸气飒爽！
#看杨紫眼神戏心里皱巴巴的#她觉得自己拼尽全力才能保护的人，别人三言两语便可做到，那刻的酸楚无力，好心疼。 ​​​
#杨紫演技细节#今晚更新的两集真的太好看了，这两处的细微表情好打动我，杨紫，你是我的神！ ​​​
杨紫何惟芳你是我的最爱
#锦绣芳华#今天这两集太真实了，金钱在绝对权利面前也是卑微啊 ​​​
何惟芳她是有一个自己的精神内核在
#锦绣芳华有自己的nimomo#哈哈哈哈该说不说，真的好像。 ​​​
#杨紫魏哲鸣对手戏好带感#这季我真的更爱了 ​​​
#杨紫魏哲鸣对手戏好带感#这一对也是冤种旧爱，刘畅越爱，何惟芳死得越快。 ​​​
#锦绣芳华热度#提个醒，充vip 的不如直接充svip ，一次到位，省得花两次钱，剧太好看，根本忍不到等明天再看第三集。 ​​​
#锦绣芳华打破了国色芳华纪录#广告才是实打实的rmb 啊！业内最懂得谁值的投资，谁值得投石头。 ​​​
好看好看
#杨紫 扛招商#@心宽福自来H_：转！锦绣芳华 14，打破国色芳华13，国色芳华当时也是打破的是长相思212，怎么转都是杨紫，一个接一个成为全平台单集最多广史冠 ​​​
#杨紫 扛招商#人家有那个本事，所以说，演员走到最后，拼的就是演技和内涵，颜值得几分。 ​​​
#锦绣芳华开局14广#点开剧那一秒，那质感真是对我的眼睛太友好了！！！ ​​​
#锦绣芳华#明日见 ​​​
#杨紫白玉兰感言#在我看来，一个脚踏实地做人，认认真真拍戏，内涵低调待事的小女孩，她值得一切最好的。 ​​​
#锦绣芳华#明天svip准点到！！！ ​​​
#杨紫淡妆浓抹总相宜#so…她就是我爱的样子！一起等待锦秀芳华吧！#锦绣芳华定档0630# ​​​
杨紫超话#牡丹的锦绣手札##进杨紫超话抽何惟芳典藏卡# 唯有牡丹真国色，花开时节动京城。看我如何巧计和离逃离不幸婚姻，凭养花商贸之技自力更生 ，期待@杨紫 何惟芳的绝代芳华！ ​​​
#杨紫已经三次陪跑白玉兰#走过路过不要错过！大剧锦绣芳华明日上线啦！ ​​​
#杨紫已经三次陪跑白玉兰#今天这热搜我算是看明白了，有些人先吹一波自己90花独后，接着再来拉踩黑一波，真是又闲又坏。 ​​​
