#生活手记#2块钱坐到终点站的，一路刷手机不操心，真不错哎 ​​​
#生活手记#刚刚结束的脱口秀给我带来了一个最热夏天的欢乐，这个夏天这么热还能这么欢乐，脱口秀节目功不可没，以为这样的快乐要等到来年了，没想到罗老师马上出手了，吃瓜了几天，乐得不行，光大网友贡献太大，明天的脱口秀必然会有人提一嘴吧，昨天刚说了要熄火干正事了，怎么今天睁眼又给干上了呢， ​​​ ...展开
#生活手记#昨晚的雨白下了，今天还是很热啊 ​​​
咱这个没有科技狠活预制菜的时代和趋势应该阻挡不了，都不做饭了，可不得吃预制菜么 ​​​
#追剧打卡#《戏台》可以看了 ​​​
#追剧打卡#没啥剧追，去追《长安的荔枝》 ​​​
学了子平八字，盲派是锦上添花 ​​​
#每日学习打卡#《归队》最后一集，小鬼子投降了，👏🏻👏🏻👏🏻胜利来之不易！ ​​​
#每日学习打卡#今天有学习 ​​​
风水之缺角影响 ​​​
百香果也速冻了 ​​​
#生活手记#追剧时间包点小馄饨 ​​​
冰的芒果，在当冷饮吃 ​​​
#生活手记#今天有四集可追了买个大饼不容易 ​​​
禄神 ​​​
#生活手记#包车的感觉还是挺好的 ​​​
#追剧打卡#鬼子太坏了，看的难过的——今天两集《归队》，早饭都不香了 ​​​
#生活手记#梭子蟹的季节饱口福 ​​​
#追剧打卡#更衣吃饭追剧，一天两集《归队》 ​​​
#生活手记#今年战高温的时间有点长 ​​​
#追剧打卡#《归队》又要落泪了 ​​​
继续追剧《归队》，看得很多次热泪盈眶 ​​​
弄了三个活蟹，好来，小的不回来，又要被我独乐乐了活的进冰箱不合适 ​​​
#追剧打卡#《归队》追得起劲 ​​​
#生活手记#煮水新鲜的冬瓜皮+生梨皮 ​​​
以前的老邻居来白相，全部送掉了，没吃到 ​​​
#生活手记#阳台上最后两个小番茄，谢幕 ​​​
昨晚整理包包的时候看到一颗化了的巧克力，速冻了一晚早上吃掉了米道好来 ​​​
昨晚整理包包的时候看到一颗化了的巧克力，速冻了一晚早上吃掉了米道好来 ​​​
以为过期了的，还在 ​​​
终于看到广智夺冠了，开心！这个夏天脱口秀带来了好多的快乐！ ​​​
王好想是有多幸运啊，要一直关注 ​​​
百香果明明很香，怎么说是臭的呢 ​​​
#追剧打卡#《归队》先追为快 ​​​
《归队》两集先追了 ​​​
#生活手记#一天煮一壶什锦水 ​​​
《归队》每天只有两集 ​​​
#生活手记#超大的两芒果，赶上西瓜了要 ​​​
用了一张券，快要过期了 ​​​
#生活手记#哎哟我去，一个手机裂开了 ​​​
#生活手记#晚饭是凯司令蛋糕 ​​​
等车无聊，就看飞机不停地在回来 ​​​
鲜肉烧饼出炉了 ​​​
白云一朵 ​​​
#生活手记#几天没去照顾，小番茄们都枯萎了，只有马齿苋迎来了自己的季节 ​​​
#生活手记#公园里的柚子树 ​​​
回看《花样男团》 ​​​
#追剧打卡#去看看这么强大阵容的《酱园弄》是怎么扑街的 ​​​
脱2很多喜欢的选手，最希望何广智得冠军🏆 ​​​
#生活手记#看健康 ​​​
#追剧打卡#就喜欢听孟非和刘震云老师的斗嘴 ​​​
#追剧打卡#早饭配综艺 ​​​
#每日学习打卡#财格命局读象 ​​​
《旅途的花样》，看别人旅行 ​​​
分数这么低，哼 ​​​
脱口秀如来咋没进决赛 ​​​
#生活手记#等着脱口秀大王赛了 ​​​
#生活手记#一天娱乐活动结束了 ​​​
买了鲜肉月饼，自提，不得不出门走路 ​​​
看脱口秀包了27个水饺🥟 ​​​
#生活手记#南瓜子发芽🌱 ​​​
#每日学习打卡#己土 ​​​
#生活手记#今天的新鲜蔬菜 ​​​
河马买的，送到家才6块多 ​​​
#生活手记#被热醒的，这种天居然停电，没王法啦 ​​​
#生活手记#昨晚喝了快乐水，很久才睡着，苦透苦透 ​​​
多少年没喝快乐水了 ​​​
看姐姐们游览了圣索菲亚大教堂 ​​​
