一辈子也抚不平折痕
为什么CP脑又动了。。。。
直男卖腐比人心更可怕
#九三盛大阅兵# 最后结尾，图标正好在1945和2025中间，像一座桥梁，连接着80年的胜利。 ​​​
#九三盛大阅兵# 真的帅！震惊到都没来得及截图！再来看一遍飒爽英姿！
#九三盛大阅兵#方阵是齐的，连注目礼的角度也是齐的！太牛了！&quot;同志们辛苦了&quot;，&quot;人民必胜&quot;！ ​​​
有钱的话，真的得请个好点的摄影师啊
现在立刻马上，让帅mart和boom麦麸！要在俩人最帅的时候卖啊！！！！
可可爱爱smart
还是想感叹粉丝的伟大，助力每一个梦想。想上趋势，刷了。想终映进百丽宫，进了。想要突突车，买了。想要当演员，全力支持TF活动了。想要周边销量，秒切了。想要打歌，播放量刷了。想要做爱豆，力挺了。涵盖了无数日夜的人力物力财力精力，只为了一句，我想要，这是我的梦想。 ​​​
当时只道是寻常
无法理解双方唯粉，也不想理解。在无法接触到一手消息的时候，分辨二手消息的真假，结果就是自己受折磨。有的时候会被人性中的趋从性给吓到。怪不得资本这么喜欢割韭菜，看着因信息差而胡编乱造胡思乱想的人或疯狂或无助，这多有意思。和小时候玩玩具过家家也没什么区别。 ​​​
分享图片 ​​​
粉丝幻想↓↓↓：我觉得smart对粉丝的尊重，不仅是个人真诚的体现，更是实现梦想的结果。面对越来越多的粉丝，远道而来的每一位，可能不仅是&quot;我来见你们了&quot;的心情，还有一种期待已久的心情，从投简历入行想要做艺人开始一直期待至今的心情。&gt;&gt;&gt;你们终于来啦。我等你们好久了。来抱抱吧。 ​​​
是因为手指细长，所以比心永远那么正吗？ ​​​
我对smb抱持的想法依然如此。作为cpf，我只是他们感情的旁观者、见证者。现在没了CP，目之所及我无法看见，也无法从他们嘴里听说，这段感情的现状。所以我选择和他们一样，把回忆封存。既然是追星，就追点自己想看的喜欢的开心的吧。 ​​​
原来脚步动作那么多！！！救命🆘已被震倒
&quot;这个颜色可能需要搭配，不太好穿。有合适的机会我会穿的。&quot; 嗯，然后在专辑首秀上穿了！ 哇。我也替这位粉丝感到激动！
啊？
他怎么这么可爱啊啊！问他难不难？有点害羞为难又撒娇地说，是的~ CatFootprint_Auralis的微博视频 ​​​
这三张好帅啊啊啊啊！！整个视频都帅，这三张尤甚！有的时候怀疑我到底是喜欢冷脸还是喜欢造型搭配 ​​​
豪车的感觉是贵族？有钱人？低声吟唱的感觉。搭配封面看，还可以。但还是冷血好听。可能MV加成不少。什么时候另外两首也做个MV看看？👀👀 ​​​
感谢邀请，期待这份七夕礼物！
SmartBoom超话曼谷生日会，上台前紧张的boom。工作人员说的更大场面应该是指grand finale吧。这一刻，你是不是会怀念，那一天，千人会场里，那个在你身边支持你陪伴你，拍肩膀说着没关系，一起走上台的smart。感谢YOLO老师的搬运~ ​​​
看MV的时候就觉得这个跟头好帅啊啊啊啊，现在居然特地放出来！！！真棒！！！
SmartBoom超话 收到，确认，感谢，还放在柜子上了。不是简单收起来，而是摆在了显眼的位置。 ​​​
SmartBoom周边中转站超话 红色换蓝色！！！或者出卡。戏中戏自拍。有需要的私。可以走xy ​​​
比想象中好听，燥候luxury
怎么会有素颜都这么好看的妈咪还是得感叹，smart你是吃的真好
SmartBoom超话第一次见，这么温柔可爱的家庭老师。妈妈，你再多教一点好吗？
SmartBoom超话日本粉丝用泰语和boom交流，还专门做突突车模型。果然粉丝的爱，是最伟大的。
SmartBoom超话 又磕到了。24年10月8号拍摄前，boom动态：别人告诉我们，相信我，可以的。这个我们是谁呢？在一开始，boom就做好了要和smart一起并肩作战的准备。(机翻有误，我就滑跪道歉) ​​​
SmartBoom超话超喜欢他们的抱抱。他们的拥抱永远都是头对头的拥抱。
SmartBoom周边中转站超话 有人出这张自拍小卡吗？可换卡。有意私信 ​​​
SmartBoom超话还发日语歌？不用猜了，就是想共处一个语言环境。啊？特地选的614的boom的BGM？爹，论心思，还是你会花。 ​​​
SmartBoom超话老师，一个字，绝！
上头的时候，就是一辈子的纠缠。所以为什么要让我上头？普普通通简简单单卖一卖就好了。为什么要做销冠？现在我晕头转向，又肝肠寸断，仍然只想要你们生生世世纠缠不休。
SmartBoom超话如果真的是毫无关联的，我爹纯粹是正好想发日语歌。那也不错。就和投票的大屏正好在boom点名现场一样，天意如此。
SmartBoom超话爹，答应我，复婚的时候，都放出来好吗？不要一个点赞藏3年好吗？
SmartBoom超话 啊？我妈在日本，我爹发快拍，背景音是日语歌？ ​​​
SmartBoom超话no之前能不能看看，你们在哪里？在日本啊！要把内🐟那套带遍全球吗？单人活动不能提cpf的名字？auralis不是你们带头官宣征集的吗？要是不能提，能提前写在宣传单里面吗？省得浪费李四姐的时间！
磕CP的最高境界，大概是正主本人都在磕。 &quot;离不开，我知道了&quot;
让我看看👀新造型
&quot;我的宝贝&quot;，&quot;你搭下来吧，硌人&quot; 这已经达到人见人磕的程度了。 果然关系好就是可以为所欲为地卖啊。
💥：怎么了。我老公来看我不行吗？
🗡️ ​​​
SmartBoom超话 Where is smartboom？Smartboom is in my heart. ——Auralis ​​​
虽然我还是希望我爹继续回去麦麸(对不起)
#垂涎Rua娃吧联名周边# 星邱99💛🧡奖励99 ♡💙就要4+2整整齐齐一家人💐！星邱99💛🧡奖励99 ♡💙就要4+2整整齐齐一家人💐！星邱99💛🧡奖励99 ♡💙就要4+2整整齐齐一家人💐！星邱99💛🧡奖励99 ♡💙就要4+2整整齐齐一家人💐！星邱99💛🧡奖励99 ♡💙就要4+2整整齐齐 ...展开
人不能只活那一个瞬间
SmartBoom周边中转站超话再看看
