9月底的周末去北京开会了两天，存存北方的秋天。好干爽！晒太阳真舒服。  ​​​
//@出版人周筠:博主讲得好我的方法是多练习一个小技巧：在想要反驳的时候，给自己三秒钟冷静一下，就数“一二三”即可。三秒钟，就能让自己不再重复应激反应。应激，说明自己的情绪被对方控制了，对方想激怒你，你果然被激怒了。冷静三秒钟，你大概率会找回自己，让对方想控制你情绪的企图落空。试 ...展开
//@出版人周筠://@泰拳刚猛:差不多。个人体质不一样，有那些每天累的受不了，恢复也不好，还要每天跑的，是可能产生过多自由基清除不掉的。不过总的来说绝大多数实验都指向规矩运动（包括跑步）会延长端粒，延长寿命而不是相反//@若有所思的某人:就像很多人担心举举小哑铃就会练出肌肉块一样// ...展开
//@Robert_econ://@马泰奥-Matteo:我是这么说服自己的。第一，不要把这类文章当做学术文献。我们的工资来自于 gov 资助的公立大学，社科的一大现实作用就是替资助者论证先进性和合法性，所以这就是拿钱办事，职业、体面；第二，很多人诟病经济学没有用，经济学的计量工具脱离现实。那么如果能拿所学的 ...展开
25.9.27 4点出门追赶6点多的飞机，第一次坐凌晨的机场巴士。没想到6点机场人这么多。9点多终于到了北京。缺觉，整个人感觉在空气中浮动。参加下午的会1:30~6:30，结束了骑车去找高中的两个发小吃晚饭。9月底的北京，夜晚的秋风真舒服，大家散步，聊天，倾诉。今天一直在骑车，从口岸骑到等巴士的地方 ​​​ ...展开
“等待~我随时随地在等~待~” ​​​
//@程序员邹欣://@sven_shi:提到这个，以前给我婚姻数据的老师就和我讲，他们做学术，其实就是在不断的证明宣传的答案是正确的。可是政策一转向，宣传逻辑一变，之前做的就全部彻底变垃圾了。
25.8.21 存存终于放晴的大埔。当时只道是寻常。  ​​​
//@生机勃勃的莹宝://@·肆月竹·:不要忽略你的叙事内容/方式，它其实是一种最基本的生活态度，想改变你的生活首先应该改变你的叙事习惯和固化思路（下午收到反馈的一个感想。
转发
转发
转发
25.8.9 存存一期一会。  ​​​
25.8.9 存存新时代大头贴。 ​​​
25.8.7 昨天夜里。今天下午。 ​​​
转发
//@马达的加斯加:啊我学//@这是一个很高冷的ID:我学//@黄濑濑濑濑:我学！//@M大王叫我来巡山:学习了//@Tiger公子://@baixiaorourou://@做人最紧要喺开心:每天至少练习三次寻找敬畏时刻（感觉自己可以做到
25.7.29 晚上，车公庙吃完了韩料，我们跟着晚霞一起散步回家。 ​​​
25.7 下旬。存存最近的暴雨雷电。买杯咖啡闭上眼睛假装还没有黑雨。 ​​​
转发
转发
//@我是饭恩:Repost
25.7.22 今天又来办签证了。很久没来北角，再来时发现这里的油街艺术中心是18年来的那个。当年为什么来、跟谁来、看过什么展览，早已忘了。只记得背着一台小小的微单，好像还是压岁钱攒的巨资，跟在陌生同学身后，煞有介事地端详那些似懂非懂的艺术装置。这个街角唤醒了一些记忆。  ​​​ ...展开
25.7下旬：搬家的时候，都觉得，人说到底，所有的看似重要的、需要的、喜欢的东西，到最后都是可以被抛弃的。当人在进行流动迁移，无论是主动还是被动的时候，越想要去背负一些自己认为重要的东西，越需要去承担背负的重量（无论是物质还是精神层面）。搬家是一个契机，在于它能让你意识到那些看似你需 ​​​ ...展开
搬家需要力气，力气必须来源于自己。 ​​​
25.7.18 又来华侨城了，存点梦核版千禧年初记忆里的感觉。 ​​​
25.7 校巴司机与时俱进。 ​​​
"25.7.6 在回香港之前最后存一杯奶泡咖啡。这段时间一直在走路。如果是带着一个设定的目标去走路（e.g., 打开导航地图去某个目的地）：路在脚下，目的地已经确定，大致需要的时间已经预测好，路线也被设计。这时候人的走路不再是此时此刻的每一步的移动，而是一种XX分钟/XX千米后的到达。这种心态不只 ​​​ ...展开"
25.7.4 那不勒斯国立考古博物馆。  ​​​
转发
转发
25.7.2 第一次在教堂里开会。labubu突然撞进我的眼睛。抽象加油站⛽的装置艺术。  ​​​
//@出版人周筠:#职场#//@程序员邹欣:直接//@Wanderingwonder:同级别的话我可能直接说how about 2p tomorrow，30minutes
25.7.1 又来到Napoli了。  ​​​
25.6.30 晚间九点-七点-五点。  ​​​
如果可以我真想一天怒喝八杯（但是不行）。  ​​​
25.6-7 第一次和导师一起出差。她真是一个好老师，负责、有自己的想法和学术追求（但是耐心且不急躁）。这几天是高浓度和导师呆在一起的时间。 ​​​
25.6.29 存雪山。我想躺在草地上做一个(?)空气。 ​​​
25.6.29 影子陪我散步。  ​​​
25.6.27 日内瓦大学。满鬓白发的拄着拐杖来参会。哲学系的古老的教学楼里，桌面有无数时间的痕迹。  ​​​
25.6.26 从意去瑞，经过奥斯塔和库马约尔，恢复了一些之前跋山涉水来这附近做文化工作坊的记忆，也想起那个在雪山下的高中。旁边是勃朗峰，从都灵远远能看到的山峦，在向我靠近。  ​​​
🍃  -Moonsoon-的微博视频 ​​​
25.6.25 今天做完了学校参观，第一次去历史档案馆翻档案，也和之前的同事见了面，完成了我的小小计划，关于研究的、社交的。因为不涂防晒我已经黑了一圈，成为了一个在大热天里满头大汗的姜饼人。第一次做历史文献研究，手指上覆盖了老文献的灰尘，如果有更多的时间，真希望在这个堆满文献的房间里呆上 ​​​ ...展开
25.6.24 小蜗牛在熟悉又陌生的地方留下了新的痕迹。  ​​​
25.6.23 三年前的第一天，也是在远途飞机后的迷蒙状态下，在波河边吹风。  ​​​
//@Theorois:我比较震撼的是……要到51岁时，人才能对身边人的情绪和情感负荷力有比较好的认识么……//@风苇倾谈:这个时间表带给我最深的感受是：原来人生并不会在五十岁以后走向下坡，相反，很多美好的事情恰恰在那个阶段流水般自然发生。  随着年岁的增长，我们目睹、经历了一些事，不知不觉间触发了 ...展开
//@出版人周筠:#读者意识# 以前读的这篇#我在剑桥学写作#，讲的也是类似的道理：（转）我在剑桥学说话（作者：濮实） 👈【这些道理貌似一直都懂，也一直觉得自己已经算是一个肯下功夫的人，但只有亲身遇到了这样一位作家才看到了什么叫下功夫，才明白了什么叫良好的学习习惯。以至后来，写一段文字拿给他点评，本来 ...展开
存存坐标。我的归属是我自己。  ​​​
25.6.21 🇭🇰来自xiwen的照片。 ​​​
2025.6.17 和xiwen在雨天的夜晚散步。  ​​​
转发
25.6.12 存存。 ​​​
🇭🇰的夏天是闷热潮湿的，汗水黏在我的脖子上，空气凝固，偶然的风也是热的；但是远处的月亮 、晚霞、云、树、山和蓝紫色的天，也是这样的夏天的一部分。 ​​​
2025.6.10 ☁️ ​​​
2025.6.6 从小巴站去吃鸡翼猪扒米线的路上： ​​​
25.6.3 今年春天认识了一位来访问三个月的意大利同学，明天她要回去了。同样认识的土耳其同学很有仪式感，小礼物、写着我们的祝福的贺卡、蛋糕，无数的祝福和拥抱和话语的鼓励，真挚地表达她对同学的友谊和爱。一起吃饭时，我发现自己和她们面对分离时的态度是不同的，相比于热烈地用自己的爱/情感去回 ​​​ ...展开
//@翼尖小翅:回顾下最近密集参加的三个分别归属于业界、行业协会和学界的会议，自觉学到了好几点之前不知道的，也认识了好几个以前不认识的人，并且在休息的时候吃了好几家好吃的餐厅（还给新认识的朋友推荐了好几家），算是很完美了。
