我去 不谋而合啊
好比这个容貌焦虑，你可能有想变好的想法这桶石油了，但是没车轮没方向盘啥的，那就先把一些大板块 配件 ，想学习的风格啊，想买的衣服啊，包括体重啊，慢慢搜罗搜罗，这期间保持好心态嘛，别左右摇摆啊自己矛盾啊，搜括差不多了，就慢慢上路呗，开着开着，就顺了《看本质》 ​​​
先学会大方清楚地表达，做自己的同时注意不能过于自我，找到合适的机会，吸引同频的人 ​​​
我怎么这么爱逛街跟tm吸大麻了一样 ​​​
正在商场上厕所听到旁边有人在打电话和别人说刚有人跳楼了心生疑惑嗯？这不是电视剧里的剧情么？出来洗手两个大妈也在讨论这个事逐渐震惊走到围栏边往下探头看一楼大厅地上躺着一个中年男人……其实蛮诡异的大家也没有太骚乱都比较冷漠有些人仍在干自己的事：排队买面包，就在死者所在的 ​​​ ...展开
想起来有次吃新疆炒米粉开始想点中辣老板提醒我说我们这边很辣哦，一般都点微微辣，然后我说就中辣吧没事不知道我在装什么，后来一盆炒米粉端上说刚吃两口还没意识到事情的严重性，吃到后面头皮发汗，但一想到刚才那么装硬着头皮给吃完了，吃完赶紧灰溜溜跑了 ​​​
忙了一整晚，大概是进入心流状态了对外界浑然不觉要记住进入这种状态的公式强烈的目的，不算难的卡点，掌握卡点后不断收到正反馈，效率也随之提升。 ​​​
知行合一浮躁的 囫囵地知行总有很长的滞后性 ​​​
我是不会放弃减肥的 ​​​
人一生遇到的所有问题都是性格的选择要改命 先改性格当然 也是个人选择 如果能为自己的性格短板造成的问题兜底 那也无所谓 就是做自己如果性格的选择导致的局面不是你想要的那就需要改变了 ​​​
烙铁 不是衣服好看 是人家身材好 ​​​
心情好的时候原谅全世界 ​​​
最近时常觉得时间过得好快啊 ​​​
md无论如何也夺不回生活的主导权像浪里的一条咸鱼随漫波飘来飘去 ​​​
#生活手记##近照与日常# ​​​
#近照与日常##生活手记# ​​​
我人生准则
上帝 你补药观察地球哇 ​​​
我此时此刻心情
最近摸鱼放着老飘的直播切片回想我当时是不是也遇见鬼了那段时间总是神神叨叨  迫害妄想症严重屋子里到了晚上就害怕整夜睡不着一睡着就鬼压床有一次午休梦魇挣扎着醒来但动不了眼皮半睁着看见一团黑雾在床上半空中看我醒过来要伸手盖住我的眼还有一次梦魇半梦半醒感觉床边坐了一团黑雾黑雾还 ​​​ ...展开
摸鱼无聊到看徐涛 ​​​
不是  这两条微博提供的乐子够我乐到国庆了 ​​​
它是站在海岸遥望海中已经看得见桅杆尖头了的一只航船，它是立于高山之巅远看东方已见光芒四射喷薄欲出的一轮朝日，它是躁动于母腹中的快要成熟了的一个婴儿。 ​​​
#近照与日常# ​​​
懒狗一个天天是工作没做完提心吊胆下的班 ​​​
霸王茶姬的营销做的真的很好 ​​​
外面在下雨，超大的雷今天不上班，在被窝睡觉舒服 ​​​
我今晚一定一定要把家里收拾干净了发现我最近早上六点多总会醒一下醒了发现还能睡好久感觉好幸福 ​​​
夏天 我讨厌你  ​​​
今天第一天上班 心情是无比的想死… ​​​
霸王茶姬不会再喝晚上睡不着早上起不来🙉 ​​​
本次内耗十分钟 ​​​
一个好领导最基本的能力是控制好表达欲，交代事情简单明了 ​​​
#近照与日常# ​​​
好男人我会关注 坏男人我会恶评 ​​​
不是 同事在办公室放歌，和我的歌单重合度相当高，我真有点冒冷汗了 ​​​
楼下的肠粉我已经连吃一个月了…好吃的我怀疑放了大麻然后慕名去吃了白记肠粉，觉得一般没楼下的好吃 今天不仅堂食了一份，还打包了一份回来 ​​​
我来上网 就是要顺我者昌 逆我者亡
我突然get到了理解被理解是多么的幸福 ​​​
边界感这个东西每个人的看法都不一样有的人享受边界模糊的待遇有的人边界感比较强随你吧管事管不住的看你直觉吧我也不患得患失了 ​​​
我现在发现，我遇到的每个问题，反映出来的根源翻来覆去其实就那老几样，但我一直没真正改善，所以又时常因为这些原因交叉出现方方面面各种各样问题有懂得么 ​​​
现在逛淘宝会让我焦虑 有懂得么 ​​​
笑晕 ​​​
登了两天动感单车大腿前侧像被坦克压过了一样看网上说要躺半个月才好这下老实了 ​​​
艺术家和缪斯艺术家和艺术品 ​​​
不是一闭眼就做梦每个梦都带点吓人鬼压床一样吓得赶紧醒来醒来立马又掉进另一个梦里被吓醒再掉…持续到现在困得要死好崩溃 ​​​
雍正竟然是射手座 ​​​
如图 Yissiisi-的微博视频 ​​​
omg我突然发现麦香鸡和我关注的一个博主思想高度一致 ​​​
