黎明之前最黑暗 放弃就是大笨蛋！这是一条记录微博📝 ​​​
老天爷你能不能对我好一点啊 ​​​
这个月是坚持公益午餐的一周年 好厉害的小赵！坚持一年啦！！ ​​​
幸福的几瞬全靠自作多情的揣摩 时常被自己的名言而震撼哈 ​​​
爱学习者风生水起 我推荐所有期末周的大学生去听like jennie 听完感觉自己就是大女主啊 ​​​
卧槽能不能别摆烂了姐 每天按照计划学行不？ ​​​
我一思考上帝发笑 呵呵 蠢笨如猪 ​​​
谁想吃我做的美味佳肴 ​​​
夸美纽斯研究了一辈子班级授课制 我半小时就学完了 是王不见王还是避我锋芒 ​​​
好像真瘦了 ​​​
学不成名誓不还 ​​​
贝微微你大学期末周也会每天改五个小时报告和小组作业吗 ​​​
天呐二十岁不是正虚荣喜欢名校tittle的年纪吗 ​​​
现在心态已经好到一边学专业课 一边做报告 一边背二外 一边准备期末周 这么多事简直太棒了 一份时间解决多个问题 简直太赚了 ​​​
321直接跳 ​​​
啊啊啊啊啊啊啊啊啊啊啊啊啊啊好讨厌！ ​​​
每天就这样被这个期末周折磨的死去活来 ​​​
清华北大不录取我是盘不住龙中龙还是卧不住虎中虎 ​​​
卧槽 被姨妈折磨的上吐下泻 还把单词背了 被pua成啥样了啊 ​​​
卧槽 混个文凭好你吗痛苦蚊子就这样不停咬咬咬 ​​​
每天都有值得发微博的事怎么办 分享欲爆棚 ​​​
妈耶 考完试就去看！//@TFBOYS-易烊千玺:#酱园弄第一部定档##酱园弄悬案全员亮相# 这案子，有这辈子的因果，也有上辈子的债。《酱园弄》第一部#电影酱园弄悬案# 6月21日，奇案开审。
倒计时200天别摆烂了姐一些小物件就能让心情很好呀！ ​​​
“不要和别人比较 你想想小时候被爸妈拿去比较多难受 但是你现在却这么残忍的对自己！”比较是偷走幸福的贼！ ​​​
宝宝宝宝宝好可爱！😻
好好照顾自己 真的 然后不许偷偷哭 ​​​
辩证法不崇拜任何事物 ​​​
