打开豆瓣发现女神又更新两篇新作 开饭 ​​​
我搞任何圈子 看什么 担谁 磕某某cp 都不希望接受收到负面情绪 这一切的目的都是我开心 我无法决定同担或者所谓对家的行为 也无法按头让我的cp放🍬 无法让我担完美的满足我的想象 所以我选择尽可能的屏蔽一切娱乐带来的潜在追星焦虑虐粉这一套对我来说没有任何用 要论惨 爱豆接受的爱永远比普通人多 ​​​ ...展开
我慢慢看。
好厨子
不要过度担心未来 会看不清自己脚下的路 ​​​
一段关系在最美好的时候结束是一种完美的happy ending这是我为什么时常想起高中的一些好朋友 但是不会再努力联系 缘分没到那种地步 就用一个最美好的方式慢慢淡出彼此生活 这样留下的都是美好的回忆每当我在一个阶段初期总会怀念上一个阶段遇到的人 但其实不久之后 又有懂我的朋友出现 我们都是 向前 ​​​ ...展开
分享图片 ​​​
是这样的！
从昨天晚上十一点到今天下午六点 我做出了一个重大的决定 我相信它是正确的 我会一直走下去 成为理想中 我的样子只有选择了喜欢的 想要追求的 才能让我有心力去火热的参与实践中 道虽远 行终将至 ​​​
停止短视频冲刷！开始专注生活 多看长视频 电视剧综艺之类的都OK ​​​
啊啊啊
又焦虑 不想了 磕糖睡觉 ​​​
毕业后我一直很逃避想起化学 我本不是一个喜欢化学的人 却因为遇到了一位在我迷茫焦虑的学生时期拉我走出泥潭 鼓励我向上的老师 让我对化学产生了兴趣 他的专业能力 他的信任与支持 一时期我的化学成为了我最擅长的科目 而高考考场上我却失利于那最后的一场化学考试 我不敢看到高中的化学题 就连打下这 ​​​ ...展开
我高中最幸运的事就是遇到了这么好的几位老师。 ​​​
我不关注楼的时候我在想的：各种焦虑 反复想各种让人烦恼的事情 我关注楼的时候我在想的：我的家产好甜蜜 我担（前）怎么这么萌 楼你们现在也是好起来了so其实当我陷入麻木焦虑的时候 你们的确给我了许多正能量 的确给我带来了很多快乐 ​​​
或许放下一时的急功近利，逃避难过。真正去计划走一条长远的工科路线。 ​​​
好难选择啊 ​​​
我真的好想复读。 ​​​
读新工科就只能双非 想211就只能选别的 我真的适合什么 我未来想要什么 我真的不知道。迷茫是最崩溃的。其实应该少接触互联网上这类信息。感觉大家都在说 说的也是乱七八糟 很难分辨 徒增焦虑明天招生会去听一听吧 哎要是去天津之类的城市其实双非也不是不能接受。命运就是这样奇妙。本来不接受的 ​​​ ...展开
我会一直向前 ​​​
我好难受。 ​​​
我磕戏影就是会狂笑然后突然落泪 ​​​你们对我的影响太大了 这是好事 对我来说如果有一天真的看清你们了 知晓一切我暗自揣测的真相 那一天我将失去对你们的兴趣 不过这好像很难吧“我要的是弹错的那一个音” ​​​
缘起缘落 ​​​
不能上楼。坚持住 ​​​
奶奶我真的很爱你啊 ​​​
再过十一个小时就是森林之战！ ​​​
cp感就是 听到一方喊另一方的名字都会感觉很暧昧啊 ​​​戏影说的就是你们 ​​​
灵魂的欲望是命运的先知 ​​​
嗯。//@坚强受妈不落泪:那种大半夜磕磕磕 仿佛窥见巨大秘密一般倒吸口气 铺天盖地逻辑紧密环环相扣的糖 那种爽感我真得没话说
七天后。查分🙏🙏 ​​​
其实我很清楚毕业之后和大多数人要分道扬镳了哎 即使我们还会评论彼此的朋友圈 即使我们一个月前还亲密无间 但是有的关系没有发展到想当很久的朋友但很喜欢和对方在一起的时间 也只能默默放下 现在也没有对这些东西这么敏感了啊 我们都会遇到更多人 在未来时刻 我相信命运 该相逢的自会相逢 该分别时 ​​​ ...展开
感觉我自己现在处于离开西影然后又见旧爱人然后发现自己还是好这一口反复横跳但不复合的暧昧期 ​​​
听ks发言好舒服 ​​​
一些东西只在特定的时间段内拥有其重大价值收拾房间断舍离有感 ​​​
过程即结果 ​​​
好萌。。
美瞳买成无度数了。。。。 ​​​
嘿嘿明天我将人生中第一次带上美瞳 ​​​
好想养一只萨摩耶。。 ​​​
第一对磕的cp是离婚系 磕的最爽的时期也是离婚期 后来再磕上的几乎所有cp 无论哪个圈子 都是离婚感的。。这就是初恋给人的影响吗 ​​​
数学难上120了。今天模拟志愿收藏的都是数学类。放过自己好吗 ​​​
四五年前第一次磕cp磕的67 今天在bilibili上刷到 又流泪了。。内娱无代餐 也是迄今为止最真情实感磕过的。。戏影你们是一门学问 ​​​
许愿 有一天 不再狭隘 ​​​
最先忘记的是痛苦 ​​​
记一些假期计划想做的事看专业选专业买手机买好看的衣服学习化妆游泳把毕业带回来的东西收拾一下高三时打算读的书 开始阅读做家教想学：剪辑 编程 跳舞 做饭 ​​​
萌化……
一磕cp就好像自己恋爱了一样怎么办哦。 ​​​
还是喜欢磕缺德糖。嘻嘻。 ​​​
#唐探破十亿主创整活限时投票#正式开启啦！我想看主创实现的心愿是扭秧歌，快来参与限时许愿【网页链接】，看唐探小分队在线实现网友心愿！#电影唐探1900##蛇来运转春节档# ​​​
