生活就是在你万事都很顺的时候 一定要有点不顺的 ​​​
成年人的世界，人越乖，命越苦。《乖，只有在小时候有用，因为能换来大人的疼、老师的夸。可到了成年人的世界，乖不再是优点，反而成了别人欺负你的理由，成了你自己吃苦的根源。》《礼记》有言：“君子和而不流，强哉矫。”真正的君子温和却不随波逐流，这才是真正的强大。成年人的世界，不是 ​​​ ...展开
高嫁只是慕强女的欲望代偿慕强不过是你想要成功的欲望代偿  总有人说“我天生就慕强，就喜欢靠近厉害的人”，可细想之下，我们追捧的强者，未必是对方本身，而是他们身上那些我们渴望却尚未拥有的特质，或许是跨越阶层的能力，或许是独当一面的魄力，又或许是掌控人生的底气。很多时候的慕强，不 ​​​ ...展开
你越真实，才越能筛选出真正适合自己的人！不期望被谁拯救 我们一起上岸《记住，你只有先学会做真实的自己，你才能筛选出真正适合自己的人，你的人生也才可能会过得好，否则你吸引来的只会是一些让你痛苦的人。》因为当你没有办法“真实的做自己”时，那意味着你一定已经习惯了讨好别人和压抑自己 ​​​ ...展开
男女关系的真实规则：不要争取最基本的待遇这会让你处于低位。hi，我是猫。再怎么说，一段关系中能长期维持下去，两性一定是平等付出与供给的，不存在一方永远牺牲，另外一方一直在剥削，那这样的关系不是我们反复提过的增强生命力的关系。在一个阶段内的动态时空内，双方都是有所舍，有所得的。 ​​​ ...展开
男人永远难以抗拒这样的女人国内的大环境整体发展就是，女人越来越布了，男人越来越剪了。当然，在婚恋领域，大家表面上摆出来的评论和言行是一回事，背地里怎么八仙过海各显神通又是一回事。每个人都有自己的生存策略，在婚恋市场里也是。宏观角度来看，每个人就像地球上的国家，大家都在争夺地球 ​​​ ...展开
一切崩塌都是迟早的事，你要早做准备最近形容一个东西很好，给的评价是——有一种经济上行期的美。毕竟大家现在生活都挺难的，至少比起五六年前，失业率上升了，工作更难找了，钱更不容易挣了，生存压力在攀升。《不要在一切都很顺利的时候，假设生活会继续按照这种势头发展，甚至越来越好。》而 ​​​ ...展开
拒绝，其实可以不需要理由想拒绝就拒绝，我没有理由。看到这篇文章时，你应该已经放长假了，国庆好好休息一下。或许国庆会有很多人请你吃席，因为种种原因。可能你会因为抹不开面子，而委身去。或许你想拒绝，但是因为现实原因，而没有办法拒绝。我这些年，一直在练“拒绝”。只要我不想做的 ​​​ ...展开
弱者姿态就是最廉价的遮羞布《又没人欠你什么，凭什么要人免费帮你》今天刷视频的时候看到我关注的一个财经博主发了一条口播怒怼那些抄袭和白嫖的，我还是第一次在这么专业的分类下看到这么活人的博主，但我觉得说得真是太好了。弱者天然有理，这句话我以前听还不是很懂，现在渐渐有点明白了。 ​​​ ...展开
一定要学着表达自己的不高兴和不爽。嗨，我是周周，一个努力向上成长的女号主。01.Luzhouzhou在社交中，当自己感受到不高兴和不爽时，一定要表达出来。很多时候，不高兴、不爽，不会凭空产生。多数情况下都是因为别人的一些话语或者是一些行为，让自己感到不高兴。《当明显察觉到自己不高兴时 ​​​ ...展开
如果孩子已经不再相信你如果你经常对孩子各种不允许，那么当真有些事情是危险不能做的，或者父母确实没有能力给予，孩子也不会轻易相信你的话。《如果你平日里真心愿意满足孩子，孩子都感受得到，一些确实不能做或者超出父母能力的事儿，你说一句孩子就会相信，很愿意配合你。》01常常收到留言 ​​​ ...展开
35岁之后，就不要在工作中纠结发展空间了人到三十五岁，最怕的不是没钱，也不是没背景，而是还在纠结所谓的“发展空间”。你可能也经历过这样的场景：公司开会，老板画饼，说未来会有多少机会，多少晋升通道，多少资源等着你。你听完热血沸腾，觉得自己终于要熬出头了。可过了三年，位置还是那几个 ​​​ ...展开
如何判断一个人是不是在滋养你？每日11:30发布，点击下方👇“肥猫说财”关注公众号赚钱思维 | 财富故事 | 深谙人性 | 认知提升原创文章，不得转载哈喽啊，我是肥猫，我其实不肥，我的猫肥。图片为肥猫用AI制作你有没有过这种感觉？和有的人见一面，像被春风拂过，内心那些褶皱都被抚平了 ​​​ ...展开
上班最容易丢的东西是笔  最难做的事是起不来床 最不好选择的是中午吃啥 最想炫耀的是还有几天年假 ​ ​​​
世界上没有遗憾  只有放错了地方的希望 ​ ​​​
昨天有个粉丝留言：“68元一条朋友圈，这么贵也有人买呢？” 很多人都会有这样的第一反应。因为在直觉里，68块就是一顿饭钱，换来几句话，当然觉得贵。 如果你单纯看价格，确实会觉得贵。但这事儿，看的不是花了多少钱，而是能赚回来多少钱。贵和不贵，从来都不是价格决定的，而是结果决定的。  ​​​ ...展开
保护自己最好的方式，就是装聋作哑，不要回应那些恶意能量，让他随时间流逝，回应就是与之纠缠，纠缠就会受其损耗，只要内心不接应，所有的恶念都将原路返回。对于消耗自己的人和事，一律做到：不纠缠、不回应、不共业，当你忍不住争辩时，想想这段话，然后闭嘴，转身去做自己该做的事 ​​​ ...展开
为什么老实人的愤怒伤害值往往是致命的，而那些偷奸耍滑之人的愤怒并没有那么可怕？《是因为老实人没有“灰度空间”，他们一直在压抑，在刻板化自己的形象，他们的光明与阴暗面之间有一条泾渭分明的边界线，他们一直在安全的范围内保护自己的正面形象，一旦老实人被侵犯到一个无法忍受的阈值，他们便会 ​​​ ...展开
尽量不要和人谈起自己的4件事：1. 不要说破，还未成功的野心与计划；野心是尚未发芽的种子，最忌阳光暴晒。在你的目标还没有达成之前，不要跟人透露。因为一旦说破，大脑会产生“已经达到”的幻想，从而导致你的行动力大大减弱，耽误计划执行的进程。与此同时，你可能还会遭到别有用心人的嫉妒 ​​​ ...展开
人生本就是个人选择的直接结果，任何人都可以通过修正自己的行为让自己过得更好。拥有人生的主体性，就算遇到了挫折也不会去抱怨，而是让困难去照见自己，看一看自己从中还能学到什么。反而，那些习惯性抱怨环境的人，他们的核心人生就是把自己当成了被动受害者。过得不好，总把原因归于外界因素的人 ​​​ ...展开
几点关于爱的建议：1.一定要把认可你作为筛选伴侣的第一标准，而不是喜欢你。一个喜欢你的人不一定认可你，但是一个认可你的人一定能一直喜欢你。2.能长期稳定持续下去的关系，不是靠很强烈的爱，很大量的付出。而是靠很少的攻击，很少的对抗，很多的接纳和允许。3.爱应该是让你变得温柔且勇敢 ​​​ ...展开
穷人认为这是受罪。敢于否定自己，才可以成功。  要是否定不了，就无法成功。这个世界不是任何一个人说了算，不是你父母说了算，也不是你同学说了算，更不是你的同事说了算。也不是你的亲戚朋友说了算。  他们说了什么并不重要。打击你，讽刺你，说你是个大傻比。因为他们都是loser。  比如你 ​​​ ...展开
1. 人一旦把欲望这道闸门打开，就很难再关得上。嘴里说要克制，其实没几个人能忍得住。就像一个懦弱的人，一辈子缩着当个老实人，可要是哪天硬气了一次，尝过那种滋味，他就再也受不了继续窝囊。钱更是一个道理。很多人不理解，为什么有钱人一旦破产，就算兜里还剩几百万，照样想不通，甚至一 ​​​ ...展开
一个人真正的觉醒就是对所有关系的绝望当你见识过人性的黑暗遭遇过信任的崩塌体验过孤立无援的滋味你就会明白人生的本质就是一个人活着血脉亲人也好灵魂伴侣也罢没有人会真正与你感同身受如果你总是把希望投射到别人身上你就注定会经历理想与现实的落差允许至亲撞南墙目送挚爱走弯路静 ​​​ ...展开
怎么分清一个人是克你的、还是旺你的？但凡一个好东西、或者是一个值得交往的人，往往都有一个共同的特点：不会让你上瘾、但是靠近又很舒服。而凡是令你产生不舒服的、剧烈情绪波动的东西或人，基本上都是克你的。就像有些人，你也感觉对方好像说不出来哪有问题、看着人也体面、有素质，但是只要一 ​​​ ...展开
工作：我们怎么样跟工作相处对于大部分人而言，因为你想混日子，你不愿意把一件事做好。所以，你就只能做基础简单的工作。因为你的上级，不会相信你会把更复杂的工作做好。对于大部分人来说，不是工作需要你，是你需要工作。因为你什么都不行，你就只能成为螺丝钉。但对于我来说，甚至对于我的 ​​​ ...展开
人无法接住他本身没有的东西这种自我设限，比真正的技术壁垒可怕多了。&gt;&gt;#  PART 1哈喽大家好，我是嘟子。你是什么样的人，就配得上什么样的馈赠。那些接不住的，从来不是命里没有，而是你还没成为能承载它的人。有人总被感情辜负，不是运气差，是他潜意识里早认定了“自己找不到好的对象 ​​​ ...展开
真正拖垮你的，是沉没成本难以放弃沉没成本的人，终将沉没。# 01哈喽大家好，我是嘟子。沉没成本，指的是那些已经发生、无法回收或改变的投入，包括金钱、时间、精力、情感等。人们常常在沉没成本面前犯错误，为了过去的付出和错误，与现在的自己较劲，做出不理智的选择。就像有些人遭遇诈 ​​​ ...展开
请你理直气壮地去做任何事没有一种批判比自我批判更强烈。01.哈喽大家好，我是嘟子。有一群这样的人，小时候可能常常受到别人的否定和责骂，因此性格逐渐变得自卑，不擅长与人相处。他们习惯于隐藏真实的自己，不敢表达观点和情绪。在选择时犹豫不决，害怕自己的能力不足，将最终决定权交给 ​​​ ...展开
想不通的时候就去做只要方向大致正确，就可以开始行动。# 01哈喽大家好，我是嘟子。执行力差的人往往有完美主义倾向，认为要么做到最好，要么不做。他们常有一个误区：只有准备万全，才能取得好结果。这种想法会让他们陷入无休止的准备中。想要着手一件事情，却因为种种担忧而迟疑不决， ​​​ ...展开
当你接触的人多了，就会发现：敢吵架，敢冲突，敢强势的人，才是命运的强者，才配赢得尊重《越怕冲突的人，越容易被生活欺负。》别害怕冲突，去释放攻击性，跟人吵一架，整个人都好了。生活中，有一类人总是显得温顺、好说话、懂事，他们总是尽量避免冲突，害怕与人正面碰撞。他们习惯忍让，把妥 ​​​ ...展开
人，不能太尖最怕的就是一味偏执。- PART 01 -哈喽大家好，我是嘟子。言语是一个人修养的镜子，更是命运的伏笔——口无遮拦者，福气往往在刻薄中消散。“处世让一步为高，待人宽一分是福。”有智慧的人，从不会用言语逞一时之快。他们懂得把指责换成理解，把嘲讽变成包容，用温和的语气 ​​​ ...展开
你为什么不愿意相信做成一件事很简单呢？ 你为什么不愿意相信做成一件事很简单呢？  今天刷到一个见路不走的视频，从搞钱的角度讲，为什么普通人赚不到钱？因为这些人永远都是把 95% 的精力放到内耗上，留给做业务的精力不足 5%。 人如果害怕承担风险，想要一个稳定的结果，就只能去上班，想要更 ​​​ ...展开
你总焦虑，是因为一直在“怕”焦虑，是因为过度思虑，看起来是想的周到，实际上是因为“怕”。怕，也是恐惧。因为恐惧，而不敢迈出第一步。遇到喜欢的人，因为怕配不上对方，而主动远离。遇到好的机会，因为怕自己能力不够，而不敢主动。遇到表现的机会，因为怕出丑，而丧失了一个展示自我的机 ​​​ ...展开
渣男的一些特点渣男有哪些特点？  1️⃣平时压根不找你聊天，你一发好看的照片就来找你的，一般都是广撒网的情场老手～主打一个短择玩玩，所以没兴趣花时间和你聊天，了解你到底是个什么样的人，毕竟这对他来说并不重要。  2️⃣很多渣男还特别喜欢立人设和装杯，有的甚至会针对你的喜好去立人设 ​​​ ...展开
打扮也是输出型爱好的一种《跟表达、创作是一样的。》hi，我是猫。把你对于色彩、明暗以及服装结构搭配的理解内化输出，这个过程就是再创造，你真实地参与了，有主体感，也有控制感，这是一种与真实世界产生互动的过程。而且打扮之后出门，人的自信不自觉地显化出来，就会有来自于别人或欣赏、或 ​​​ ...展开
当你明白了人性，你会发现人到中年，最高级的活法：存钱、早起、运动、读书熬过所有的苦，就会遇见所有的好。看到一位好友在朋友圈发了张照片，昏暗的地下车库里，他独自坐在车内，头靠在方向盘上，配文：“下班了，却不想上楼。”我知道他一定是发给一些特定人群看的。我问他怎么了，他回：“在 ​​​ ...展开
只要你感觉不对劲，一定不要回应我是小伞，见字如面。人的潜意识，往往会比理智更早做出反应。凡是让自己感觉到不对劲时，不要顾虑礼貌、教养之类的事情，这些不重要，保护好自己才重要。《该撤退就撤退，该拒绝就拒绝，不被牵着走，才能全身而退。》1、不对劲就不要继续上大学时，我有时会一 ​​​ ...展开
老几辈的家长要为人口素质负责任，尤其越是低认知父母越是惯坏或者忽视下一代。造成的目光短浅、自私小器，要怪这些父母不作为、乱作为。01如果你做过教育，接触过许多家长，你就会发现，孩子95%以上都是受家庭影响。孩子的认知、品行、习惯，深深地烙着家庭的印记。 那是全天候、全方位的渗透， ​​​ ...展开
远离不能提供“利益”的男人不能为你提供“利益”的男人，一定是在消耗你什么是“利益”？它不单单指钱，还含让你变得更强的资源、是为你出力、为你出谋划策，是真的让你可以越来越好的实实在在的东西。一个男人到底是不是在“爱你”，只看一个指标，他有没有动用他的资源、能量、行动和成本，托举 ​​​ ...展开
一点贬低你的话都不要听贬低你的话，如果听了，还信了，痛苦便会如影随形。其实我写了很多强调“对抗负能量，回归主体性”的文章。是因为我看到太多的不幸，是从任由他人贬低自己开始的。总认为只是说一说，没啥关系，被说说又不会怎么样。他人为什么会贬低你什么是贬低？明里暗里说你这不 ​​​ ...展开
30岁之前，一个人生活幸不幸福，大概率是由父母决定的我经常在文章里，谈论原生家庭或者父母相关的话题，本质上并不是责怪谁的父母，而是你必须意识到，潜藏在原生家庭之下的规则和风险。很多时候，我谈论的“父母”只是个代号，也就是说，你和父母相处的方式，就是你到了社会上打拼以后，90%的概率 ​​​ ...展开
