#近日# _教资证的福利越来越丰富了！今年领到了音乐会员、免费按摩+小吃、咖喱饭、茉酸奶等等！_跟着同事去摘向日葵🌻、打板栗🌰，一切都新鲜又有趣～_试课了好几家瑜伽馆，最后选择了有冲浪板的一家店，在核心床上抖成筛子的我，居然意外享受汗珠大颗落下的瞬间，希望自己能坚持 ​​​ ...展开
偷快递的人都该死！！！气死我了啊啊啊啊啊啊 ​​​
#近日# 因为工作太忙生活太累，最近犯懒没有整理照片发微博，现在补上！6.1那天好朋友从杭州来成都找我玩啦！开车去地铁站接她们回小家的时候，久违地享受心跳加速的快乐和幸福～一起聊八卦聊到深夜，要不是太困了，真的舍不得睡觉，全是劲爆到不行的炸裂消息一起去爬了龙泉山森林公园高 ​​​ ...展开
之前很遗憾因为工作原因把北京场退了，结果今天好朋友帮我抢到了我更想去的青岛场！！！啊啊啊啊啊孙燕姿我真的来了！！！ 查看图片 //@Redamancy2426:呜呜呜呜呜呜朋友们！！！我要去看孙燕姿演唱会了！！！像冥冥之中的天意！！！从初中开始喜欢了15年的偶像，正好是初中的好朋友帮忙抢 ...展开
今天我家有人过生日 ​​​
#这周# 很久很久没吃方便拌面了，好吃到空盘第一次逛了水果批发农贸市场，好有意思呀离村上最近的奶茶店是书亦烧仙草，报喝夏天吃榴莲是最幸福的事情！！！朋友过生日啦，爱达乐的这款蛋糕好吃到回购了无数次，请爱达乐给我结算一下微博出场费很久 ​​​ ...展开
#这周# 抢红包抢到心烦淘宝的618应该直接更名518都江堰的肝腰合炒超级好吃！ ​​​
#这周# 去摘野枇杷啦！看到绝美落日！酸奶碗好好吃～夜麻将之后和朋友一起吃烧烤聊天非常快乐～ ​​​
呜呜呜呜呜呜朋友们！！！我要去看孙燕姿演唱会了！！！像冥冥之中的天意！！！从初中开始喜欢了15年的偶像，正好是初中的好朋友帮忙抢到了演唱会门票！！！特别鸣谢！！！
这个五一假期最值得记录的是，我们一起看了#苦尽柑来遇见你﻿# 我在爱纯受委屈的时候落泪，在宽植无条件支持爱纯的时候落泪，在金明跟爸爸说再见的时候落泪，在金明跟英凡分手的时候落泪，在金明和志燮结婚的时候落泪，在宽植生病离开的时候落泪……每一次哭，他都在我身边为我递上纸巾。 ​​​ ...展开
#五一假期# 一起爬山一起citywalk一起做饭一起追剧一起听雨声一起打麻将一起吃苍蝇面馆、吃串串烤肉、吃干拌抄手、吃糖醋凉面、吃锅巴土豆无数个想要时光停在这里的瞬间一万个舍不得假期结束了 ​​​
_是什么能让我在假期第一天早起，顶着巨大的困意开车来拥挤的车站_是zqf快乐的五一开始啦！！！ ​​​
#这周# 同事请吃了巨好吃的小龙虾和干锅排骨！周五晚上下班后去好朋友家吃饭聚餐，蛋黄鸡翅番茄牛腩糖醋排骨都超级好吃，还摸摸了好久她家的可爱柴犬！樱桃熟啦！在果园里边摘边吃简直不要太幸福🍒一人食也有简单自在的快乐在盒马薅到了6折后再打88折的巨划算榴莲 ​​​ ...展开
#这周# 几乎每天都有人请吃饭的神仙日子～一个人去吃漂亮饭的惬意时刻～薅盒马羊毛的快乐时光～好朋友们来家做客，一起吃部队锅一起散步一起吃冰粉一起看好东西，再一起哭一起笑，好幸福啊～我发现我在哪个商场跳舞运动，就会在哪个商场疯狂消费……我这旺盛的购物欲什么时候能减弱啊啊啊 ​​​
#这周# _拍到像漫画一样的蓝天白云☁_走村入户在路边闻到超级超级好闻的花香🌸_清明假期犯懒没有去公园踏青，幸好家门口的花也开得足够漂亮，好爱春天呀_终于买了很火的黄油年糕，这么好吃的东西zqf竟然说看起来像炸馒头_陪朋友试驾特斯拉，销售一直在夸特斯拉的待遇有多好，听得我 ​​​ ...展开
#北京# 没有什么样的前程值得错过这样的春光是十八宫格都放不下的快乐是好不容易勇敢一次的偷来的快乐是重返十八岁的快乐记录珍贵 ​​​
#这周# _每次去草莓基地都很开心🍓_路边偶遇七彩油菜花🌸_永远喜欢美丽日落🌇_本椰子爱好者又来吃椰子鸡了，新选的这家店晚上有驻唱，氛围超好_很久没喝的陈多多桂花酿豆腐，好喝！_ifs楼顶不愧是网红打卡地，拍这个狗狗的竟然不比拍熊猫头的人少，真的长得好特别，背影像 ​​​ ...展开
#这周# 被野桂花香晕被油菜花美到意料之外买到最后一个打折面包和免费酸奶 ​​​
#这周# 插花速度型选手围炉煮茶听八卦型选手吃柴火鸡赏风景型选手吃烤匠不满意型选手自认是个很难被惊喜到的人因为细腻敏感又追求完美还想兼顾性价比结果zqf送的节日惊喜居然正好在我的点上我非常喜欢 ​​​
#上周# 被鼻炎折磨的一周 ​​​
#这周# 自制芝士焗红薯味道还不错，但是没有上次在烤匠吃到的那么好吃和办公室姐姐一起劳作一下午的成品是漂亮捕梦网又去医院检查看病了，得到医生同意后时隔两月开始复健dance，生疏到不行每周日晚开车回小家，像回到了初高中时候住校的日子……从不想上学到不想上班 ​​​
文化欺诈让女孩在“变得更美”“追求被爱”上这件事上不断浪费生命
#这周# 摘草莓和打麻将都让人很开心红草莓粉草莓白草莓各有各的可爱和美味🍓 ​​​
被爱被照顾得很好 ​​​
电视剧掌心超话刘诗诗超话#刘诗诗掌心# 本十年散粉欢迎大家来优酷看掌心！想提前看下一集的路人朋友们可以私信领svip！免费送哈！ ​​​
不敢相信 又要上班了 ​​​
除夕快乐呀！！！ ​​​
#金蛇添福迎新年# 添福卡惊喜开奖！巳巳如意，蛇年福星当属我~成功开出@微博开新年 送出的1.28元福运红包，新年一定“蛇”么都好~！ ​​​
#上周# _渐渐体会到逛超市的快乐_zqf做饭意料之外地好吃_为了感谢这位辛勤劳动的厨师和任劳任怨的车夫，带他去吃了村上的特色猪蹄、他心中top1的串串、广告语遍布成都地铁的烤匠村上过年气氛超级浓厚！_看了一上午水车冲洗村坝_成为小摊摊主，教大家剪窗花 ​​​ ...展开
#这周# 度过了非常非常快乐的一周～_上班的每天都能喝到办公室姐姐煮的各种美味养生水！苹果橙子水、桂花龙眼茶、玫瑰枣子奶茶，每一款都温暖又好喝_办公室里有一抽屉小零食可以吃，还会被另外投喂现摘的水果和口味很独特的奶油花生～像手一样的异形草莓很好吃_入户慰问是非常特 ​​​ ...展开
#趣事分享# zqf在凌晨4点给我发语音，记录他梦到双方父母见面的细节。很难形容我有些无语又有些感动的心情 ​​​
#这周# 短短一周生活发生了超级大的变化非常开心正式开启了我的独居生活！新工位是一转头就能看见阳光和绿植的好地方厨房小白的进步之路从半成品和蔬菜蛋汤开始恰逢周边搞新年美食节活动，热闹得不行，还能占据看打铁花的绝佳好位置嘻嘻要平安健康要开心快 ​​​ ...展开
转眼已是我们新年互相给彼此写信的第5年。在这个节奏越来越快、信息越来越多的世界里，很庆幸的是，还有这么一个人，与我坚持着每年都用书信对话一次。记录一些他在信里写的话吧——“等到我们结婚生活在一起，希望能够延续这个习惯，这件小事能够让我们懂得珍惜这份感情，回顾经历的点滴，也能更 ​​​ ...展开
#月末推荐#12月是努力吃饭努力恢复的一个月，因为身体一直不太舒服，每天都感觉很难受。今天是2024年最后一天了，最愿平安健康～12月喜欢的歌：1.Christmas list——Anson Seabra2.Last Christmas——Taylor Swift3.天生一半——郑秀文4.180度——孙燕姿12月喜欢的播客：1.鲁豫对话七堇年  ​​​ ...展开
#这周# 冬日早起出门上班看到的不是太阳是月亮🌙喜欢平安夜的苹果，更喜欢装苹果的可爱包装🍎万象城的圣诞树越来越敷衍了，但是和cmw一起吃到了好看的圣诞树糖画～拿着它逛街连续引来了三个路人询问在哪里买的hhh收到迟到的生日礼物也是圣诞礼物，很喜欢cmw送的这本有趣的手工立体书 ​​​ ...展开
#这周# _晴天去买板栗饼的路上觉得很幸福_米面包是最近吃到的最爱的一款面包_喜茶黑糖啵啵真的是姨妈神药啊_四川人的冬至是吃温暖的羊肉汤_周末和妈妈一起逛街吃肯德基啦_好讨厌针清，每次都是边清边哭_现在拨打的电话超级宇宙无敌好看！！！ ​​​
#趣事分享# 想到一件很有趣的事～5年前的今天他从北京到武汉来找我。那是我们的第二次见面，但是都心照不宣地知道他是特意过来要跟我表白的。吃过午饭后，我带他去逛武大。在樱园的时候，他突然问我，&quot;知不知道今天是什么日子？我绞尽脑汁想了半天，说&quot;我不知道。他不可思议地说，&quot;不可能，你 ​​​ ...展开
我的愿望实现5年了很感动都已经5年了也还是能在零点准时收到他写的小作文。会永远记得他从北京特意跑来武汉，在我宿舍楼下的路灯旁跟我表白的场景。后来每次想起时都能给我很多很多的力量。谢谢一如既往的真诚又笨拙的浪漫#愿爱不朽# ​​​
#这周# 又到了吃蓝莓的季节～吃到巨好吃的巧克力饼干！在外培训意外遇到了非常好写的笔～虽然和同事朋友们一起吃了热乎的羊肉汤和特色的肥肠血旺，但我还是很没出息地最喜欢吃酒店自助，谁让它早饭竟然有奶油蛋烘糕呢周末久违地打了麻将，太久没打了感觉反应慢半拍，经常看不到碰牌…打完 ​​​ ...展开
#这周# 在冬天喝热热的奶茶吃好吃的美食是幸福感超级超级强的事_一点点焙茶牛乳好好喝～_粒上皇现烤板栗饼很香很糯～_邻你超市四拼三明治每个口味都好吃～_“一代人有一代人的鸡蛋要领”，The Sense新出的云朵肉桂好吃又好看，免费领到了一份！面包圣诞感满满，肉桂巨香 ​​​ ...展开
#这周# 感冒让我感觉每天都昏昏沉沉的但是感冒灵喝多了还挺好喝的，都快爱上这个味道的哈哈哈收到卿卿送的独一无二的漂亮杯子，好喜欢呀爱达乐的巧克力麻薯是最近的心头爱！！！好好吃 ​​​
#月末推荐#11月是生日月很开心吃到好吃的蛋糕很幸运收到美好的祝福谢谢自己在长大更谢谢自己在变好要越来越好呀11月喜欢的歌：1.滥俗的歌——汉堡黄2.孤雏——AGA3.Number one girl——Rose4.因为你——方大同11月喜欢的播客：1.鲁豫对话詹青云 | 相信日复一日的努力，是金斯伯 ​​​ ...展开
#这周# 一如既往喜欢漂亮的天空，一看到就会心情舒畅坚持了3个月的羽毛球课结束啦～虽然没有变得很厉害，但是也很开心学会了小臂内旋发力。更重要的是，认识了很多热爱运动的不同年龄段的人们。要是告诉小时候最讨厌体育课的自己，“生命不息，运动不止”，她肯定会觉得我疯了，但我现在竟 ​​​ ...展开
非常非常非常喜欢《好东西》这部电影
#这周# 好久不见朋友来成都出差啦～一起吃了冒烤鸭，逛了万象城，买了同款蓝白发箍还吃到了超级好吃的野人先生冰淇淋！！！开心果和大米味都非常非常好吃，强推！周末学了bp的玩火，完全记不住动作喝杯树夏奖励自己的不抛弃不放弃，下次再继续努力吧 ​​​
#这周# 收到美丽的花花，为办公室增添一抹亮色难得吃到好吃的酒店自助来自撩曼的立冬奶茶喜茶黑糖啵啵牛乳真的是治痛经奇药很久很久很久没有吃榴莲了心血来潮地逛街居然遇上了周年庆祐禾给的蛋糕实在是太大方了，好吃！ ​​​
没关系 今天也是爱自己的一天 ​​​
#这周# _都江堰遇上好天气=超治愈的美景_熊猫电车超级无敌可爱_好久不见的粉蓝色天空_初冬吃柴火鸡和小火锅都是很温暖幸福的事_不爱吃冰激凌的我在撩曼的邀请下吃到了今年的第一杯麦旋风_跳舞终于没有放炮了嘿嘿_单人直拍就不分享了因为跳得还是有点 ​​​ ...展开
#月末推荐#10月是吃喝玩乐买买买月！花钱使人快乐不逼自己进步也很快乐十月喜欢的歌：1.APT——Rose/Bruno Mars2.Moonlit floor——Lisa3.Mantra——Jennie4.Movin——Kiana Ledé十月看的电视剧/电影：1.姥姥的外孙（电影院看完之后又二刷了）2.潜伏（老剧新看） ​​​
#这周# 被双十一的凑单抢红包付尾款搞得精疲力尽，“我是来花钱买东西的，不是来做奥数题的”什么时候双十一才能纯粹一点，直接五折啊！！虽然但是，最后看见订单里的各种好价成果的时候，确实成就感满满，感觉功课没白做，时间没白花，心血没白费喝了一点点新品焙茶牛乳好好喝！完全 ​​​ ...展开
#这周# 好好好喜欢桂花香！为了貌美的帆布袋赠品喝咖啡的一天做梦梦到麻薯醒来就要立刻买来吃周末是久违的麻将局跳Queencard和GOLD甩得我脖子巨痛（一录视频就跳稀碎的坏毛病什么时候能治好啊） ​​​
#这周# _收到卿卿从新疆寄来的香梨_加班日给同事买了豆浆和面包，给他人温暖反而会让我更有幸福感_周末连跳两小时，很幸运地学到了Jennie和Lisa的新歌！不愧是kpop top级人物，那些看上去松弛简单的动作跳起来也太难了吧_zqf问我为什么很久不放跳舞视频了？因为我一录视频就 ​​​ ...展开
快乐的国庆 ​​​
微醺竟然很舒服诶快乐的国庆开始了 ​​​
#月末推荐#昨天忘发了……9月整个人的状态都非常chill，松弛感让我可以更自在放松地做一切想做的事，也可以更平静地接受所有反馈和结果。想分享就分享，想运动就运动，想努力就努力，想摆烂就摆烂，想沉默就沉默，想干嘛就干嘛。我很喜欢当下。九月喜欢的歌：1.Forever and Ever and Always— ​​​ ...展开
#这周# 每次去理发店都坐得屁股疼培训拍到一页很有道理的ppt胖东来燕麦脆+吾岛酸奶巨巨巨好吃希望入睡困难可以快快解决 ​​​
#这周# 盒马红柚荣升我近期最爱吃的水果又双叒叕收到美味零食教师资格证让我免费观影&amp;领到网易云会员周末在家心血来潮建了个电子衣橱~步骤实在太麻烦，做完让人精疲力尽，但是可视化确实有一目了然的清爽工作日也坚持去dance啦针清真的是新时代酷刑，超级无 ​​​ ...展开
#这周# 在高温红色预警下，被羽毛球支配的巨累打工人喝了瑞幸两款新品和椰子水~周末久违地打了麻将，和朋友们见面聊天是顶顶开心的~捕抓到夜色下的巨人 ​​​
#月末推荐# 8月是奥运月，追了很多直播比赛，见证了好多喜爱的运动员们圆梦巴黎，尤其喜欢女性运动员们的魅力与力量！同时也很遗憾中国女排8进4的输球，甚至做梦也会梦见决胜局最后的那几个球，但竞技体育就是热血又残酷，感谢她们教会我不顾一切地拼搏奋斗和用尽全力地接受释怀。8月是休整月，陪 ​​​ ...展开
#这周# _靠咖啡努力走出快乐休假期的打工人_重新捡起了羽毛球这个爱好，希望自己能坚持_周末和最喜欢的谢老师约饭啦！还收到了她旅游带给我的小礼物聊天的时候她总是以“我们两个很像”开头来讲自己对很多事情的看法~天知道我有多开心！很多朋友说过我和她给人的感觉很相似， ​​​ ...展开
#这周# _4像梦一样的一周结束了……和zqf一起从青海玩到了成都去了我想去很久的金色印象吃了我想吃很久的芋见麻糍从休假起的每一天，我们都在彼此身边，一起做很多很多事，聊很多很多天很平淡的日常，却幸福得不真实离别拥抱的时候，他一下一下轻轻拍着 ​​​ ...展开
#这周# _2浪漫和生命力在大西北蔓延_喜欢这里的“人与自然和谐共生”自驾游的马路边是随处可见的牛羊，汽车停下来让牛羊过马路的时刻莫名治愈着我湟鱼洄游真的很有生命力，逆流而上的湟鱼密密麻麻的一片，是难以形容的震撼还看到了羚羊和很多不知名的小动物们_喜欢这里的“民族融合”青海少数 ​​​ ...展开
#这周# _1青海湖美得让人词穷~闪闪发光的湖面和蓝天白云一起震撼人心~在湖边吹风发呆是近期最最治愈的瞬间~好爱这颗“高原上的蓝宝石” ​​​
#这周# 鼓起勇气去请了年休假然后收获了巨美的风景 ​​​
开心！！！
郑钦文牛逼啊啊啊啊啊啊啊！！！冠军！！！ ​​​
#月末推荐#7月是承上启下的一个月。喜欢每一个阶段的自己，也喜欢每天为了变得更好而作出的所有小努力。Stay hungry Stay foolish七月喜欢的歌：1.Turn The Page——Sam Lin2.Nothing——KISS OF LIFE3.满满——梁文音/王铮亮4.Room——JelloRio七月喜欢的播客：1.上这个班以前，我也没想 ​​​ ...展开
#中国女排vs美国女排# 赢啦！！！！！中国女排牛逼啊啊啊啊啊啊啊！！！！！ ​​​
#这周# 每次新到一个岗位都会迎来轻松快乐的新手保护期新单位附近虽然没有爱喝的咖啡，但是找到了很喜欢的面包店农村放风好惬意周末麻将好疯狂各种美味好罪恶 ​​​
#这周# _不知不觉工作已经一年了，马上要回区局工作了，走之前给大家买了咖啡和奶茶~_周二座谈会的时候，手表一直震动提醒我发烧了，但是还好坚持着完成了我的发言，也算是充满仪式感地给一年来市局的工作画上了句号_下班回家拍到了美丽蓝天，从这里记录我下一阶段的开始吧_ ​​​ ...展开
#上周# 尝试了各种口味的咖啡吃了今夏的第一个巧乐兹喜欢上了各种形式的叠戴领导给的加班零食还不错加班加到又见亮灯双子塔把刘诗诗拍的照片换成新壁纸和同事吃了特色桑拿鱼和朋友吃了88折海底捞又一起在麻将室吃蛋糕吃到馋了好久的熊猫吐司 ​​​
我和zqf每天的精神状态： ​​​
#这周# 好利来的芋泥包非常好吃随便一家店买的抹茶碱水也很好吃第一次正儿八经喝美式感觉难以下咽市井小火锅烟火气满满 ​​​
#月末推荐#六月是充满惊喜的一个月，以厦门开头，以礼物收尾，分别是我很珍惜的机会和爱意。六月喜欢的歌：1.分身情人——魏晨2.我可以假装很好——何洁/苏醒3.寂寞的季节——陶喆4.Should've Let Go——王嘉尔/林俊杰5.不如回家喝自来水——陈楚生/王赫野六月喜欢的播客：1.我也曾以为我 ​​​ ...展开
#这周# 久违地喝了热拿铁和一点点☕拍到漂亮天空收到阿根廷10号球衣🇦🇷收到zqf买给我的惊喜礼物⌚比起礼物，我更喜欢他的心意 ​​​
#这周# 工作日的中午和来单位附近办事的朋友们一起吃了味之绝！！治愈本打工人的所有小疲惫感觉麦当劳的鳕鱼堡没有肯德基的好吃这一周工作上倒是轻松了一些，结果周末特种兵式运动把自己搞得浑身酸痛zqf替我收到了师兄送的惊喜礼物！是我一直想买但是又觉得有点贵没必要的东西， ​​​ ...展开
#这周# 度过了很简单的一周上班、体检、运动、逛街、女排、咖啡、蛋挞莫名喜欢这样平淡的美好生活 ​​​
