第四十一个教师节是我的第一个教师节  ​​​
同事说，你是我见过很幸福的人。那时候我没有回复她，回来后我想了一下，我确实没有早几年那样痛苦了，那时候是我将自己置于一种很痛苦的境地，我思考痛苦的事，我看痛苦的书，我让自己痛苦。现在不会了，痛苦还在，但是离我越来越远了，内心是平静、祥和和愉悦，感知点滴、感知幸福的能力也越来越 ​​​ ...展开
本shopping之王今天又花超支了  ​​​
自己是杂糅型……本身学的汉语言文学，以培养教师作为主要目标，后来又进了基地班，以学术型人才来培养，再后来又读了汉语言文字学，是语言学文字学教研室，也是致力于培养科研型。到现在，我在语言学与国际中文教育教研室，我应该是面向汉语国际教育的学生，而给我安排的三笔字却是面向汉语言文学 ​​​ ...展开
《第二语言习得概论》原来语音偏误研究也是其中一部分 ​​​
好吃多吃 ​​​
人生确实是游乐园。你想要怎样的方式过一生，想跟谁过一生，想过怎样的生活。 ​​​
刘老师上《西方文艺理论》，她说讲这些理论真的没人听的。我说：啊，之前在我们班，摘出一个具体的人物和作品出来讲，上课听得津津有味诶。她说：基地班的学生是这样的，优中选优，几万人才选一个 ​​​
以前皮肤不好的时候，我都去看皮肤科，医生给我外用药，还给我照红蓝光，内调说我心火大且阴阳两虚。但是，今年我看到有个说法是免疫力下降容易导致炎症，那么从免疫力提高这个角度，是不是很多问题都没了？ ​​​
教师专用图书馆～但是我们已经建好了新图书馆9.4能用～狠狠期待  ​​​
最后四个月的时间 要不要再买计划本 记账本想了一下可支配的时间是跟上学一样很规律的 ​​​
开学快乐  ​​​
没有威严且和学生打成一片的后果就是这样她们叫我 姐 ​​​
刘老师真的每天精力过于旺盛了……高能量人就是这样吧………她每天接不完的电话 做不完的工作应酬不完的事情……瞄了一眼她的微信9000+未读信息这就是强者的世界吗 ​​​
等我的本子到了 我就开始记账花太多了 ​​​
为啥每天花这么多米 这个想买那个想买一出门就开始想吃好吃的·大家都说我的小短裙好看穿着小短裙到育才结果今天新生开学了诶一大波稚嫩的洋溢着考上了师大的幸福的笑容·今天还做了个姜头疗 买了一斤的白茶绿茶红茶和刘老师拍了纪录片关于廉洁的喜提两本不同版本的现汉～· ​​​ ...展开
快看以前带的语暖还在师大门口 ​​​
救命 老师给我写了 ​​​
大小版 ​​​
昂为嘛我现在泪奔成这样半夜痛哭失声但是是一种幸福的喜悦 ​​​
我得买一些大补品才行连续三天睡办公室了 ​​​
备完课了，十一点了，啪一声关电脑，地上掉满了头发。窗外雨水滴答。明天还有三个会+上课逐字稿 ​​​
写写抄抄 外面电闪雷鸣⛈️ ​​​
记录📝发工资的一天。拿到了第一份正式工资。·小时候最大的期待，就是能有个饭堂，每天可以吃不同的菜。·爸爸妈妈的工作一直很忙，每天都翘首以盼，等待他们回家。公司那个地段的菜便宜，爸妈经常带回来一些菜。晚上七点八点下班，做饭吃完饭洗完碗都差不多九点了。·因为工作忙，没有时间学做 ​​​ ...展开
排卵期，被激素控制的两周 ​​​
住的地方离办公室五分钟不到，就会导致一个大问题，工作和生活完全分不开，脑子里每时每刻都是工作，只想往办公室跑的两点一线生活。想当初在成都几个小时通勤，我就会想，在地铁上我要看什么书呀，是不是要早起呀，路边又能看到什么风景啊，而我现在就是，完完全全地被工作占据全部时间，连车都 ​​​ ...展开
别想拷我ppt！！！ 好累 ​​​
有时候不得不承认 其实自己真的有点笨每件事都很少能够开辟自己的一条路比如这个写教案 就只会模仿别人的来写或者练书法 模仿得像但是自己作画就很难创新性思维是严重不足的不过好在模仿着模仿着也能吸纳别人的优点然后为己所用 自己就变得更加强大啦 ​​​
第一次写教案～磕磕绊绊地学习别人的教案往下写希望今晚能完成吧教案 教学大纲 ppt ​​​
滴答滴答在路上 ​​​
每天都有点过量食用了吼中午螺蛳粉+羽衣甘蓝汁 晚上轻食牛肉plus版 吃得我开心满足 ​​​
不能放弃对美好生活的愿景今天去雁山新城吃饭古拙那家小姐姐 一进门就说 你看起来好眼熟啊我说：啊啊啊啊你还记得我在那里不知道消费多少了我………虽然每天很累啊很苦啊没人爱啊没人关心啊，但是美好生活的感知力不能缺失缺少 ​​​
雁山真的喜欢扩建扩建扩建扩建扩建从早到晚就没停过～～又有新滴图书馆用了嘿！！！用不完的校园网 下不完的文献  之后教师办公 和 宿舍楼 搬迁又搬再搬还搬这种曾经过了四年的生活 感觉历历在目一样 ​​​ ...展开
终于有自己的工位了设备太齐全了～～ ​​​
新生活新气象 ​​​
有没看到有啥特别的 ​​​
看完这本书就睡觉～～ 浙大的老师给我们推荐这本书，讲了从教的一些感受～ ​​​
天然老师说，我以前有阅读障碍，近几年好了，我说你以前说那么多话，表达与阅读我认为不是同一类型的，我表达欲最旺盛的时候，恰巧是我最不会看书最不会写字的时候。 ​​​
结束培训啦真的很荣幸能够来到这里～弥足珍贵的记忆宝库中又多一件来到浙大学习❤️感受江浙沪的繁荣与发展一个总是被机会垂青的人珍惜每一次学习的机会很感动 很感谢❤️❤️❤️  ​​​
好玩儿我太太太爱了  撩啰与嘿撩的微博视频 ​​​
食堂真呀真不错👍  ​​​
这个校区也很美“求是创新”  ​​​
刘老师：美欣是17基地班的。莫院长：17基地班还带过谁呀？我：李湘老师还记得不？莫院长：噢噢记得，瘦瘦高高，去年还去北流高中上课 ​​​
入住啦本社恐女子就活在网络中就好啦  ​​​
哇～光是界面就让我疯狂心动💓感概 到不同的学校交流学习 感受不一样的教学模式 文化底蕴📑学习内容：关于黑科技在教学中的应用文化传承创新 OBE教学理念以及校史馆的参观有时候我在想我涉及的专业领域那么古 可我接触到的每一样都是全新从古代汉语-中古汉语-近代汉语-现代汉语到各 ​​​ ...展开
还有一千个字没想到我还能继续学习～ 撩啰与嘿撩的微博视频 ​​​
明天再呆最后一天我现在会自己读帖啦 ​​​
 ​​​
我越来越觉得我是个内心很富饶的人了我喜欢自己构筑的精神世界很充实 每一天都很愉悦平和圆满～这就是向内探索的力量和意义吗以前那么重视外在的我 外在的打扮 外在的成就现在 真的好自足自洽 ​​​
本来在成都吧也算是搬出来住了这次 我是彻彻底底的完全搬出来了～自己负责自己的一切 ​​​
机票已订 家人已见 书也看了不少 体重也涨了好多 衣服准备好 即将出发🛫 这两个月 从零offer到确定offer 之后才给自己休息缓冲的时间 见所有的家人 吃好吃的饭菜 养好身体 体重胖了五斤啊啊啊啊假期的作用就在这里吧 准备为了新事业冲刺啦～等我赚到第一桶金 我就 ​​​ ...展开
又是被妈爆改的一天 ​​​
“希望女性的任何选择，不是出于害怕，而是出于热爱。这便能从胆怯的人生，变成勇敢的人生。因为热爱自由，热爱创造。热爱比生孩子更值得热爱的事——比如颜宁更热爱科学，所以选择投身于此，而不是选择成为母亲。我觉得这才是所有女性在决定要不要生孩子的时候最该思考的。”——《大女主》 艾明雅 ​​​
大多数人的生活都会回归平静，日复一日。希望我的快乐永远在，希望我的眼睛永葆星星，我永远是积极向上正能量滴自己我好庆幸，我还能接触一群二十岁出头的新生代青年，我还能跟他们一起参加校运会，艺术节，迎新活动。就像李大钊说，“吾愿吾亲爱之青年，生于青春死于青春。” ​​​
每一条路的选择都是最好的选择！ ​​​
 听这个小嘴吧唧的声音！ ​​​
我也喜欢会回应我的人。以前分享欲很多的，后来发现对面的人对自己不感兴趣，所以就不分享了。分享欲就是这样丧失的～～多回应他人吧 我还喜欢直言不率的人。真诚地发自内心地每一天都说，我可喜欢你了！ ​​​
录制视频，看看自己有哪些体态问题。发现自己脖子前倾很严重，第一次临帖，背不出笔顺顺序所以反复抬头，多录视频就发现自己很多问题啦～ 撩啰与嘿撩的微博视频 ​​​
就这样一遍一遍的读。一遍一遍的写。入职培训移到19号啦～ ​​​
原来我不用上《古汉》《现汉》《语言学纲要》这几天一直琢磨怎么上呢！ ​​​
十分钟桌面转换完毕所有的文字学的书籍全部拿出来啦～《说文解字》《文字学概要》《说文解字注》…… ​​​
现在又开始集训练习了 ​​​
安排了《三笔字书法课》实践课 最近我要重温一下书法了开干啦～ （旧图新发） ​​​
📆高校教师日记📆最近每天都在大量读书，目前制定了粗略版计划📒1️⃣first year：·上课：根据学院排课情况安排·把《古汉》《现汉》《语言学纲要》全部做成讲义的形式，中间穿插考研和保研的知识点，以及从专著中挖掘出来的知识精华。·当班主任：完成学生日常事务管理工作，健全班级制 ​​​ ...展开
恋爱真的是一件暴露自我的事情，不谈恋爱的时候自己的生活丰富多彩，恋爱之后患得患失不专注自我，对方就马上不喜欢自己了。从高中到现在的每一段都是这样，也是自己的性格比较躺平没有野心的原因，陷入死循环就是，关注对方-丧失自我-对方不断pua你-情绪超级不稳定-对方不喜欢-分手。或许工作之后 ​​​ ...展开
我做的人才培养方案通过了高校辅导员的43号令还有其他文件精神，大学生的思想政治教育工作就一直摆在首位，我也越来越能清晰地感受到，意识形态的正确引领对一个人的影响甚至是决定性作用。无论怎样都要确保正确价值观的引导，做到言行一致 ​​​
我的姐又回家了～ ​​​
吃累了今天试了古早风牛仔裤，热死我了 ​​​
快到八月底吧 我希望赶快去上班～养好自己身体 吃健康的食物 放下手机 和古籍对话 吸收好的负离子 过上蛰居的生活人才培养方案我的部分修订完毕啦～ ​​​
我真的好想成都是我走过那样多的城市 最最最喜欢的一所城市我特别特别能吃辣 就好像生来就是这里的人想成都了 这是我在成都时一个夜晚孤孤单单的走在路上～ 撩啰与嘿撩的微博视频 ​​​
我还是喜欢朱自清的《背影》，那样伟岸的苍老的年迈的父亲形象，“在晶莹的泪光中，又看见那肥胖的、青布棉袍黑布马褂的背影。”看了我就想哭。 ​​​
今天去医院体检，遇到一个长得很好看很漂亮的姐姐，她也一起来体检。我没说话，一直在找体检科室，她就来帮助我，怎么体检下一步怎样做。我真的真的特别喜欢这种有母性的女生，我妈妈是这样的，把所有人当成自己的孩子·以后我去任教，不知道能不能做到有这样的大爱。 ​​​
coming各大版本的古汉现汉语言学纲要第几次刷老先生的古代汉语课，儒雅地娓娓道来～ ​​​
每到一个地方，都能有人接我回家，我真的好幸运，也很幸福呢！！！当天报道完，我又能回家吃晚饭了～今天认识了别的学院一个新任教师，开开心心；于是我记住了，在一起有多快乐，分别的时候就多难过；现在我也能接受这样的落差啦，是一个越来越强大的大人啦 ​​​
合同已签认识了新的小伙伴～等开学啦 等一个入职培训吧 ​​​
